hostname,value,timestamp
node_1,376.9328,1710750321
node_2,379.6211,1710750321
node_3,373.94216,1710750321
master,1165.65782,1710750321
node_1,377.10546,1710750326
node_2,382.66016,1710750326
node_3,373.94218,1710750326
master,1168.1633,1710750326
node_1,377.36484,1710750331
node_2,383.43206,1710750331
node_3,373.53358,1710750331
master,1168.81174,1710750331
node_1,376.94608,1710750336
node_2,383.64532,1710750336
node_3,373.4375,1710750336
master,1169.02892,1710750336
node_1,376.74216,1710750341
node_2,380.52576,1710750341
node_3,373.34688,1710750341
master,1169.31956,1710750341
node_1,376.67342,1710750346
node_2,379.49608,1710750346
node_3,373.21878,1710750346
master,1169.52888,1710750346
node_1,384.68908,1710750351
node_2,384.55468,1710750351
node_3,378.61408,1710750351
master,1170.0828,1710750351
node_1,385.7664,1710750356
node_2,386.97264,1710750356
node_3,379.8516,1710750356
master,1170.33362,1710750356
node_1,386.03042,1710750361
node_2,387.40232,1710750361
node_3,379.93596,1710750361
master,1170.5414,1710750361
node_1,386.07888,1710750366
node_2,387.5312,1710750366
node_3,380.0664,1710750366
master,1170.66484,1710750366
node_1,386.52424,1710750371
node_2,387.53122,1710750371
node_3,380.15392,1710750371
master,1171.21092,1710750371
node_1,386.76644,1710750376
node_2,387.52418,1710750376
node_3,380.2812,1710750376
master,1171.57656,1710750376
node_1,387.29534,1710750381
node_2,387.52106,1710750381
node_3,380.52496,1710750381
master,1171.74686,1710750381
node_1,387.16014,1710750386
node_2,387.71642,1710750386
node_3,381.34998,1710750386
master,1172.0711,1710750386
node_1,379.37892,1710750391
node_2,385.475,1710750391
node_3,377.05782,1710750391
master,1172.75076,1710750391
node_1,379.10156,1710750396
node_2,385.28128,1710750396
node_3,376.44844,1710750396
master,1173.19452,1710750396
node_1,379.10702,1710750401
node_2,385.55158,1710750401
node_3,376.46016,1710750401
master,1173.42424,1710750401
node_1,379.12184,1710750406
node_2,385.6336,1710750406
node_3,376.36326,1710750406
master,1173.41174,1710750406
node_1,379.3914,1710750411
node_2,385.51328,1710750411
node_3,376.47502,1710750411
master,1173.45936,1710750411
node_1,379.80466,1710750416
node_2,385.5836,1710750416
node_3,376.79218,1710750416
master,1173.99294,1710750416
node_1,379.93594,1710750421
node_2,385.5711,1710750421
node_3,376.7164,1710750421
master,1174.01018,1710750421
node_1,379.69374,1710750426
node_2,385.45,1710750426
node_3,376.7531,1710750426
master,1174.23358,1710750426
node_1,380.82186,1710750431
node_2,385.27812,1710750431
node_3,376.8047,1710750431
master,1174.50546,1710750431
node_1,383.33982,1710750436
node_2,384.66404,1710750436
node_3,376.59298,1710750436
master,1174.46406,1710750436
node_1,383.49998,1710750441
node_2,384.43358,1710750441
node_3,376.45234,1710750441
master,1174.64686,1710750441
node_1,383.7086,1710750446
node_2,381.80704,1710750446
node_3,375.9586,1710750446
master,1174.86486,1710750446
node_1,379.86172,1710750451
node_2,381.72502,1710750451
node_3,375.68984,1710750451
master,1175.10392,1710750451
node_1,377.80312,1710750456
node_2,382.0156,1710750456
node_3,375.1469,1710750456
master,1175.26796,1710750456
node_1,381.62968,1710750461
node_2,386.05078,1710750461
node_3,383.31018,1710750461
master,1175.56172,1710750461
node_1,382.73908,1710750466
node_2,388.98284,1710750466
node_3,387.24764,1710750466
master,1175.94998,1710750466
node_1,382.86404,1710750471
node_2,389.21564,1710750471
node_3,387.5625,1710750471
master,1176.02892,1710750471
node_1,383.2109,1710750476
node_2,389.92264,1710750476
node_3,387.70472,1710750476
master,1176.15544,1710750476
node_1,383.79296,1710750481
node_2,390.2984,1710750481
node_3,387.39532,1710750481
master,1176.1328,1710750481
node_1,384.7039,1710750486
node_2,390.59138,1710750486
node_3,387.43362,1710750486
master,1176.3055,1710750486
node_1,385.1328,1710750491
node_2,391.06014,1710750491
node_3,387.40158,1710750491
master,1176.33358,1710750491
node_1,385.42266,1710750496
node_2,391.30624,1710750496
node_3,386.88516,1710750496
master,1176.3047,1710750496
node_1,381.24614,1710750501
node_2,386.825,1710750501
node_3,379.70702,1710750501
master,1176.25862,1710750501
node_1,381.218,1710750506
node_2,385.37654,1710750506
node_3,377.34922,1710750506
master,1176.3586,1710750506
node_1,381.2188,1710750511
node_2,384.83672,1710750511
node_3,377.70468,1710750511
master,1176.6164,1710750511
node_1,381.218,1710750516
node_2,384.90626,1710750516
node_3,377.8984,1710750516
master,1177.06174,1710750516
node_1,381.26246,1710750521
node_2,383.925,1710750521
node_3,377.79294,1710750521
master,1177.25626,1710750521
node_1,381.59296,1710750526
node_2,382.88438,1710750526
node_3,377.20156,1710750526
master,1177.40702,1710750526
node_1,382.0797,1710750531
node_2,382.4242,1710750531
node_3,376.95704,1710750531
master,1178.28124,1710750531
node_1,382.22814,1710750536
node_2,382.73282,1710750536
node_3,377.0281,1710750536
master,1178.93594,1710750536
