hostname,value,timestamp
node_2,80.496506,1710825661
node_1,85.907186,1710825661
node_3,85.190432,1710825661
master,96.516526,1710825661
node_2,93.174526,1710825666
node_1,94.171668,1710825666
node_3,92.234586,1710825666
master,97.993624,1710825666
node_1,93.973262,1710825671
node_2,92.9565,1710825671
node_3,93.748036,1710825671
master,97.81096,1710825671
node_2,91.2785,1710825676
node_1,93.563774,1710825676
node_3,93.937822,1710825676
master,97.829222,1710825676
node_2,93.926526,1710825681
node_1,94.381602,1710825681
node_3,94.511088,1710825681
master,97.741734,1710825681
node_1,94.248364,1710825686
node_2,95.01007,1710825686
node_3,93.027352,1710825686
master,97.39157,1710825686
node_1,94.845562,1710825691
node_2,90.717664,1710825691
node_3,95.00558,1710825691
master,97.977184,1710825691
node_2,95.408872,1710825696
node_1,95.134298,1710825696
node_3,94.282718,1710825696
master,97.72451,1710825696
node_2,94.229004,1710825701
node_1,94.7014,1710825701
node_3,95.413764,1710825701
master,97.90879,1710825701
node_1,94.610818,1710825706
node_2,94.898214,1710825706
node_3,94.131394,1710825706
master,97.746134,1710825706
node_2,93.763764,1710825711
node_1,94.905316,1710825711
node_3,94.999772,1710825711
master,98.147094,1710825711
node_1,94.56408,1710825716
node_2,95.710064,1710825716
node_3,94.29066,1710825716
master,98.023328,1710825716
node_2,93.619572,1710825721
node_1,94.252458,1710825721
node_3,95.45578,1710825721
master,97.91201,1710825721
node_2,95.068234,1710825726
node_1,94.85063,1710825726
node_3,93.54995,1710825726
master,97.625992,1710825726
node_1,95.156706,1710825731
node_2,93.8281,1710825731
node_3,95.507086,1710825731
master,97.368304,1710825731
node_1,94.911846,1710825736
node_2,95.415774,1710825736
node_3,94.294138,1710825736
master,97.909532,1710825736
node_2,93.718154,1710825741
node_1,94.748166,1710825741
node_3,95.695804,1710825741
master,97.727984,1710825741
node_2,95.664932,1710825746
node_1,94.657648,1710825746
node_3,94.37944,1710825746
master,97.97737,1710825746
node_1,94.333202,1710825751
node_2,94.335168,1710825751
node_3,95.10586,1710825751
master,97.741928,1710825751
node_1,94.808524,1710825756
node_2,94.752296,1710825756
node_3,94.172882,1710825756
master,97.810842,1710825756
node_2,91.117772,1710825761
node_1,94.804948,1710825761
node_3,95.100656,1710825761
master,98.025922,1710825761
node_1,94.609386,1710825766
node_2,94.520404,1710825766
node_3,93.707266,1710825766
master,97.925326,1710825766
node_2,92.289114,1710825771
node_1,94.841028,1710825771
node_3,95.080228,1710825771
master,97.906786,1710825771
node_2,94.60459,1710825776
node_1,94.391928,1710825776
node_3,94.122872,1710825776
master,97.959012,1710825776
node_1,94.949104,1710825781
node_2,91.556822,1710825781
node_3,95.163876,1710825781
master,97.976714,1710825781
node_1,94.485922,1710825786
node_2,93.123632,1710825786
node_3,94.176116,1710825786
master,97.646158,1710825786
node_2,92.369072,1710825791
node_1,95.404518,1710825791
node_3,95.801262,1710825791
master,97.666504,1710825791
node_1,95.048658,1710825796
node_2,93.829976,1710825796
node_3,94.2931,1710825796
master,97.794252,1710825796
node_2,92.622562,1710825801
node_1,95.050384,1710825801
node_3,95.492272,1710825801
master,98.013686,1710825801
node_2,94.018976,1710825806
node_1,94.738378,1710825806
node_3,94.26247,1710825806
master,97.709722,1710825806
node_1,95.03065,1710825811
node_2,92.419432,1710825811
node_3,94.433578,1710825811
master,97.811882,1710825811
node_2,94.382394,1710825816
node_1,95.001012,1710825816
node_3,94.8475,1710825816
master,98.106436,1710825816
node_2,91.80018,1710825821
node_1,94.561094,1710825821
node_3,95.059856,1710825821
master,97.64099,1710825821
node_2,88.820272,1710825826
node_1,94.97468,1710825826
node_3,94.147638,1710825826
master,97.927346,1710825826
node_2,91.922316,1710825831
node_1,95.49395,1710825831
node_3,95.342472,1710825831
master,97.708092,1710825831
node_2,94.034946,1710825836
node_1,94.548288,1710825836
node_3,94.694214,1710825836
master,97.978996,1710825836
node_2,92.778464,1710825841
node_1,94.913492,1710825841
node_3,94.912066,1710825841
master,97.706126,1710825841
node_2,93.863942,1710825846
node_1,94.590652,1710825846
node_3,94.543568,1710825846
master,98.143402,1710825846
node_2,91.42926,1710825851
node_1,94.426432,1710825851
node_3,95.358632,1710825851
master,97.420664,1710825851
node_2,93.885042,1710825856
node_1,95.101044,1710825856
node_3,94.39505,1710825856
master,98.142494,1710825856
node_2,92.009936,1710825861
node_1,94.80427,1710825861
node_3,95.200634,1710825861
master,97.927568,1710825861
node_2,95.214556,1710825866
node_1,94.557932,1710825866
node_3,94.88864,1710825866
master,97.975208,1710825866
node_1,94.51174,1710825871
node_2,92.162422,1710825871
node_3,96.465644,1710825871
master,97.993182,1710825871
node_2,94.114724,1710825876
node_1,94.432632,1710825876
node_3,94.087304,1710825876
master,97.35507,1710825876
node_2,91.861842,1710825881
node_1,94.571296,1710825881
node_3,96.097012,1710825881
master,97.862472,1710825881
node_2,93.634618,1710825886
node_1,94.295326,1710825886
node_3,94.061976,1710825886
master,97.790624,1710825886
node_2,92.861622,1710825891
node_1,94.963302,1710825891
node_3,95.497568,1710825891
master,97.839762,1710825891
node_1,94.832444,1710825896
node_2,93.89604,1710825896
node_3,94.558512,1710825896
master,97.79099,1710825896
node_2,92.92847,1710825901
node_1,94.763982,1710825901
node_3,94.894564,1710825901
master,97.909986,1710825901
node_1,94.99201,1710825906
node_2,93.918984,1710825906
node_3,94.345392,1710825906
master,97.606316,1710825906
node_1,95.005826,1710825911
node_2,91.603206,1710825911
node_3,94.81344,1710825911
master,97.943198,1710825911
node_1,94.035382,1710825916
node_2,94.592902,1710825916
node_3,94.589316,1710825916
master,97.690856,1710825916
node_1,94.773902,1710825921
node_2,92.052014,1710825921
node_3,94.997038,1710825921
master,97.74105,1710825921
node_2,93.65113,1710825926
node_1,94.684902,1710825926
node_3,94.03497,1710825926
master,97.760498,1710825926
node_2,91.441478,1710825931
node_1,95.182002,1710825931
node_3,95.207948,1710825931
master,97.757934,1710825931
node_2,93.59412,1710825936
node_1,93.933868,1710825936
node_3,94.345828,1710825936
master,97.676806,1710825936
node_2,91.794294,1710825941
node_1,95.090226,1710825941
node_3,95.541576,1710825941
master,97.76043,1710825941
node_1,94.485662,1710825946
node_2,92.971292,1710825946
node_3,93.888528,1710825946
master,97.775108,1710825946
node_1,95.150452,1710825951
node_2,92.712886,1710825951
node_3,94.955828,1710825951
master,97.927386,1710825951
node_1,94.63498,1710825956
node_2,93.578532,1710825956
node_3,94.181614,1710825956
master,97.826066,1710825956
node_1,94.906928,1710825961
node_2,91.59397,1710825961
node_3,95.00811,1710825961
master,98.026434,1710825961
node_2,94.04345,1710825966
node_1,94.496696,1710825966
node_3,94.340418,1710825966
master,97.692988,1710825966
node_2,91.95099,1710825971
node_1,95.011196,1710825971
node_3,95.547536,1710825971
master,97.441166,1710825971
node_2,94.55942,1710825976
node_1,94.662922,1710825976
node_3,94.42308,1710825976
master,97.874102,1710825976
node_1,95.139586,1710825981
node_2,92.667972,1710825981
node_3,95.305246,1710825981
master,97.862602,1710825981
node_1,94.246658,1710825986
node_2,93.331898,1710825986
node_3,93.615954,1710825986
master,97.54356,1710825986
node_2,93.583754,1710825991
node_1,95.16744,1710825991
node_3,95.29782,1710825991
master,97.9084,1710825991
