time="2024-03-19T07:20:57.410" level=info msg="Starting kbench..."
time="2024-03-19T07:20:57.412" level=info msg="Created a new Pod manager."
time="2024-03-19T07:20:57.428" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-03-19T07:20:57.428" level=info msg="Performing pod actions in operation 0"
time="2024-03-19T07:20:57.428" level=info msg="Waiting all threads to finish on the current operation"
time="2024-03-19T07:20:57.446" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-19T07:20:57.452" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-19T07:20:57.452" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-19T07:22:37.453" level=info msg="One operation completed. Continue to run the next..."
time="2024-03-19T07:22:37.585" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:22:37.586" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:22:37.586" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:22:40.719" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:22:40.719" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:22:40.719" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:22:43.845" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:22:43.845" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:22:43.845" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:22:46.971" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:22:46.971" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:22:46.971" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:22:50.085" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:22:50.085" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:22:50.085" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:22:53.212" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:22:53.212" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:22:53.212" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:22:56.332" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:22:56.332" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:22:56.332" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:22:59.450" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:22:59.450" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:22:59.450" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:23:02.584" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:23:02.584" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:23:02.584" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:23:05.709" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:23:05.709" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:23:05.709" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:23:08.820" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:23:08.820" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:23:08.820" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:23:11.938" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:23:11.938" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:23:11.938" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:23:15.083" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:23:15.084" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:23:15.084" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:23:18.215" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:23:18.216" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:23:18.216" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:23:21.332" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:23:21.332" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:23:21.332" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-19T07:23:24.466" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-19T07:23:24.466" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-19T07:23:24.466" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
