hostname,value,timestamp
master,1121.88046,1710924926
node_2,405.10232,1710924926
node_3,408.19298,1710924926
node_1,401.56408,1710924926
master,1127.64452,1710924931
node_2,405.2492,1710924931
node_3,408.31952,1710924931
node_1,402.49142,1710924931
master,1128.18358,1710924936
node_2,405.67498,1710924936
node_3,408.3203,1710924936
node_1,402.8359,1710924936
master,1128.51794,1710924941
node_2,405.95,1710924941
node_3,407.75234,1710924941
node_1,402.97888,1710924941
master,1129.04998,1710924946
node_2,406.26872,1710924946
node_3,407.825,1710924946
node_1,402.9289,1710924946
master,1129.88124,1710924951
node_2,406.23124,1710924951
node_3,407.9461,1710924951
node_1,402.92658,1710924951
master,1130.35938,1710924956
node_2,406.42346,1710924956
node_3,407.33672,1710924956
node_1,402.76172,1710924956
master,1130.70858,1710924961
node_2,406.4219,1710924961
node_3,407.0664,1710924961
node_1,402.42032,1710924961
master,1130.90622,1710924966
node_2,406.16482,1710924966
node_3,407.06172,1710924966
node_1,402.3359,1710924966
master,1131.54532,1710924971
node_2,405.93828,1710924971
node_3,406.3781,1710924971
node_1,402.3359,1710924971
master,1131.90472,1710924976
node_2,405.84298,1710924976
node_3,405.9047,1710924976
node_1,402.31874,1710924976
master,1132.29924,1710924981
node_2,405.71876,1710924981
node_3,405.80468,1710924981
node_1,402.3547,1710924981
master,1132.88518,1710924986
node_2,405.34766,1710924986
node_3,405.35862,1710924986
node_1,402.56564,1710924986
master,1133.22034,1710924991
node_2,405.8086,1710924991
node_3,405.44454,1710924991
node_1,402.66096,1710924991
master,1133.68048,1710924996
node_2,405.90938,1710924996
node_3,405.52028,1710924996
node_1,402.6602,1710924996
master,1134.4258,1710925001
node_2,406.05546,1710925001
node_3,404.98752,1710925001
node_1,403.08828,1710925001
master,1134.33904,1710925006
node_2,406.22266,1710925006
node_3,404.72656,1710925006
node_1,403.51408,1710925006
master,1134.66016,1710925011
node_2,406.29532,1710925011
node_3,404.85704,1710925011
node_1,403.84922,1710925011
master,1134.83518,1710925016
node_2,406.62968,1710925016
node_3,405.11872,1710925016
node_1,403.78826,1710925016
master,1135.00936,1710925021
node_2,407.13516,1710925021
node_3,404.76248,1710925021
node_1,403.58518,1710925021
master,1134.97968,1710925026
node_2,407.28752,1710925026
node_3,404.78674,1710925026
node_1,403.05938,1710925026
master,1135.28518,1710925031
node_2,407.2508,1710925031
node_3,404.75078,1710925031
node_1,402.80154,1710925031
master,1136.06562,1710925036
node_2,407.1328,1710925036
node_3,404.74846,1710925036
node_1,402.61174,1710925036
master,1136.36172,1710925041
node_2,407.1781,1710925041
node_3,404.45468,1710925041
node_1,402.59064,1710925041
master,1136.37502,1710925046
node_2,407.4781,1710925046
node_3,404.65236,1710925046
node_1,402.50314,1710925046
master,1136.13984,1710925051
node_2,407.24924,1710925051
node_3,404.64528,1710925051
node_1,402.38204,1710925051
master,1136.09532,1710925056
node_2,407.19298,1710925056
node_3,404.56408,1710925056
node_1,402.29842,1710925056
master,1136.31014,1710925061
node_2,407.45312,1710925061
node_3,404.21014,1710925061
node_1,402.31404,1710925061
master,1136.38592,1710925066
node_2,406.96016,1710925066
node_3,404.1422,1710925066
node_1,402.05546,1710925066
master,1136.34684,1710925071
node_2,406.96408,1710925071
node_3,404.66796,1710925071
node_1,402.28124,1710925071
master,1136.32188,1710925076
node_2,407.05546,1710925076
node_3,405.5836,1710925076
node_1,402.2812,1710925076
master,1136.32344,1710925081
node_2,407.18594,1710925081
node_3,405.88984,1710925081
node_1,402.4234,1710925081
master,1136.0492,1710925086
node_2,406.875,1710925086
node_3,407.0961,1710925086
node_1,404.97732,1710925086
master,1136.09452,1710925091
node_2,411.83124,1710925091
node_3,415.92266,1710925091
node_1,411.06638,1710925091
master,1136.46642,1710925096
node_2,425.77578,1710925096
node_3,427.00626,1710925096
node_1,421.11562,1710925096
master,1136.59066,1710925101
node_2,427.34924,1710925101
node_3,425.28048,1710925101
node_1,422.7617,1710925101
master,1136.89062,1710925106
node_2,430.7172,1710925106
node_3,425.40078,1710925106
node_1,424.94064,1710925106
master,1137.06092,1710925111
node_2,429.91016,1710925111
node_3,424.49296,1710925111
node_1,423.86484,1710925111
master,1137.00624,1710925116
node_2,425.69296,1710925116
node_3,422.175,1710925116
node_1,423.84846,1710925116
master,1136.7711,1710925121
node_2,422.9586,1710925121
node_3,424.06486,1710925121
node_1,425.29376,1710925121
master,1136.49064,1710925126
node_2,420.64454,1710925126
node_3,427.16094,1710925126
node_1,426.89922,1710925126
master,1136.55156,1710925131
node_2,419.89532,1710925131
node_3,427.84922,1710925131
node_1,429.26484,1710925131
master,1136.64842,1710925136
node_2,422.7164,1710925136
node_3,427.15548,1710925136
node_1,431.68438,1710925136
master,1136.7656,1710925141
node_2,424.43436,1710925141
node_3,426.78908,1710925141
node_1,428.54452,1710925141
master,1137.05388,1710925146
node_2,428.28048,1710925146
node_3,423.80236,1710925146
node_1,428.76638,1710925146
master,1137.26794,1710925151
node_2,429.28672,1710925151
node_3,425.5625,1710925151
node_1,425.0047,1710925151
master,1137.02812,1710925156
node_2,425.08986,1710925156
node_3,427.21482,1710925156
node_1,428.06408,1710925156
master,1135.99452,1710925161
node_2,424.51248,1710925161
node_3,427.19452,1710925161
node_1,430.32734,1710925161
master,1135.51484,1710925166
node_2,423.07576,1710925166
node_3,428.26874,1710925166
node_1,429.98516,1710925166
master,1135.31796,1710925171
node_2,424.30312,1710925171
node_3,427.48828,1710925171
node_1,431.2164,1710925171
master,1135.27344,1710925176
node_2,423.96564,1710925176
node_3,425.66094,1710925176
node_1,429.01172,1710925176
master,1135.2789,1710925181
node_2,426.12502,1710925181
node_3,429.0164,1710925181
node_1,431.71562,1710925181
master,1135.7953,1710925186
node_2,425.05704,1710925186
node_3,429.78048,1710925186
node_1,431.98672,1710925186
master,1135.89766,1710925191
node_2,426.01094,1710925191
node_3,430.40312,1710925191
node_1,432.47268,1710925191
master,1135.45704,1710925196
node_2,429.62656,1710925196
node_3,430.56798,1710925196
node_1,430.7539,1710925196
master,1135.36014,1710925201
node_2,430.38828,1710925201
node_3,429.80938,1710925201
node_1,432.91954,1710925201
