4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1459.18          ---          ---        12.45493        11.45500        25.34300        42.49500       112.41 
Gets        14590.15         5.33     14584.81        12.45035        11.45500        25.21500        42.49500       568.51 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      16049.33         5.33     14584.81        12.45077        11.45500        25.21500        42.49500       680.92 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.391        0.000
SET      10.239        5.000
SET      10.815       10.000
SET      11.007       15.000
SET      11.071       20.000
SET      11.199       25.000
SET      11.263       30.000
SET      11.327       35.000
SET      11.391       40.000
SET      11.455       45.000
SET      11.455       50.000
SET      11.519       52.500
SET      11.519       55.000
SET      11.583       57.500
SET      11.583       60.000
SET      11.647       62.500
SET      11.647       65.000
SET      11.711       67.500
SET      11.775       70.000
SET      11.839       72.500
SET      11.903       75.000
SET      11.967       76.250
SET      12.031       77.500
SET      12.095       78.750
SET      12.159       80.000
SET      12.351       81.250
SET      12.543       82.500
SET      12.799       83.750
SET      13.183       85.000
SET      13.567       86.250
SET      13.951       87.500
SET      14.143       88.125
SET      14.399       88.750
SET      14.719       89.375
SET      15.103       90.000
SET      15.743       90.625
SET      16.767       91.250
SET      18.175       91.875
SET      19.583       92.500
SET      20.607       93.125
SET      21.247       93.750
SET      21.503       94.062
SET      21.631       94.375
SET      21.887       94.688
SET      22.015       95.000
SET      22.143       95.312
SET      22.271       95.625
SET      22.399       95.938
SET      22.527       96.250
SET      22.655       96.562
SET      22.783       96.875
SET      22.911       97.031
SET      22.911       97.188
SET      23.039       97.344
SET      23.039       97.500
SET      23.167       97.656
SET      23.167       97.812
SET      23.295       97.969
SET      23.423       98.125
SET      23.551       98.281
SET      23.679       98.438
SET      23.807       98.516
SET      23.935       98.594
SET      24.063       98.672
SET      24.191       98.750
SET      24.447       98.828
SET      24.831       98.906
SET      25.215       98.984
SET      25.727       99.062
SET      26.367       99.141
SET      27.007       99.219
SET      27.519       99.258
SET      27.903       99.297
SET      28.287       99.336
SET      28.799       99.375
SET      29.311       99.414
SET      29.951       99.453
SET      30.591       99.492
SET      31.231       99.531
SET      31.999       99.570
SET      32.767       99.609
SET      33.279       99.629
SET      33.791       99.648
SET      34.303       99.668
SET      34.815       99.688
SET      35.327       99.707
SET      36.095       99.727
SET      36.607       99.746
SET      37.119       99.766
SET      37.631       99.785
SET      38.655       99.805
SET      38.911       99.814
SET      39.167       99.824
SET      39.679       99.834
SET      39.935       99.844
SET      40.447       99.854
SET      40.959       99.863
SET      41.215       99.873
SET      41.727       99.883
SET      42.239       99.893
SET      42.751       99.902
SET      43.007       99.907
SET      43.263       99.912
SET      43.519       99.917
SET      43.775       99.922
SET      44.287       99.927
SET      44.543       99.932
SET      44.799       99.937
SET      45.311       99.941
SET      45.823       99.946
SET      46.079       99.951
SET      46.591       99.954
SET      46.847       99.956
SET      47.103       99.958
SET      47.615       99.961
SET      47.871       99.963
SET      48.383       99.966
SET      48.895       99.968
SET      49.151       99.971
SET      49.407       99.973
SET      50.175       99.976
SET      50.175       99.977
SET      50.687       99.978
SET      50.687       99.979
SET      50.943       99.980
SET      51.455       99.982
SET      51.711       99.983
SET      51.967       99.984
SET      52.479       99.985
SET      52.735       99.987
SET      53.247       99.988
SET      53.503       99.988
SET      53.503       99.989
SET      53.759       99.990
SET      54.015       99.990
SET      54.271       99.991
SET      54.527       99.991
SET      55.039       99.992
SET      55.295       99.993
SET      55.551       99.993
SET      56.063       99.994
SET      56.063       99.994
SET      56.319       99.995
SET      56.575       99.995
SET      56.831       99.995
SET      56.831       99.995
SET      57.343       99.996
SET      57.343       99.996
SET      57.599       99.996
SET      57.855       99.997
SET      58.111       99.997
SET      58.367       99.997
SET      58.367       99.997
SET      59.391       99.997
SET      59.903       99.998
SET      59.903       99.998
SET      60.159       99.998
SET      60.415       99.998
SET      60.415       99.998
SET      60.671       99.998
SET      60.671       99.998
SET      61.439       99.999
SET      61.439       99.999
SET      61.439       99.999
SET      61.439       99.999
SET      61.439       99.999
SET      62.719       99.999
SET      63.743       99.999
SET      63.743       99.999
SET      63.743       99.999
SET      63.999       99.999
SET      63.999       99.999
SET      63.999       99.999
SET      64.255       99.999
SET      64.255       99.999
SET      64.255       99.999
SET      64.511       99.999
SET      64.511      100.000
SET      64.511      100.000
SET      65.535      100.000
SET      65.535      100.000
SET      65.535      100.000
SET      65.535      100.000
SET      66.559      100.000
SET      66.559      100.000
SET      66.559      100.000
SET      66.559      100.000
SET      66.559      100.000
SET      66.559      100.000
SET      70.143      100.000
SET      70.143      100.000
SET      70.143      100.000
SET      70.143      100.000
SET      70.143      100.000
SET      70.143      100.000
SET      70.143      100.000
SET      70.143      100.000
SET      70.143      100.000
SET      70.143      100.000
SET      73.727      100.000
SET      73.727      100.000
---
GET       1.263        0.000
GET      10.239        5.000
GET      10.815       10.000
GET      11.007       15.000
GET      11.071       20.000
GET      11.199       25.000
GET      11.263       30.000
GET      11.327       35.000
GET      11.391       40.000
GET      11.455       45.000
GET      11.455       50.000
GET      11.519       52.500
GET      11.519       55.000
GET      11.583       57.500
GET      11.583       60.000
GET      11.647       62.500
GET      11.647       65.000
GET      11.711       67.500
GET      11.775       70.000
GET      11.839       72.500
GET      11.903       75.000
GET      11.967       76.250
GET      12.031       77.500
GET      12.095       78.750
GET      12.159       80.000
GET      12.351       81.250
GET      12.543       82.500
GET      12.799       83.750
GET      13.119       85.000
GET      13.503       86.250
GET      13.951       87.500
GET      14.143       88.125
GET      14.399       88.750
GET      14.655       89.375
GET      15.103       90.000
GET      15.679       90.625
GET      16.767       91.250
GET      18.175       91.875
GET      19.583       92.500
GET      20.479       93.125
GET      21.247       93.750
GET      21.503       94.062
GET      21.631       94.375
GET      21.887       94.688
GET      22.015       95.000
GET      22.143       95.312
GET      22.271       95.625
GET      22.399       95.938
GET      22.527       96.250
GET      22.655       96.562
GET      22.783       96.875
GET      22.911       97.031
GET      22.911       97.188
GET      23.039       97.344
GET      23.039       97.500
GET      23.167       97.656
GET      23.167       97.812
GET      23.295       97.969
GET      23.423       98.125
GET      23.551       98.281
GET      23.679       98.438
GET      23.807       98.516
GET      23.807       98.594
GET      24.063       98.672
GET      24.191       98.750
GET      24.447       98.828
GET      24.703       98.906
GET      25.087       98.984
GET      25.599       99.062
GET      26.239       99.141
GET      26.879       99.219
GET      27.263       99.258
GET      27.775       99.297
GET      28.159       99.336
GET      28.671       99.375
GET      29.183       99.414
GET      29.823       99.453
GET      30.463       99.492
GET      31.103       99.531
GET      31.871       99.570
GET      32.639       99.609
GET      33.279       99.629
GET      33.535       99.648
GET      34.303       99.668
GET      34.815       99.688
GET      35.327       99.707
GET      35.839       99.727
GET      36.607       99.746
GET      37.119       99.766
GET      37.887       99.785
GET      38.399       99.805
GET      38.911       99.814
GET      39.167       99.824
GET      39.423       99.834
GET      39.935       99.844
GET      40.191       99.854
GET      40.703       99.863
GET      41.215       99.873
GET      41.727       99.883
GET      42.239       99.893
GET      42.751       99.902
GET      43.007       99.907
GET      43.263       99.912
GET      43.519       99.917
GET      44.031       99.922
GET      44.287       99.927
GET      44.543       99.932
GET      45.055       99.937
GET      45.311       99.941
GET      45.823       99.946
GET      46.335       99.951
GET      46.591       99.954
GET      46.847       99.956
GET      47.103       99.958
GET      47.359       99.961
GET      47.871       99.963
GET      48.127       99.966
GET      48.639       99.968
GET      48.895       99.971
GET      49.407       99.973
GET      49.919       99.976
GET      50.175       99.977
GET      50.175       99.978
GET      50.687       99.979
GET      50.943       99.980
GET      51.199       99.982
GET      51.711       99.983
GET      51.967       99.984
GET      52.479       99.985
GET      52.735       99.987
GET      53.247       99.988
GET      53.503       99.988
GET      54.015       99.989
GET      54.271       99.990
GET      54.527       99.990
GET      54.783       99.991
GET      55.039       99.991
GET      55.295       99.992
GET      55.807       99.993
GET      56.063       99.993
GET      56.575       99.994
GET      56.575       99.994
GET      56.831       99.995
GET      57.087       99.995
GET      57.343       99.995
GET      57.599       99.995
GET      57.855       99.996
GET      58.111       99.996
GET      58.367       99.996
GET      58.879       99.997
GET      59.135       99.997
GET      59.391       99.997
GET      59.647       99.997
GET      59.903       99.997
GET      59.903       99.998
GET      60.159       99.998
GET      60.415       99.998
GET      60.671       99.998
GET      60.927       99.998
GET      61.183       99.998
GET      61.439       99.998
GET      61.695       99.999
GET      61.951       99.999
GET      61.951       99.999
GET      62.207       99.999
GET      62.463       99.999
GET      62.719       99.999
GET      62.975       99.999
GET      63.231       99.999
GET      63.743       99.999
GET      64.255       99.999
GET      64.511       99.999
GET      65.023       99.999
GET      65.279       99.999
GET      65.535       99.999
GET      65.535       99.999
GET      66.047       99.999
GET      66.047      100.000
GET      66.047      100.000
GET      66.559      100.000
GET      66.559      100.000
GET      67.071      100.000
GET      67.071      100.000
GET      67.583      100.000
GET      67.583      100.000
GET      68.095      100.000
GET      68.095      100.000
GET      68.607      100.000
GET      69.119      100.000
GET      69.631      100.000
GET      71.679      100.000
GET      72.191      100.000
GET      72.191      100.000
GET      72.703      100.000
GET      73.215      100.000
GET      73.727      100.000
GET      74.239      100.000
GET      74.751      100.000
GET      74.751      100.000
GET      75.263      100.000
GET      75.263      100.000
GET      75.775      100.000
GET      75.775      100.000
GET      75.775      100.000
GET      75.775      100.000
GET      75.775      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      76.799      100.000
GET      77.311      100.000
GET      77.311      100.000
---
WAIT      0.000      100.000
