time="2024-03-21T05:35:27.017" level=info msg="Starting kbench..."
time="2024-03-21T05:35:27.019" level=info msg="Created a new Pod manager."
time="2024-03-21T05:35:27.037" level=warning msg="Fail to create namespace kbench-pod-namespace, namespaces \"kbench-pod-namespace\" already exists"
time="2024-03-21T05:35:27.037" level=info msg="Performing pod actions in operation 0"
time="2024-03-21T05:35:27.037" level=info msg="Waiting all threads to finish on the current operation"
time="2024-03-21T05:35:27.058" level=error msg="pods \"kbench-pod-oid-0-tid-2\" already exists"
time="2024-03-21T05:35:27.058" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-21T05:35:27.058" level=error msg="pods \"kbench-pod-oid-0-tid-1\" already exists"
time="2024-03-21T05:35:27.058" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-21T05:35:27.058" level=error msg="pods \"kbench-pod-oid-0-tid-0\" already exists"
time="2024-03-21T05:35:27.058" level=info msg="Sleep 100000 mili-seconds after CREATE action"
time="2024-03-21T05:37:07.058" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:10.059" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:13.059" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:16.059" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:19.060" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:22.060" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:25.060" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:28.061" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:31.061" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:34.061" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:37.062" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:40.062" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:43.062" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:46.063" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:49.063" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:52.063" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:55.064" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:37:58.064" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:38:01.064" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:38:04.065" level=info msg="Not all Pod are running, wait for 3000 mili-seconds..."
time="2024-03-21T05:38:07.065" level=warning msg="Timed out after waiting 60000 mili-seconds, moving forward..."
time="2024-03-21T05:38:07.065" level=info msg="One operation completed. Continue to run the next..."
time="2024-03-21T05:38:07.213" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:07.213" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:07.213" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:10.346" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:10.346" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:10.347" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:13.467" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:13.467" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:13.467" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:16.582" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:16.582" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:16.583" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:19.713" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:19.713" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:19.713" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:22.846" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:22.846" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:22.846" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:25.977" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:25.977" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:25.977" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:29.089" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:29.089" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:29.089" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:32.204" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:32.204" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:32.204" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:35.327" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:35.327" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:35.327" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:38.442" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:38.442" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:38.442" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:41.563" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:41.563" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:41.563" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:44.691" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:44.691" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:44.691" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:47.805" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:47.806" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:47.806" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:50.937" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:50.937" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:50.937" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:54.075" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:54.075" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:54.075" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:38:57.196" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:38:57.196" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:38:57.196" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:00.331" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:00.331" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:00.331" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:03.456" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:03.456" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:03.456" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:06.564" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:06.564" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:06.564" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
time="2024-03-21T05:39:09.685" level=info msg="Container rediscontainer on pod kbench-pod-oid-0-tid-0, Run out:  err: ls: cannot access '/memtier_benchmark/memtier_benchmark': No such file or directory\n"
time="2024-03-21T05:39:09.685" level=warning msg="Command predicate not passed, output does not contain specified string"
time="2024-03-21T05:39:09.685" level=info msg="Predicate not passed, sleep 3000 mili-seconds"
