hostname,value,timestamp
node_3,364.33124,1710698176
node_1,371.85158,1710698176
node_2,373.6289,1710698176
master,1022.36018,1710698176
node_3,364.45544,1710698181
node_1,371.34374,1710698181
node_2,374.07032,1710698181
master,1022.33828,1710698181
node_3,364.8703,1710698186
node_1,370.57344,1710698186
node_2,374.45706,1710698186
master,1022.30782,1710698186
node_3,365.13906,1710698191
node_1,370.00782,1710698191
node_2,374.98596,1710698191
master,1022.2781,1710698191
node_3,365.49064,1710698196
node_1,369.45704,1710698196
node_2,375.95314,1710698196
master,1022.2578,1710698196
node_3,365.3547,1710698201
node_1,369.74532,1710698201
node_2,376.42032,1710698201
master,1022.17736,1710698201
node_3,365.3203,1710698206
node_1,369.70702,1710698206
node_2,376.63514,1710698206
master,1021.9258,1710698206
node_3,365.0086,1710698211
node_1,369.9789,1710698211
node_2,376.72812,1710698211
master,1021.8914,1710698211
node_3,364.78284,1710698216
node_1,370.1969,1710698216
node_2,376.94064,1710698216
master,1021.80158,1710698216
node_3,364.62266,1710698221
node_1,370.12112,1710698221
node_2,377.1039,1710698221
master,1021.57732,1710698221
node_3,364.6586,1710698226
node_1,370.1086,1710698226
node_2,376.99844,1710698226
master,1021.55938,1710698226
node_3,364.80002,1710698231
node_1,370.0461,1710698231
node_2,377.17814,1710698231
master,1021.53358,1710698231
node_3,364.79222,1710698236
node_1,370.15858,1710698236
node_2,377.4867,1710698236
master,1021.31248,1710698236
node_3,364.78674,1710698241
node_1,369.91956,1710698241
node_2,377.51094,1710698241
master,1021.22736,1710698241
node_3,364.77028,1710698246
node_1,369.84844,1710698246
node_2,377.47032,1710698246
master,1021.14216,1710698246
node_3,364.80468,1710698251
node_1,370.06876,1710698251
node_2,377.27888,1710698251
master,1020.66252,1710698251
node_3,364.95544,1710698256
node_1,370.2078,1710698256
node_2,377.15314,1710698256
master,1020.63592,1710698256
node_3,364.94452,1710698261
node_1,370.34998,1710698261
node_2,377.30704,1710698261
master,1020.61252,1710698261
node_3,364.9336,1710698266
node_1,370.05002,1710698266
node_2,377.08282,1710698266
master,1020.59456,1710698266
node_3,365.26722,1710698271
node_1,369.71406,1710698271
node_2,376.63048,1710698271
master,1020.57108,1710698271
node_3,365.493,1710698276
node_1,368.84844,1710698276
node_2,376.25232,1710698276
master,1020.55626,1710698276
node_3,365.81096,1710698281
node_1,369.19222,1710698281
node_2,376.50468,1710698281
master,1020.42812,1710698281
node_3,365.84926,1710698286
node_1,368.92268,1710698286
node_2,376.41016,1710698286
master,1020.44142,1710698286
node_3,366.17654,1710698291
node_1,368.96486,1710698291
node_2,376.45,1710698291
master,1020.6414,1710698291
node_3,366.88592,1710698296
node_1,369.17968,1710698296
node_2,376.37578,1710698296
master,1020.78906,1710698296
node_3,367.81794,1710698301
node_1,369.08908,1710698301
node_2,376.03282,1710698301
master,1020.93906,1710698301
node_3,368.6805,1710698306
node_1,368.74924,1710698306
node_2,375.4703,1710698306
master,1020.87262,1710698306
node_3,369.05472,1710698311
node_1,368.69454,1710698311
node_2,374.90468,1710698311
master,1020.80934,1710698311
node_3,369.3758,1710698316
node_1,368.78904,1710698316
node_2,374.87888,1710698316
master,1020.58124,1710698316
node_3,369.61878,1710698321
node_1,368.9617,1710698321
node_2,374.55938,1710698321
master,1020.5242,1710698321
node_3,369.65936,1710698326
node_1,368.8867,1710698326
node_2,374.3453,1710698326
master,1020.72032,1710698326
node_3,369.69372,1710698331
node_1,368.76954,1710698331
node_2,374.19452,1710698331
master,1020.81874,1710698331
node_3,369.7516,1710698336
node_1,368.4039,1710698336
node_2,373.95702,1710698336
master,1020.8672,1710698336
node_3,369.68048,1710698341
node_1,368.07736,1710698341
node_2,373.79218,1710698341
master,1020.09844,1710698341
node_3,369.8086,1710698346
node_1,367.12344,1710698346
node_2,374.37266,1710698346
master,1019.99766,1710698346
node_3,369.3664,1710698351
node_1,366.69374,1710698351
node_2,374.70234,1710698351
master,1019.99138,1710698351
node_3,369.52578,1710698356
node_1,366.22502,1710698356
node_2,374.84138,1710698356
master,1019.92498,1710698356
node_3,369.5508,1710698361
node_1,366.38908,1710698361
node_2,375.48828,1710698361
master,1020.19296,1710698361
node_3,369.19376,1710698366
node_1,366.07264,1710698366
node_2,376.16956,1710698366
master,1020.19842,1710698366
node_3,369.56328,1710698371
node_1,366.15234,1710698371
node_2,376.17264,1710698371
master,1019.96876,1710698371
node_3,369.70702,1710698376
node_1,366.48594,1710698376
node_2,375.90704,1710698376
master,1019.8,1710698376
node_3,369.50938,1710698381
node_1,366.91486,1710698381
node_2,375.73282,1710698381
master,1019.89142,1710698381
node_3,369.1914,1710698386
node_1,366.79296,1710698386
node_2,375.93746,1710698386
master,1019.82814,1710698386
node_3,369.44528,1710698391
node_1,366.84452,1710698391
node_2,376.30388,1710698391
master,1019.76174,1710698391
node_3,368.83906,1710698396
node_1,366.96872,1710698396
node_2,376.66872,1710698396
master,1019.72264,1710698396
node_3,368.5711,1710698401
node_1,366.9883,1710698401
node_2,377.29766,1710698401
master,1019.53124,1710698401
node_3,368.8422,1710698406
node_1,367.21562,1710698406
node_2,377.86252,1710698406
master,1019.5742,1710698406
node_3,368.88746,1710698411
node_1,367.53358,1710698411
node_2,378.18204,1710698411
master,1019.293,1710698411
node_3,368.78594,1710698416
node_1,368.26798,1710698416
node_2,378.17268,1710698416
master,1019.51716,1710698416
node_3,368.6242,1710698421
node_1,369.12342,1710698421
node_2,378.30548,1710698421
master,1019.49766,1710698421
node_3,368.72656,1710698426
node_1,369.5039,1710698426
node_2,378.7242,1710698426
master,1019.46876,1710698426
node_3,368.38594,1710698431
node_1,370.0273,1710698431
node_2,378.8867,1710698431
master,1019.43438,1710698431
node_3,368.2461,1710698436
node_1,370.3039,1710698436
node_2,379.25392,1710698436
master,1019.19842,1710698436
node_3,367.9883,1710698441
node_1,370.67894,1710698441
node_2,379.51252,1710698441
master,1019.11954,1710698441
node_3,367.86718,1710698446
node_1,370.41168,1710698446
node_2,379.45314,1710698446
master,1019.23748,1710698446
node_3,367.64766,1710698451
node_1,370.37892,1710698451
node_2,379.53828,1710698451
master,1019.31718,1710698451
node_3,367.83592,1710698456
node_1,370.63514,1710698456
node_2,379.67108,1710698456
master,1019.53988,1710698456
node_3,367.37578,1710698461
node_1,371.10004,1710698461
node_2,379.55078,1710698461
master,1019.55622,1710698461
node_3,367.09842,1710698466
node_1,371.07576,1710698466
node_2,379.53202,1710698466
master,1019.43044,1710698466
node_3,367.4094,1710698471
node_1,371.16172,1710698471
node_2,379.82266,1710698471
master,1019.11564,1710698471
