hostname,value,timestamp
node_3,79.487166,1711088556
node_2,84.018014,1711088556
master,96.365402,1711088556
node_1,86.234686,1711088556
node_3,93.994532,1711088561
node_2,95.104158,1711088561
master,97.623424,1711088561
node_1,95.805702,1711088561
node_3,94.77015,1711088566
node_2,94.55346,1711088566
master,97.659712,1711088566
node_1,94.679136,1711088566
node_3,94.607236,1711088571
node_2,94.981484,1711088571
master,97.761794,1711088571
node_1,95.457112,1711088571
node_3,95.31369,1711088576
node_2,94.316662,1711088576
master,97.99333,1711088576
node_1,94.18084,1711088576
node_3,94.83355,1711088581
node_2,95.315954,1711088581
master,97.774762,1711088581
node_1,95.68384,1711088581
node_3,94.715306,1711088586
node_2,93.986526,1711088586
master,97.84393,1711088586
node_1,94.374938,1711088586
node_3,94.830894,1711088591
node_2,94.631994,1711088591
master,97.593676,1711088591
node_1,95.861814,1711088591
node_3,95.21319,1711088596
node_2,94.49982,1711088596
master,97.496136,1711088596
node_1,94.595634,1711088596
node_3,94.847786,1711088601
node_2,94.951276,1711088601
master,97.808358,1711088601
node_1,95.244232,1711088601
node_3,94.964206,1711088606
node_2,94.401554,1711088606
master,97.94212,1711088606
node_1,95.137922,1711088606
node_3,94.946152,1711088611
node_2,94.203358,1711088611
master,98.045112,1711088611
node_1,95.052076,1711088611
node_3,94.172986,1711088616
node_2,93.783276,1711088616
master,97.759514,1711088616
node_1,94.433808,1711088616
node_3,94.473146,1711088621
node_2,95.054482,1711088621
master,97.944934,1711088621
node_1,95.80163,1711088621
node_3,94.089308,1711088626
node_2,93.439674,1711088626
master,98.028394,1711088626
node_1,93.580856,1711088626
node_3,94.215886,1711088631
node_2,95.218426,1711088631
master,97.926034,1711088631
node_1,95.35212,1711088631
node_3,95.058978,1711088636
node_2,93.77352,1711088636
master,97.829052,1711088636
node_1,94.314002,1711088636
node_3,94.689656,1711088641
node_2,94.75966,1711088641
master,98.00818,1711088641
node_1,95.18933,1711088641
node_3,95.06028,1711088646
node_2,92.40776,1711088646
master,97.895682,1711088646
node_1,94.945378,1711088646
