hostname,value,timestamp
node_2,388.80548,1711117556
master,1098.88124,1711117556
node_3,403.57812,1711117556
node_1,402.87422,1711117556
node_2,378.543,1711117561
master,1098.87264,1711117561
node_3,402.11094,1711117561
node_1,399.18984,1711117561
node_2,378.68674,1711117566
master,1099.58046,1711117566
node_3,401.5164,1711117566
node_1,399.32418,1711117566
node_2,379.02032,1711117571
master,1099.9289,1711117571
node_3,400.67656,1711117571
node_1,399.6695,1711117571
node_2,379.78908,1711117576
master,1099.91096,1711117576
node_3,400.29454,1711117576
node_1,399.66404,1711117576
node_2,380.47972,1711117581
master,1099.82656,1711117581
node_3,399.89218,1711117581
node_1,399.80782,1711117581
node_2,380.82114,1711117586
master,1099.78982,1711117586
node_1,399.575,1711117586
node_3,399.38436,1711117586
node_2,380.968,1711117591
master,1100.47108,1711117591
node_3,399.7805,1711117591
node_1,399.58122,1711117591
node_2,380.96872,1711117596
master,1100.82032,1711117596
node_3,400.22968,1711117596
node_1,400.03594,1711117596
node_2,381.04998,1711117601
master,1100.9992,1711117601
node_3,400.17422,1711117601
node_1,399.56482,1711117601
node_2,381.17268,1711117606
master,1101.16252,1711117606
node_1,399.32814,1711117606
node_3,399.78752,1711117606
node_2,381.27424,1711117611
master,1101.3516,1711117611
node_3,399.38828,1711117611
node_1,399.1797,1711117611
node_2,381.6086,1711117616
master,1100.27658,1711117616
node_3,396.075,1711117616
node_1,399.40548,1711117616
node_2,381.8789,1711117621
master,1096.01954,1711117621
node_3,395.04608,1711117621
node_1,399.39218,1711117621
node_2,381.8711,1711117626
master,1095.89456,1711117626
node_3,392.11644,1711117626
node_1,396.6625,1711117626
node_2,381.96252,1711117631
master,1093.20544,1711117631
node_3,391.40312,1711117631
node_1,395.03124,1711117631
node_2,382.0914,1711117636
master,1093.3508,1711117636
node_3,390.96328,1711117636
node_1,394.73046,1711117636
node_2,382.09216,1711117641
master,1092.92658,1711117641
node_3,390.72966,1711117641
node_1,394.26954,1711117641
node_2,382.08746,1711117646
master,1092.58748,1711117646
node_3,390.18048,1711117646
node_1,394.82032,1711117646
node_2,382.17732,1711117651
master,1092.16952,1711117651
node_3,389.61562,1711117651
node_1,394.88594,1711117651
node_2,382.30002,1711117656
master,1092.37658,1711117656
node_3,389.74376,1711117656
node_1,394.79376,1711117656
node_2,382.39924,1711117661
master,1092.38282,1711117661
node_3,389.36718,1711117661
node_1,394.45314,1711117661
node_2,382.79066,1711117666
master,1092.06174,1711117666
node_1,394.21718,1711117666
node_3,389.28122,1711117666
node_2,382.88754,1711117671
master,1092.11564,1711117671
node_3,389.5336,1711117671
node_1,393.70314,1711117671
node_2,383.28122,1711117676
master,1092.14612,1711117676
node_3,389.65704,1711117676
node_1,393.3742,1711117676
node_2,383.51172,1711117681
master,1092.55548,1711117681
node_3,390.14766,1711117681
node_1,393.21954,1711117681
node_2,383.7383,1711117686
master,1092.57576,1711117686
node_3,390.2594,1711117686
node_1,393.7711,1711117686
node_2,384.0711,1711117691
master,1092.3117,1711117691
node_3,390.40312,1711117691
node_1,393.46174,1711117691
node_2,384.1992,1711117696
master,1092.60312,1711117696
node_3,390.49454,1711117696
node_1,393.3461,1711117696
node_2,384.28516,1711117701
master,1092.33356,1711117701
node_3,390.77344,1711117701
node_1,393.3859,1711117701
node_2,384.41254,1711117706
master,1092.21716,1711117706
node_3,391.24766,1711117706
node_1,393.64842,1711117706
node_2,384.407,1711117711
master,1091.79688,1711117711
node_3,390.82186,1711117711
node_1,393.79374,1711117711
node_2,384.40934,1711117716
master,1092.00626,1711117716
node_3,390.525,1711117716
node_1,394.07892,1711117716
node_2,384.4062,1711117721
master,1092.23362,1711117721
node_3,390.38202,1711117721
node_1,394.50548,1711117721
node_2,384.48436,1711117726
master,1092.3719,1711117726
node_3,389.70704,1711117726
node_1,394.5828,1711117726
node_2,384.67032,1711117731
master,1092.3047,1711117731
node_3,390.01408,1711117731
node_1,394.20468,1711117731
node_2,385.19688,1711117736
master,1092.64612,1711117736
node_3,390.14454,1711117736
node_1,394.1758,1711117736
node_2,385.76484,1711117741
master,1093.07892,1711117741
node_3,390.41794,1711117741
node_1,393.88126,1711117741
node_2,386.14452,1711117746
master,1093.41486,1711117746
node_3,390.08908,1711117746
node_1,393.63674,1711117746
node_2,386.86794,1711117751
master,1093.72812,1711117751
node_3,390.29296,1711117751
node_1,393.06562,1711117751
node_2,387.20858,1711117756
master,1093.57344,1711117756
node_3,389.7375,1711117756
node_1,392.42344,1711117756
node_2,387.94064,1711117761
master,1093.4867,1711117761
node_3,389.62108,1711117761
node_1,391.63438,1711117761
node_2,388.92502,1711117766
master,1093.81638,1711117766
node_3,389.5156,1711117766
node_1,392.12342,1711117766
node_2,389.70856,1711117771
master,1093.58984,1711117771
node_3,389.07656,1711117771
node_1,391.72502,1711117771
node_2,389.59374,1711117776
master,1092.98748,1711117776
node_3,389.15624,1711117776
node_1,391.17812,1711117776
node_2,389.6562,1711117781
master,1092.73046,1711117781
node_3,388.68984,1711117781
node_1,391.12576,1711117781
node_2,389.6234,1711117786
master,1092.61328,1711117786
node_3,389.03204,1711117786
node_1,391.54218,1711117786
node_2,389.33748,1711117791
master,1092.5969,1711117791
node_3,389.37578,1711117791
node_1,391.7125,1711117791
node_2,388.91952,1711117796
master,1092.68282,1711117796
node_3,389.46952,1711117796
node_1,391.6,1711117796
node_2,388.4375,1711117801
master,1092.7328,1711117801
node_3,389.48362,1711117801
node_1,391.8328,1711117801
node_2,388.1891,1711117806
node_3,389.70234,1711117806
node_1,391.69766,1711117806
node_2,387.95628,1711117811
node_3,389.51718,1711117811
node_1,391.43126,1711117811
node_2,387.91252,1711117816
node_3,389.59298,1711117816
node_1,392.16096,1711117816
node_2,387.61718,1711117821
node_3,389.82656,1711117821
node_1,392.00782,1711117821
node_2,387.76718,1711117826
node_3,389.9953,1711117826
node_1,391.99298,1711117826
node_2,387.61406,1711117831
node_3,389.94846,1711117831
node_1,391.39532,1711117831
node_2,387.3414,1711117836
node_3,389.99374,1711117836
node_1,391.41798,1711117836
node_2,387.30546,1711117841
node_3,390.24374,1711117841
node_1,391.4328,1711117841
node_2,387.63046,1711117846
node_3,390.66328,1711117846
node_1,391.43752,1711117846
node_2,388.1203,1711117851
node_3,391.3875,1711117851
node_1,390.95782,1711117851
node_2,388.01562,1711117856
node_3,391.61248,1711117856
node_1,389.8625,1711117856
node_2,388.14294,1711117861
node_3,391.46796,1711117861
node_1,389.88592,1711117861
node_2,388.1406,1711117866
node_3,391.20392,1711117866
node_1,389.1258,1711117866
node_2,388.17812,1711117871
node_3,390.5805,1711117871
node_1,389.4492,1711117871
node_2,388.35082,1711117876
node_3,390.42344,1711117876
node_1,388.9828,1711117876
node_2,388.39144,1711117881
node_1,389.09298,1711117881
node_3,390.36642,1711117881
node_2,388.36562,1711117886
node_3,389.20548,1711117886
node_1,388.62966,1711117886
node_2,388.19842,1711117891
node_3,389.51406,1711117891
node_1,388.6492,1711117891
node_2,388.2008,1711117896
node_3,389.7734,1711117896
node_1,388.2414,1711117896
node_2,388.46874,1711117901
node_3,390.11404,1711117901
node_1,388.59924,1711117901
node_2,388.38828,1711117906
node_3,390.0086,1711117906
node_1,388.63828,1711117906
node_2,388.45856,1711117911
node_3,389.89844,1711117911
node_1,388.73748,1711117911
node_2,388.61876,1711117916
node_3,389.58046,1711117916
node_1,388.74766,1711117916
node_2,388.84298,1711117921
node_3,389.26874,1711117921
node_1,388.72658,1711117921
node_2,388.86406,1711117926
node_3,388.86874,1711117926
node_1,389.1828,1711117926
node_2,388.43124,1711117931
node_3,388.49064,1711117931
node_1,389.19298,1711117931
node_2,388.23282,1711117936
node_3,388.28516,1711117936
node_1,389.72422,1711117936
node_2,387.92656,1711117941
node_3,388.14298,1711117941
node_1,390.39456,1711117941
node_2,387.72894,1711117946
node_3,388.15234,1711117946
node_1,390.16562,1711117946
node_2,387.7266,1711117951
node_3,387.87266,1711117951
node_1,389.64294,1711117951
node_2,387.81174,1711117956
node_3,387.84376,1711117956
node_1,389.41722,1711117956
node_2,387.9414,1711117961
node_3,387.46016,1711117961
node_1,389.25704,1711117961
node_2,387.88516,1711117966
node_3,386.80622,1711117966
node_1,388.51562,1711117966
node_2,387.87422,1711117971
node_3,386.56014,1711117971
node_1,388.1375,1711117971
node_2,387.86954,1711117976
node_3,385.78594,1711117976
node_1,388.1578,1711117976
node_2,387.8672,1711117981
node_3,385.52736,1711117981
node_1,388.31328,1711117981
node_2,387.95234,1711117986
node_3,385.19452,1711117986
node_1,388.25158,1711117986
node_2,388.082,1711117991
node_3,384.68048,1711117991
node_1,388.0297,1711117991
node_2,388.07888,1711117996
node_3,384.66718,1711117996
node_1,388.53048,1711117996
node_2,388.11874,1711118001
node_3,384.64454,1711118001
node_1,389.14218,1711118001
node_2,388.29066,1711118006
node_3,384.78826,1711118006
node_1,389.23046,1711118006
node_2,388.2891,1711118011
node_3,384.08438,1711118011
node_1,389.6289,1711118011
node_2,388.28754,1711118016
node_3,384.08516,1711118016
node_1,390.0336,1711118016
node_2,388.2852,1711118021
node_3,384.43826,1711118021
node_1,390.2492,1711118021
node_2,388.2836,1711118026
node_3,384.96012,1711118026
node_1,390.1664,1711118026
node_2,388.2773,1711118031
node_3,384.75388,1711118031
node_1,389.4336,1711118031
node_2,388.27496,1711118036
node_3,384.5914,1711118036
node_1,389.20546,1711118036
node_2,388.36092,1711118041
node_3,384.76952,1711118041
node_1,389.04924,1711118041
node_2,388.57734,1711118046
node_3,384.63048,1711118046
node_1,388.31484,1711118046
node_2,388.5492,1711118051
node_3,384.85002,1711118051
node_1,387.84766,1711118051
node_2,388.29762,1711118056
node_3,385.45626,1711118056
node_1,387.35546,1711118056
node_2,387.87734,1711118061
node_3,385.86798,1711118061
node_1,386.73592,1711118061
node_2,387.79296,1711118066
node_3,385.9539,1711118066
node_1,386.86484,1711118066
node_2,387.52344,1711118071
node_3,386.0031,1711118071
node_1,387.51328,1711118071
node_2,387.43438,1711118076
node_3,385.47266,1711118076
node_1,388.13124,1711118076
node_2,387.54452,1711118081
node_3,384.91642,1711118081
node_1,388.47344,1711118081
node_2,387.45936,1711118086
node_3,384.78046,1711118086
node_1,389,1711118086
node_2,387.25392,1711118091
node_3,384.81484,1711118091
node_1,389.42654,1711118091
node_2,387.74222,1711118096
node_3,384.97654,1711118096
node_1,389.96484,1711118096
node_2,387.7891,1711118101
node_3,384.73828,1711118101
node_1,389.86562,1711118101
node_2,387.78676,1711118106
node_3,384.8336,1711118106
node_1,389.90392,1711118106
node_2,387.97656,1711118111
node_3,384.89376,1711118111
node_1,390.0547,1711118111
node_2,388.33514,1711118116
node_3,384.99456,1711118116
node_1,390.12502,1711118116
node_2,388.22966,1711118121
node_3,384.95858,1711118121
node_1,389.99532,1711118121
node_2,387.8211,1711118126
node_3,385.13356,1711118126
node_1,390.07968,1711118126
node_2,388.47108,1711118131
node_3,384.87734,1711118131
node_1,390.52812,1711118131
node_2,388.0125,1711118136
node_3,385.1703,1711118136
node_1,390.76484,1711118136
node_2,387.77186,1711118141
node_3,385.35468,1711118141
node_1,390.94922,1711118141
node_2,387.68128,1711118146
node_3,385.46958,1711118146
node_1,391.1523,1711118146
node_2,387.24294,1711118151
node_3,385.30622,1711118151
node_1,391.80472,1711118151
node_2,387.2328,1711118156
node_3,385.21096,1711118156
node_1,391.62266,1711118156
node_2,387.53672,1711118161
node_3,385.0633,1711118161
node_1,391.70624,1711118161
node_2,387.8531,1711118166
node_3,385.46798,1711118166
node_1,391.375,1711118166
node_2,387.8984,1711118171
node_3,385.34688,1711118171
node_1,390.70626,1711118171
node_2,387.98436,1711118176
node_3,385.018,1711118176
node_1,390.90078,1711118176
node_2,388.20078,1711118181
node_3,384.5414,1711118181
node_1,390.86796,1711118181
node_2,388.37888,1711118186
node_3,384.76096,1711118186
node_1,390.66562,1711118186
node_2,388.61562,1711118191
node_3,385.0977,1711118191
node_1,390.5578,1711118191
node_2,388.53128,1711118196
node_3,385.42812,1711118196
node_1,390.82658,1711118196
node_2,388.55156,1711118201
node_3,385.98908,1711118201
node_1,391.05004,1711118201
node_2,388.59688,1711118206
node_3,386.25546,1711118206
node_1,391.45312,1711118206
node_2,388.7109,1711118211
node_3,386.34142,1711118211
node_1,392.03128,1711118211
node_2,388.70856,1711118216
node_3,386.80156,1711118216
node_1,392.36246,1711118216
node_2,388.75232,1711118221
node_3,386.79454,1711118221
node_1,392.07578,1711118221
node_2,388.48282,1711118226
node_3,386.66874,1711118226
node_1,391.80078,1711118226
node_2,387.52578,1711118231
node_1,391.7961,1711118231
node_3,386.28594,1711118231
node_2,387.2797,1711118236
node_3,386.31486,1711118236
node_1,391.86718,1711118236
node_2,386.95626,1711118241
node_3,386.2297,1711118241
node_1,391.80546,1711118241
node_2,386.62184,1711118246
node_3,386.00078,1711118246
node_1,391.9953,1711118246
node_2,386.9023,1711118251
node_3,385.80856,1711118251
node_1,391.69374,1711118251
node_2,386.98436,1711118256
node_3,385.35312,1711118256
node_1,390.70704,1711118256
node_2,387.1133,1711118261
node_3,385.33046,1711118261
node_1,390.40938,1711118261
node_2,387.11096,1711118266
node_3,385.1453,1711118266
node_1,390.0742,1711118266
node_2,387.28438,1711118271
node_3,384.42732,1711118271
node_1,389.85548,1711118271
node_2,387.54456,1711118276
node_3,383.76404,1711118276
node_1,389.96016,1711118276
node_2,387.82736,1711118281
node_3,383.22888,1711118281
node_1,389.85706,1711118281
node_2,388.20234,1711118286
node_3,382.94686,1711118286
node_1,390.02268,1711118286
node_2,388.3328,1711118291
node_3,382.35234,1711118291
node_1,390.1211,1711118291
node_2,388.46012,1711118296
node_3,382.2828,1711118296
node_1,390.10156,1711118296
node_2,388.54452,1711118301
node_3,382.4125,1711118301
node_1,389.74296,1711118301
node_2,388.92034,1711118306
node_3,382.6578,1711118306
node_1,389.49766,1711118306
node_2,389.25158,1711118311
master,865.07658,1711118311
node_3,382.25544,1711118311
node_1,389.28752,1711118311
node_2,389.37264,1711118316
master,863.48672,1711118316
node_3,382.28204,1711118316
node_1,389.58048,1711118316
node_2,389.33436,1711118321
master,865.96096,1711118321
node_3,382.2672,1711118321
node_1,389.2219,1711118321
node_2,389.0117,1711118326
master,867.65392,1711118326
node_3,381.83048,1711118326
node_1,388.9727,1711118326
node_2,388.8164,1711118331
master,868.47656,1711118331
node_3,382.1211,1711118331
node_1,388.9727,1711118331
node_2,388.56016,1711118336
master,869.77502,1711118336
node_3,382.16796,1711118336
node_1,389.15624,1711118336
node_2,388.34376,1711118341
master,882.17576,1711118341
node_3,382.42732,1711118341
node_1,389.0875,1711118341
node_2,388.66716,1711118346
master,903.90626,1711118346
node_3,382.5547,1711118346
node_1,389.14768,1711118346
node_2,388.75778,1711118351
master,907.74686,1711118351
node_3,383.12268,1711118351
node_1,389.20624,1711118351
node_2,388.96798,1711118356
master,910.7828,1711118356
node_3,383.5,1711118356
node_1,389.41174,1711118356
node_2,388.67342,1711118361
master,913.34454,1711118361
node_3,383.7461,1711118361
node_1,389.43828,1711118361
node_2,388.30002,1711118366
master,914.73594,1711118366
node_3,383.74298,1711118366
node_1,389.38438,1711118366
node_2,388.13128,1711118371
master,915.25782,1711118371
node_3,384.075,1711118371
node_1,389.60624,1711118371
node_2,388,1711118376
master,916.2875,1711118376
node_3,384.20076,1711118376
node_1,389.63048,1711118376
node_2,387.60702,1711118381
master,917.18514,1711118381
node_3,384.1992,1711118381
node_1,389.6164,1711118381
node_2,387.25702,1711118386
master,918.6453,1711118386
node_3,384.58984,1711118386
node_1,389.4891,1711118386
node_2,387.08202,1711118391
master,918.84692,1711118391
node_3,384.7719,1711118391
node_1,389.5766,1711118391
node_2,386.66876,1711118396
master,919.24846,1711118396
node_3,384.65546,1711118396
node_1,389.68518,1711118396
node_2,386.88356,1711118401
master,923.15,1711118401
node_3,384.8039,1711118401
node_1,389.55628,1711118401
node_2,387.05704,1711118406
master,929.42268,1711118406
node_3,384.86796,1711118406
node_1,389.77502,1711118406
node_2,387.0547,1711118411
master,930.12424,1711118411
node_3,384.9414,1711118411
node_1,389.56562,1711118411
node_2,387.19534,1711118416
master,930.8172,1711118416
node_3,385.06018,1711118416
node_1,389.19142,1711118416
node_2,387.28832,1711118421
master,931.21874,1711118421
node_3,385.36562,1711118421
node_1,389.3164,1711118421
node_2,387.28598,1711118426
master,931.6695,1711118426
node_3,385.52422,1711118426
node_1,389.29452,1711118426
node_2,387.46878,1711118431
master,932.61406,1711118431
node_3,385.62266,1711118431
node_1,388.82424,1711118431
node_2,388.0461,1711118436
master,933.55232,1711118436
node_3,385.85234,1711118436
node_1,388.5922,1711118436
node_2,388.81798,1711118441
master,936.53128,1711118441
node_3,386.24998,1711118441
node_1,388.5742,1711118441
node_2,389.73516,1711118446
master,938.7453,1711118446
node_3,386.4703,1711118446
node_1,388.5664,1711118446
node_2,390.37034,1711118451
master,939.92966,1711118451
node_3,386.53202,1711118451
node_1,388.20546,1711118451
node_2,391.0461,1711118456
master,944.10706,1711118456
node_3,386.88674,1711118456
node_1,387.8367,1711118456
node_2,391.9453,1711118461
master,953.86638,1711118461
node_3,387.21952,1711118461
