hostname,value,timestamp
node_2,401.31952,1710947526
node_3,396.51718,1710947526
master,1176.22184,1710947526
node_1,403.32346,1710947526
node_2,402.48436,1710947531
node_3,407.89844,1710947531
master,1182.44064,1710947531
node_1,413.00702,1710947531
node_2,424.18514,1710947536
node_3,441.44608,1710947536
master,1183.35078,1710947536
node_1,432.53438,1710947536
node_2,455.18986,1710947541
node_3,448.89922,1710947541
master,1183.89688,1710947541
node_1,456.92422,1710947541
node_2,441.41562,1710947546
node_3,446.71562,1710947546
master,1184.76562,1710947546
node_1,454.84922,1710947546
node_2,455.79218,1710947551
node_3,457.64532,1710947551
master,1185.08906,1710947551
node_1,466.28438,1710947551
node_2,459.66172,1710947556
node_3,458.275,1710947556
master,1185.12028,1710947556
node_1,467.33828,1710947556
node_2,463.0422,1710947561
node_3,467.6289,1710947561
master,1185.04298,1710947561
node_1,464.88986,1710947561
node_3,463.30782,1710947566
master,1183.61172,1710947566
node_1,474.57108,1710947566
node_2,463.275,1710947566
node_2,473.5203,1710947571
node_3,460.56874,1710947571
master,1183.88906,1710947571
node_1,470.6008,1710947571
node_2,470.16722,1710947576
node_3,459.46952,1710947576
master,1183.52888,1710947576
node_1,478.76092,1710947576
node_2,470.01718,1710947581
node_3,468.61564,1710947581
master,1183.34062,1710947581
node_1,497.76094,1710947581
node_2,470.74296,1710947586
node_3,502.3344,1710947586
master,1183.08516,1710947586
node_1,474.0211,1710947586
node_2,483.72734,1710947591
node_3,472.91562,1710947591
master,1182.46638,1710947591
node_1,467.4969,1710947591
node_2,474.64218,1710947596
node_3,458.47186,1710947596
master,1182.28128,1710947596
node_1,456.67108,1710947596
node_2,478.28438,1710947601
node_3,459.26952,1710947601
master,1182.8086,1710947601
node_1,456.90234,1710947601
node_2,466.43202,1710947606
node_3,460.1133,1710947606
master,1182.25548,1710947606
node_1,457.24218,1710947606
node_2,466.82264,1710947611
node_3,460.94608,1710947611
master,1181.7664,1710947611
node_1,461.90548,1710947611
node_2,468.22892,1710947616
node_3,460.57032,1710947616
master,1181.99846,1710947616
node_1,460.6422,1710947616
node_2,469.0797,1710947621
node_3,460.58438,1710947621
master,1181.88282,1710947621
node_1,416.50938,1710947621
node_2,470.0664,1710947626
node_3,460.6078,1710947626
master,1181.93204,1710947626
node_1,412.6625,1710947626
node_2,470.09688,1710947631
node_3,459.1461,1710947631
master,1182.7883,1710947631
node_1,410.31874,1710947631
node_2,465.99924,1710947636
node_3,459.2875,1710947636
master,1183.082,1710947636
node_1,413.09218,1710947636
node_2,466.92502,1710947641
node_3,455.2008,1710947641
master,1183.5711,1710947641
node_1,430.51562,1710947641
node_2,463.22032,1710947646
node_3,422.12656,1710947646
master,1183.70156,1710947646
node_1,537.77658,1710947646
node_2,442.9789,1710947651
node_3,401.25234,1710947651
master,1183.73904,1710947651
node_1,477.60236,1710947651
node_2,412.4875,1710947656
node_3,402.92268,1710947656
master,1183.63592,1710947656
node_1,482.32812,1710947656
node_2,419.23358,1710947661
node_3,406.93126,1710947661
master,1183.5625,1710947661
node_1,495.76092,1710947661
node_2,415.44138,1710947666
node_3,406.97032,1710947666
master,1183.55232,1710947666
node_1,455.75628,1710947666
node_2,416.41016,1710947671
node_3,463.52188,1710947671
master,1183.7328,1710947671
node_1,489.10236,1710947671
node_2,433.35234,1710947676
node_3,521.3086,1710947676
master,1183.66172,1710947676
node_1,558.19142,1710947676
node_2,540.90624,1710947681
node_3,490.05782,1710947681
master,1183.62188,1710947681
node_1,602.18046,1710947681
node_2,475.85626,1710947686
node_3,473.45078,1710947686
master,1183.60316,1710947686
node_1,431.83358,1710947686
node_2,480.84688,1710947691
node_3,458.63358,1710947691
master,1183.48356,1710947691
node_1,457.67812,1710947691
node_2,474.5133,1710947696
node_3,453.10156,1710947696
master,1182.9375,1710947696
node_1,442.95702,1710947696
node_2,443.94294,1710947701
node_3,528.09296,1710947701
master,1182.73752,1710947701
node_1,416.09062,1710947701
node_2,496.41406,1710947706
node_3,572.80624,1710947706
master,1182.60784,1710947706
node_1,409.11796,1710947706
node_2,563.69922,1710947711
node_3,535.04766,1710947711
master,1182.72032,1710947711
node_1,421.82342,1710947711
node_2,606.90626,1710947716
node_3,432.65938,1710947716
master,1182.8945,1710947716
node_1,425.8117,1710947716
node_2,441.51486,1710947721
node_3,442.7008,1710947721
master,1182.88358,1710947721
node_1,426.02892,1710947721
node_2,469.88516,1710947726
node_3,443.2,1710947726
master,1182.84532,1710947726
node_1,431.38674,1710947726
node_2,454.87188,1710947731
node_3,403.06954,1710947731
master,1182.88516,1710947731
node_1,431.50704,1710947731
node_2,426.28362,1710947736
node_3,401.9336,1710947736
master,1183.12656,1710947736
node_1,431.17422,1710947736
node_2,417.51408,1710947741
node_3,402.2297,1710947741
master,1183.22422,1710947741
node_1,431.76406,1710947741
node_2,417.9289,1710947746
node_3,402.67502,1710947746
master,1183.28358,1710947746
node_1,434.55546,1710947746
node_2,417.61722,1710947751
node_3,402.90312,1710947751
master,1183.19062,1710947751
node_1,434.76876,1710947751
node_2,417.19532,1710947756
node_3,402.96874,1710947756
master,1183.32734,1710947756
node_1,434.9797,1710947756
node_2,416.33594,1710947761
node_3,402.7992,1710947761
master,1183.13516,1710947761
node_1,436.3406,1710947761
node_2,416.79376,1710947766
node_3,402.40624,1710947766
master,1183.16016,1710947766
node_1,437.4672,1710947766
node_2,417.03592,1710947771
node_3,402.2414,1710947771
master,1183.3656,1710947771
node_1,437.1625,1710947771
node_2,417.10156,1710947776
node_3,402.33828,1710947776
node_1,434.30234,1710947776
node_2,417.182,1710947781
node_3,402.71098,1710947781
node_1,434.16876,1710947781
node_2,416.74378,1710947786
node_3,402.54142,1710947786
node_1,435.0203,1710947786
node_2,416.99296,1710947791
node_3,402.55704,1710947791
node_1,436.98674,1710947791
node_2,416.3133,1710947796
node_3,402.0922,1710947796
node_1,438.9539,1710947796
node_2,415.98204,1710947801
node_3,401.99296,1710947801
node_1,437.50468,1710947801
node_2,416.00626,1710947806
node_3,401.85704,1710947806
node_1,438.34764,1710947806
node_2,415.9883,1710947811
node_3,402.0164,1710947811
node_1,435.35546,1710947811
node_2,415.62812,1710947816
node_3,401.79062,1710947816
node_1,438.81484,1710947816
node_2,415.8328,1710947821
node_3,401.96874,1710947821
node_1,439.75078,1710947821
node_2,415.42736,1710947826
node_3,402.23516,1710947826
node_1,438.375,1710947826
node_2,414.96484,1710947831
node_3,401.3906,1710947831
node_1,434.9578,1710947831
node_2,415.37576,1710947836
node_3,401.10078,1710947836
node_1,435.5953,1710947836
node_2,415.44294,1710947841
node_3,400.86096,1710947841
node_1,435.91094,1710947841
node_2,415.92736,1710947846
node_3,401.07658,1710947846
node_1,432.86642,1710947846
node_2,416.3375,1710947851
node_3,400.9164,1710947851
node_1,429.89142,1710947851
node_2,416.51952,1710947856
node_3,400.68362,1710947856
node_1,432.70236,1710947856
node_2,416.17188,1710947861
node_3,400.17186,1710947861
node_1,436.12656,1710947861
node_2,416.4086,1710947866
node_3,400.24924,1710947866
node_1,436.97814,1710947866
node_2,416.01096,1710947871
node_3,400.59452,1710947871
node_1,439.26482,1710947871
node_2,415.65,1710947876
node_3,400.6203,1710947876
node_1,439.35858,1710947876
node_2,415.51172,1710947881
node_3,400.26878,1710947881
master,894.3469,1710947881
node_1,438.79922,1710947881
node_2,414.94686,1710947886
node_3,400.5703,1710947886
master,917.01094,1710947886
node_1,439.76718,1710947886
node_2,414.61016,1710947891
node_3,400.9422,1710947891
master,930.56172,1710947891
node_1,440.99062,1710947891
node_2,414.1758,1710947896
node_3,401.65856,1710947896
master,934.14374,1710947896
node_1,442.31484,1710947896
node_2,413.85938,1710947901
node_3,401.37344,1710947901
master,938.35392,1710947901
node_1,445.44452,1710947901
node_2,413.52578,1710947906
node_3,401.29612,1710947906
master,940.91954,1710947906
node_1,445.14138,1710947906
node_2,412.59376,1710947911
node_3,401.14766,1710947911
master,965.87186,1710947911
node_1,445.10236,1710947911
node_2,412.26484,1710947916
node_3,401.1,1710947916
master,989.34922,1710947916
node_1,444.91954,1710947916
node_2,412.79766,1710947921
node_3,401.96796,1710947921
master,994.99922,1710947921
node_1,445.66564,1710947921
node_2,412.55702,1710947926
node_3,402.43828,1710947926
master,996.29374,1710947926
node_1,445.8586,1710947926
node_2,412.97656,1710947931
node_3,402.5867,1710947931
master,998.92424,1710947931
node_1,446.06718,1710947931
node_2,413.19844,1710947936
node_3,402.39218,1710947936
master,1002.91326,1710947936
node_1,444.67578,1710947936
node_2,414.07576,1710947941
node_3,402.68048,1710947941
master,1003.68358,1710947941
node_1,447.0664,1710947941
node_2,414.35622,1710947946
node_3,402.84064,1710947946
master,1004.1203,1710947946
node_1,447.7836,1710947946
node_2,414.78204,1710947951
node_3,403.8969,1710947951
master,1004.73358,1710947951
node_1,449.34608,1710947951
node_2,414.93514,1710947956
node_3,404.39062,1710947956
master,1004.96092,1710947956
node_1,451.99766,1710947956
node_2,415.53828,1710947961
node_3,405.06484,1710947961
master,1006.14608,1710947961
node_1,450.57892,1710947961
node_2,415.80704,1710947966
node_3,405.35624,1710947966
master,1008.50784,1710947966
node_1,453.29998,1710947966
node_2,416.06328,1710947971
node_3,405.6289,1710947971
master,1010.18282,1710947971
node_1,452.41092,1710947971
node_2,416.30858,1710947976
node_3,405.93438,1710947976
master,1011.60388,1710947976
node_1,453.54686,1710947976
node_2,415.96094,1710947981
node_3,406.4039,1710947981
master,1012.73202,1710947981
node_1,451.57498,1710947981
node_2,415.32344,1710947986
node_3,406.13594,1710947986
master,1013.6078,1710947986
node_1,452.23516,1710947986
node_2,415.31954,1710947991
node_3,406.3781,1710947991
master,1014.14452,1710947991
node_1,452.7297,1710947991
node_2,415.09296,1710947996
node_3,405.99142,1710947996
master,1014.73358,1710947996
node_1,451.67892,1710947996
node_2,414.46564,1710948001
node_3,405.70004,1710948001
master,1014.93126,1710948001
node_1,455.30234,1710948001
node_2,414.77814,1710948006
node_3,405.75078,1710948006
master,1015.32032,1710948006
node_1,457.42814,1710948006
node_2,415.03126,1710948011
node_3,405.81174,1710948011
master,1015.91174,1710948011
node_1,454.69452,1710948011
node_2,415.1367,1710948016
node_3,406.17656,1710948016
master,1016.75704,1710948016
node_1,455.03122,1710948016
node_2,415.12342,1710948021
node_3,406.10078,1710948021
master,1016.87032,1710948021
node_1,452.57736,1710948021
node_2,415.65546,1710948026
node_3,407.0828,1710948026
master,1017.08356,1710948026
node_1,456.46406,1710948026
node_2,416.00156,1710948031
node_3,407.08438,1710948031
master,1017.05782,1710948031
node_1,460.25154,1710948031
node_2,416.39376,1710948036
node_3,407.19766,1710948036
master,1017.04456,1710948036
node_1,461.05,1710948036
node_2,416.37032,1710948041
node_3,406.95782,1710948041
master,1017.16952,1710948041
node_1,457.84452,1710948041
node_2,416.83518,1710948046
node_3,407.14766,1710948046
master,1018.21876,1710948046
node_1,458.0172,1710948046
node_2,417.08514,1710948051
node_3,407.29608,1710948051
master,1019.11094,1710948051
node_1,460.3547,1710948051
node_2,417.06642,1710948056
node_3,407.8711,1710948056
master,1020.0039,1710948056
node_1,460.6695,1710948056
node_2,417.13982,1710948061
node_3,408.09766,1710948061
master,1020.39764,1710948061
node_1,460.875,1710948061
node_2,417.52812,1710948066
node_3,407.73906,1710948066
master,1020.60156,1710948066
node_1,461.30938,1710948066
node_2,417.81252,1710948071
node_3,408.26174,1710948071
master,1021.2492,1710948071
node_1,458.23048,1710948071
node_2,418.06566,1710948076
node_3,408.57342,1710948076
master,1021.4086,1710948076
node_1,458.67108,1710948076
node_2,417.68126,1710948081
node_3,408.56406,1710948081
master,1021.48202,1710948081
node_1,460.65624,1710948081
node_2,417.54452,1710948086
node_3,408.60624,1710948086
master,1021.67736,1710948086
node_1,459.76718,1710948086
node_2,417.6914,1710948091
node_3,408.63204,1710948091
master,1021.87736,1710948091
node_1,458.71094,1710948091
node_2,417.68672,1710948096
node_3,408.41014,1710948096
master,1022.425,1710948096
node_1,458.57734,1710948096
node_2,417.99846,1710948101
node_3,408.03906,1710948101
master,1022.27342,1710948101
node_1,456.66406,1710948101
node_2,418.1289,1710948106
node_3,407.88124,1710948106
master,1022.3906,1710948106
node_1,455.00782,1710948106
node_2,418.1672,1710948111
node_3,408.14452,1710948111
master,1022.5422,1710948111
node_1,458.2547,1710948111
node_2,418.3438,1710948116
node_3,408.36016,1710948116
master,1022.36404,1710948116
node_1,463.71328,1710948116
node_2,418.2883,1710948121
node_3,408.13048,1710948121
master,1022.34454,1710948121
node_1,464.98904,1710948121
node_2,418.11326,1710948126
node_3,407.84998,1710948126
master,1022.43746,1710948126
node_1,465.23124,1710948126
node_2,418.07264,1710948131
node_3,407.98668,1710948131
master,1022.4195,1710948131
node_1,467.71642,1710948131
node_2,418.09766,1710948136
node_3,408.05624,1710948136
master,1022.53984,1710948136
