hostname,value,timestamp,id,name
node_2,48.7935988,1710954641,InOctets,received
node_2,-272.0048,1710954641,OutOctets,sent
node_3,60.9695992,1710954641,InOctets,received
node_3,-271.871992,1710954641,OutOctets,sent
node_1,46.5890721,1710954641,InOctets,received
node_1,-266.052444,1710954641,OutOctets,sent
master,1658.70994,1710954641,InOctets,received
master,-1616.448032,1710954641,OutOctets,sent
node_2,13.6501642,1710954646,InOctets,received
node_2,-258.7849266,1710954646,OutOctets,sent
node_3,1.3744,1710954646,InOctets,received
node_3,-255.4992,1710954646,OutOctets,sent
node_1,15.001599,1710954646,InOctets,received
node_1,-255.4207943,1710954646,OutOctets,sent
master,7.834801,1710954646,InOctets,received
master,-397.6959792,1710954646,OutOctets,sent
node_2,47.7676838,1710954651,InOctets,received
node_2,-262.2502591,1710954651,OutOctets,sent
node_3,60.3113539,1710954651,InOctets,received
node_3,-261.7487998,1710954651,OutOctets,sent
node_1,45.690752,1710954651,InOctets,received
node_1,-255.29318,1710954651,OutOctets,sent
master,15.3018801,1710954651,InOctets,received
master,-520.9484562,1710954651,OutOctets,sent
node_2,13.1917537,1710954656,InOctets,received
node_2,-259.2048,1710954656,OutOctets,sent
node_3,1.5668111,1710954656,InOctets,received
node_3,-255.86142,1710954656,OutOctets,sent
node_1,15.2088722,1710954656,InOctets,received
node_1,-256.0971324,1710954656,OutOctets,sent
master,7.6277196,1710954656,InOctets,received
master,-397.1214708,1710954656,OutOctets,sent
node_2,47.5590726,1710954661,InOctets,received
node_2,-262.5056007,1710954661,OutOctets,sent
node_3,59.5041962,1710954661,InOctets,received
node_3,-260.5433786,1710954661,OutOctets,sent
node_1,45.9312205,1710954661,InOctets,received
node_1,-255.7168702,1710954661,OutOctets,sent
master,15.7925978,1710954661,InOctets,received
master,-520.3464868,1710954661,OutOctets,sent
node_2,12.7209267,1710954666,InOctets,received
node_2,-258.5008088,1710954666,OutOctets,sent
node_3,1.2736393,1710954666,InOctets,received
node_3,-255.3936,1710954666,OutOctets,sent
node_1,16.1147575,1710954666,InOctets,received
node_1,-255.9103946,1710954666,OutOctets,sent
master,6.0984675,1710954666,InOctets,received
master,-395.0376678,1710954666,OutOctets,sent
node_2,47.5301914,1710954671,InOctets,received
node_2,-262.239,1710954671,OutOctets,sent
node_3,60.1600008,1710954671,InOctets,received
node_3,-262.1679982,1710954671,OutOctets,sent
node_1,45.6192016,1710954671,InOctets,received
node_1,-255.304,1710954671,OutOctets,sent
master,16.5295507,1710954671,InOctets,received
master,-520.0223507,1710954671,OutOctets,sent
node_2,12.6903735,1710954676,InOctets,received
node_2,-258.5952087,1710954676,OutOctets,sent
node_3,1.2969276,1710954676,InOctets,received
node_3,-255.4534,1710954676,OutOctets,sent
node_1,14.8303988,1710954676,InOctets,received
node_1,-255.8431998,1710954676,OutOctets,sent
master,9.1633521,1710954676,InOctets,received
master,-396.1314756,1710954676,OutOctets,sent
node_2,63.7460974,1710954681,InOctets,received
node_2,-263.0106058,1710954681,OutOctets,sent
node_3,59.4240895,1710954681,InOctets,received
node_3,-260.4905916,1710954681,OutOctets,sent
node_1,47.567074,1710954681,InOctets,received
node_1,-256.0416,1710954681,OutOctets,sent
master,15.2442932,1710954681,InOctets,received
master,-537.02692,1710954681,OutOctets,sent
node_2,13.3117413,1710954686,InOctets,received
node_2,-258.6064046,1710954686,OutOctets,sent
node_3,17.7350258,1710954686,InOctets,received
node_3,-257.1365071,1710954686,OutOctets,sent
node_1,15.1145249,1710954686,InOctets,received
node_1,-255.6879987,1710954686,OutOctets,sent
master,7.2850362,1710954686,InOctets,received
master,-414.011016,1710954686,OutOctets,sent
node_2,48.3431598,1710954691,InOctets,received
node_2,-262.43638,1710954691,OutOctets,sent
node_3,59.7183566,1710954691,InOctets,received
node_3,-260.7786827,1710954691,OutOctets,sent
node_1,46.640828,1710954691,InOctets,received
node_1,-256.3549,1710954691,OutOctets,sent
master,15.6129624,1710954691,InOctets,received
master,-521.0765848,1710954691,OutOctets,sent
node_2,13.4648379,1710954696,InOctets,received
node_2,-258.810004,1710954696,OutOctets,sent
node_3,1.808,1710954696,InOctets,received
