hostname,value,timestamp
node_2,92.469642,1710961746
master,96.952124,1710961746
node_3,92.553362,1710961746
node_1,92.297368,1710961746
node_2,93.028254,1710961751
master,97.562392,1710961751
node_3,93.685312,1710961751
node_1,95.353446,1710961751
node_2,92.801278,1710961756
master,98.010274,1710961756
node_3,93.311374,1710961756
node_1,93.01966,1710961756
node_2,93.487082,1710961761
master,97.912,1710961761
node_3,93.82131,1710961761
node_1,95.847182,1710961761
node_2,92.783556,1710961766
master,97.292376,1710961766
node_3,91.697142,1710961766
node_1,91.992212,1710961766
node_2,93.012628,1710961771
master,97.6433,1710961771
node_3,92.797426,1710961771
node_1,93.835954,1710961771
node_2,93.02089,1710961776
master,97.795504,1710961776
node_3,92.54974,1710961776
node_1,92.217072,1710961776
node_2,93.522858,1710961781
master,98.109924,1710961781
node_3,93.968586,1710961781
node_1,95.344104,1710961781
node_2,92.893102,1710961786
master,97.579228,1710961786
node_3,92.765902,1710961786
node_1,92.365938,1710961786
node_2,93.876454,1710961791
master,97.994582,1710961791
node_3,94.271208,1710961791
node_1,95.032912,1710961791
node_2,93.23898,1710961796
master,97.711496,1710961796
node_3,92.537052,1710961796
node_1,92.46585,1710961796
node_2,92.919264,1710961801
master,97.74518,1710961801
node_3,93.820702,1710961801
node_1,94.783646,1710961801
node_2,92.888308,1710961806
master,97.779316,1710961806
node_3,91.717402,1710961806
node_1,92.098106,1710961806
node_2,92.733334,1710961811
master,97.257206,1710961811
node_3,93.016926,1710961811
node_1,94.449438,1710961811
node_2,92.392568,1710961816
master,97.875054,1710961816
node_3,93.617466,1710961816
node_1,92.359434,1710961816
node_2,93.241332,1710961821
master,97.74614,1710961821
node_3,93.087152,1710961821
node_1,94.808532,1710961821
node_2,93.1858,1710961826
master,97.976798,1710961826
node_3,93.0641,1710961826
node_1,92.310444,1710961826
node_2,92.19142,1710961831
master,97.693892,1710961831
node_3,93.14032,1710961831
node_1,94.64308,1710961831
node_2,93.088908,1710961836
master,97.562828,1710961836
node_3,92.790994,1710961836
node_1,92.34931,1710961836
node_2,92.938184,1710961841
master,97.544306,1710961841
node_3,93.685154,1710961841
node_1,94.654886,1710961841
node_2,92.773136,1710961846
master,97.741394,1710961846
node_3,92.45646,1710961846
node_1,92.51182,1710961846
node_2,94.652578,1710961851
master,97.87896,1710961851
node_3,94.70529,1710961851
node_1,95.508558,1710961851
node_2,92.56254,1710961856
master,98.077382,1710961856
node_3,92.563932,1710961856
node_1,92.140812,1710961856
