hostname,value,timestamp
master,96.791854,1711133791
node_1,95.195798,1711133791
node_3,94.480656,1711133791
node_2,94.575126,1711133791
master,97.893418,1711133796
node_1,95.239784,1711133796
node_3,95.709174,1711133796
node_2,94.460302,1711133796
master,97.79654,1711133801
node_1,95.513572,1711133801
node_3,95.03242,1711133801
node_2,94.85876,1711133801
master,97.60902,1711133806
node_1,94.984966,1711133806
node_3,94.962574,1711133806
node_2,95.202888,1711133806
master,97.86015,1711133811
node_1,95.808698,1711133811
node_3,94.283092,1711133811
node_2,94.56292,1711133811
master,97.712984,1711133816
node_1,94.896442,1711133816
node_3,95.416932,1711133816
node_2,94.164156,1711133816
master,97.826386,1711133821
node_1,95.438132,1711133821
node_3,94.295934,1711133821
node_2,94.675818,1711133821
master,97.339812,1711133826
node_1,94.47967,1711133826
node_3,95.38438,1711133826
node_2,94.336068,1711133826
master,97.629558,1711133831
node_1,94.917534,1711133831
node_3,95.062572,1711133831
node_2,95.162628,1711133831
master,97.590318,1711133836
node_1,95.034328,1711133836
node_3,95.616058,1711133836
node_2,94.65802,1711133836
master,97.942148,1711133841
node_1,95.504038,1711133841
node_3,94.3369,1711133841
node_2,95.143284,1711133841
master,97.759072,1711133846
node_1,94.685764,1711133846
node_3,94.581644,1711133846
node_2,93.796688,1711133846
master,98.178522,1711133851
node_1,95.159474,1711133851
node_3,94.512332,1711133851
node_2,94.766424,1711133851
master,97.606978,1711133856
node_1,93.275244,1711133856
node_3,93.54456,1711133856
node_2,92.49988,1711133856
master,97.713528,1711133861
node_1,95.19379,1711133861
node_3,94.557516,1711133861
node_2,95.148806,1711133861
master,97.657088,1711133866
node_1,94.504938,1711133866
node_3,95.398628,1711133866
node_2,94.328258,1711133866
master,98.196506,1711133871
node_1,95.603704,1711133871
node_3,94.455218,1711133871
node_2,95.350716,1711133871
master,97.641158,1711133876
node_1,94.888956,1711133876
node_3,92.931884,1711133876
node_2,94.606886,1711133876
master,97.97574,1711133881
node_1,94.911308,1711133881
node_3,94.796148,1711133881
node_2,95.086652,1711133881
master,97.528874,1711133886
node_1,94.936996,1711133886
node_3,94.630026,1711133886
node_2,94.856628,1711133886
master,98.080038,1711133891
node_1,95.164814,1711133891
node_3,94.501294,1711133891
node_2,95.063192,1711133891
master,97.758992,1711133896
node_1,95.25246,1711133896
node_3,94.873406,1711133896
node_2,94.619902,1711133896
master,97.827188,1711133901
node_1,95.249156,1711133901
node_3,95.294034,1711133901
node_2,95.01514,1711133901
master,97.64542,1711133906
node_1,95.339012,1711133906
node_3,94.154416,1711133906
node_2,93.918272,1711133906
master,98.080056,1711133911
node_1,95.06427,1711133911
node_3,94.942146,1711133911
node_2,95.469998,1711133911
master,97.691528,1711133916
node_1,95.205598,1711133916
node_3,94.745474,1711133916
node_2,94.563816,1711133916
master,97.79335,1711133921
node_1,95.197282,1711133921
node_3,94.409356,1711133921
node_2,94.830014,1711133921
master,97.862724,1711133926
node_1,94.52576,1711133926
node_3,94.42178,1711133926
node_2,94.855372,1711133926
master,97.926874,1711133931
node_1,95.204806,1711133931
node_3,94.517442,1711133931
node_2,95.049052,1711133931
master,97.60839,1711133936
node_1,95.097126,1711133936
node_3,95.05099,1711133936
