hostname,value,timestamp,chart_family
node_2,30,1710984966,mmcblk0
node_1,11.6,1710984966,mmcblk0
master,6.8,1710984966,nvme0n1
master,6.2,1710984966,ubuntu--vg-ubuntu--lv
node_3,23.4,1710984966,mmcblk0
node_2,27.8,1710984971,mmcblk0
node_1,3.2,1710984971,mmcblk0
master,5.8,1710984971,nvme0n1
master,5.8,1710984971,ubuntu--vg-ubuntu--lv
node_3,12,1710984971,mmcblk0
node_2,7.4,1710984976,mmcblk0
node_1,2.2,1710984976,mmcblk0
master,2.8,1710984976,nvme0n1
master,2.8,1710984976,ubuntu--vg-ubuntu--lv
node_3,1.4,1710984976,mmcblk0
node_1,3.4,1710984981,mmcblk0
node_2,8.2,1710984981,mmcblk0
master,2.6,1710984981,nvme0n1
master,2.6,1710984981,ubuntu--vg-ubuntu--lv
node_3,4.2,1710984981,mmcblk0
node_2,7.6,1710984986,mmcblk0
node_1,0.8,1710984986,mmcblk0
master,2.4,1710984986,nvme0n1
master,2.4,1710984986,ubuntu--vg-ubuntu--lv
node_3,3.2,1710984986,mmcblk0
node_2,5.2,1710984991,mmcblk0
node_1,1.6,1710984991,mmcblk0
master,2.6,1710984991,nvme0n1
master,2.6,1710984991,ubuntu--vg-ubuntu--lv
node_3,2.8,1710984991,mmcblk0
node_2,6,1710984996,mmcblk0
node_1,3.2,1710984996,mmcblk0
master,2.6,1710984996,nvme0n1
master,2.6,1710984996,ubuntu--vg-ubuntu--lv
node_3,13,1710984996,mmcblk0
node_1,1.6,1710985001,mmcblk0
node_2,5.4,1710985001,mmcblk0
master,2.6,1710985001,nvme0n1
master,2.6,1710985001,ubuntu--vg-ubuntu--lv
node_3,3.6,1710985001,mmcblk0
node_2,1.2,1710985006,mmcblk0
node_1,0.4,1710985006,mmcblk0
master,2.4,1710985006,nvme0n1
master,2.4,1710985006,ubuntu--vg-ubuntu--lv
node_3,0.6,1710985006,mmcblk0
node_2,3.4,1710985011,mmcblk0
node_1,1,1710985011,mmcblk0
master,2.4,1710985011,nvme0n1
master,2.4,1710985011,ubuntu--vg-ubuntu--lv
node_3,4.8,1710985011,mmcblk0
node_2,1.2,1710985016,mmcblk0
node_1,0.4,1710985016,mmcblk0
master,2.4,1710985016,nvme0n1
master,2.2,1710985016,ubuntu--vg-ubuntu--lv
node_3,5.6,1710985016,mmcblk0
node_2,5.4,1710985021,mmcblk0
node_1,1.4,1710985021,mmcblk0
master,2.2,1710985021,nvme0n1
master,2.2,1710985021,ubuntu--vg-ubuntu--lv
node_3,2.2,1710985021,mmcblk0
node_2,0.8,1710985026,mmcblk0
