hostname,value,timestamp
node_2,410.6719,1710984966
node_1,405.28358,1710984966
master,1122.97266,1710984966
node_3,406.1586,1710984966
node_2,411.18046,1710984971
node_1,405.57422,1710984971
master,1129.47188,1710984971
node_3,406.95236,1710984971
node_2,411.9133,1710984976
node_1,406.46564,1710984976
master,1130.15702,1710984976
node_3,407.79376,1710984976
node_1,406.9133,1710984981
node_2,412.15628,1710984981
master,1130.7289,1710984981
node_3,408.36642,1710984981
node_2,412.64692,1710984986
node_1,407.20316,1710984986
master,1131.51406,1710984986
node_3,408.7367,1710984986
node_2,413.08512,1710984991
node_1,407.46798,1710984991
master,1131.85702,1710984991
node_3,408.71562,1710984991
node_2,413.16952,1710984996
node_1,408.5844,1710984996
master,1132.44764,1710984996
node_3,408.30392,1710984996
node_1,408.78202,1710985001
node_2,413.44222,1710985001
master,1132.86952,1710985001
node_3,407.4336,1710985001
node_2,413.87658,1710985006
node_1,408.7133,1710985006
master,1133.18594,1710985006
node_3,406.87498,1710985006
node_2,414.29376,1710985011
node_1,408.90546,1710985011
master,1133.68828,1710985011
node_3,407.0586,1710985011
node_2,414.36016,1710985016
node_1,408.92264,1710985016
master,1133.7586,1710985016
node_3,407.4539,1710985016
node_2,414.28518,1710985021
node_1,408.74062,1710985021
master,1133.96172,1710985021
node_3,407.72264,1710985021
node_2,412.88596,1710985026
node_1,408.63594,1710985026
master,1133.9109,1710985026
node_3,408.5031,1710985026
node_1,408.79686,1710985031
node_2,412.53828,1710985031
master,1133.60706,1710985031
node_3,408.83752,1710985031
node_2,406.73828,1710985036
node_1,406.05778,1710985036
master,1133.5883,1710985036
node_3,407.72344,1710985036
node_2,406.94142,1710985041
node_1,405.66562,1710985041
master,1133.68046,1710985041
node_3,406.60704,1710985041
node_2,407.57736,1710985046
node_1,405.45234,1710985046
master,1133.61954,1710985046
node_3,406.48906,1710985046
node_2,407.36718,1710985051
node_1,405.93752,1710985051
master,1133.65548,1710985051
node_3,406.81094,1710985051
node_2,407.3867,1710985056
node_1,406.20936,1710985056
master,1134.1883,1710985056
node_3,406.85862,1710985056
node_2,407.34688,1710985061
node_1,406.2547,1710985061
master,1134.38282,1710985061
node_3,407.01094,1710985061
node_2,407.27032,1710985066
node_1,406.8883,1710985066
master,1134.68748,1710985066
node_3,407.0922,1710985066
node_2,407.48592,1710985071
node_1,405.94532,1710985071
master,1134.96016,1710985071
node_3,406.8969,1710985071
node_1,403.02578,1710985076
node_2,407.4586,1710985076
master,1135.53126,1710985076
node_3,407.32968,1710985076
node_2,406.84606,1710985081
node_1,402.97188,1710985081
master,1135.56252,1710985081
node_3,407.59376,1710985081
node_2,406.56642,1710985086
node_1,403.1094,1710985086
master,1135.56252,1710985086
