hostname,value,timestamp
master,96.593558,1711064961
node_1,85.392764,1711064961
node_2,85.990336,1711064961
node_3,85.709248,1711064961
master,99.34458,1711064966
node_1,94.180014,1711064966
node_2,92.76801,1711064966
node_3,93.681038,1711064966
master,99.228326,1711064971
node_1,93.40779,1711064971
node_2,93.23925,1711064971
node_3,91.873622,1711064971
master,99.295034,1711064976
node_1,94.582152,1711064976
node_2,93.010418,1711064976
node_3,93.929552,1711064976
master,99.395294,1711064981
node_1,93.060546,1711064981
node_2,94.146552,1711064981
node_3,92.550276,1711064981
master,99.194432,1711064986
node_1,94.565898,1711064986
node_2,93.053696,1711064986
node_3,94.156474,1711064986
master,99.328376,1711064991
node_1,93.223256,1711064991
node_2,94.00401,1711064991
node_3,92.744552,1711064991
master,99.145206,1711064996
node_1,93.859676,1711064996
node_2,92.682776,1711064996
node_3,94.454762,1711064996
master,99.19512,1711065001
node_1,93.844,1711065001
node_2,93.402496,1711065001
node_3,93.17338,1711065001
master,99.37859,1711065006
node_1,93.62481,1711065006
node_2,92.631582,1711065006
node_3,94.300038,1711065006
master,99.261336,1711065011
node_1,93.769636,1711065011
node_2,93.858486,1711065011
node_3,92.617376,1711065011
master,99.27814,1711065016
node_1,94.265844,1711065016
node_2,93.018044,1711065016
node_3,94.067538,1711065016
master,99.19526,1711065021
node_1,92.537624,1711065021
node_2,93.49769,1711065021
node_3,92.5648,1711065021
master,99.111734,1711065026
node_1,93.589888,1711065026
node_2,92.428352,1711065026
node_3,93.247312,1711065026
master,99.260686,1711065031
node_1,92.327942,1711065031
node_2,92.514974,1711065031
node_3,91.331616,1711065031
master,99.095038,1711065036
node_1,94.303462,1711065036
node_2,93.164516,1711065036
node_3,92.795022,1711065036
master,99.210774,1711065041
node_1,93.094656,1711065041
node_2,94.342778,1711065041
node_3,92.27865,1711065041
master,99.345088,1711065046
node_1,94.576708,1711065046
node_2,91.85943,1711065046
node_3,94.248654,1711065046
master,99.295046,1711065051
node_1,93.301102,1711065051
node_2,92.538656,1711065051
node_3,92.83416,1711065051
master,99.278424,1711065056
node_1,93.765608,1711065056
node_2,92.44831,1711065056
node_3,94.323212,1711065056
master,99.076814,1711065061
node_1,93.372154,1711065061
node_2,93.907342,1711065061
node_3,92.916094,1711065061
master,99.412046,1711065066
node_1,94.055258,1711065066
node_2,92.821072,1711065066
node_3,94.286202,1711065066
master,99.462156,1711065071
node_1,93.729958,1711065071
node_2,93.74923,1711065071
node_3,92.989156,1711065071
master,99.11162,1711065076
node_1,94.558092,1711065076
node_2,93.042042,1711065076
node_3,93.61856,1711065076
master,99.312148,1711065081
node_1,93.064054,1711065081
node_2,94.184218,1711065081
node_3,93.278722,1711065081
master,99.227566,1711065086
node_1,94.187674,1711065086
node_2,92.132916,1711065086
node_3,93.71295,1711065086
master,99.395266,1711065091
node_1,93.381202,1711065091
node_2,93.431234,1711065091
node_3,92.69805,1711065091
master,99.395238,1711065096
node_1,94.035602,1711065096
node_2,92.56312,1711065096
node_3,93.785064,1711065096
master,99.311994,1711065101
node_1,93.224008,1711065101
node_2,94.000814,1711065101
node_3,92.357328,1711065101
master,99.36133,1711065106
node_1,94.374716,1711065106
node_2,93.476528,1711065106
node_3,93.54869,1711065106
master,99.445262,1711065111
node_1,93.471024,1711065111
node_2,93.640502,1711065111
node_3,93.22579,1711065111
master,99.295006,1711065116
node_1,94.083878,1711065116
node_2,92.632832,1711065116
node_3,94.483752,1711065116
master,99.160848,1711065121
node_1,91.240858,1711065121
node_2,92.902662,1711065121
node_3,91.5838,1711065121
master,99.110986,1711065126
node_1,57.763824,1711065126
node_2,56.390252,1711065126
node_3,55.950494,1711065126
master,99.22789,1711065131
node_1,26.787508,1711065131
