4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1463.99          ---          ---        12.40790        11.39100        25.59900        44.54300       112.78 
Gets        14638.17         5.33     14632.84        12.40984        11.39100        25.59900        44.79900       570.38 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      16102.16         5.33     14632.84        12.40966        11.39100        25.59900        44.79900       683.16 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       1.559        0.000
SET      10.175        5.000
SET      10.687       10.000
SET      10.879       15.000
SET      11.007       20.000
SET      11.135       25.000
SET      11.199       30.000
SET      11.263       35.000
SET      11.263       40.000
SET      11.327       45.000
SET      11.391       50.000
SET      11.455       52.500
SET      11.455       55.000
SET      11.455       57.500
SET      11.519       60.000
SET      11.519       62.500
SET      11.583       65.000
SET      11.647       67.500
SET      11.647       70.000
SET      11.711       72.500
SET      11.839       75.000
SET      11.839       76.250
SET      11.903       77.500
SET      12.031       78.750
SET      12.095       80.000
SET      12.287       81.250
SET      12.479       82.500
SET      12.735       83.750
SET      13.119       85.000
SET      13.503       86.250
SET      13.951       87.500
SET      14.143       88.125
SET      14.399       88.750
SET      14.719       89.375
SET      15.167       90.000
SET      15.935       90.625
SET      17.151       91.250
SET      18.687       91.875
SET      19.839       92.500
SET      20.607       93.125
SET      21.247       93.750
SET      21.503       94.062
SET      21.631       94.375
SET      21.759       94.688
SET      22.015       95.000
SET      22.143       95.312
SET      22.271       95.625
SET      22.399       95.938
SET      22.527       96.250
SET      22.527       96.562
SET      22.655       96.875
SET      22.783       97.031
SET      22.783       97.188
SET      22.911       97.344
SET      22.911       97.500
SET      23.039       97.656
SET      23.167       97.812
SET      23.167       97.969
SET      23.295       98.125
SET      23.423       98.281
SET      23.551       98.438
SET      23.679       98.516
SET      23.807       98.594
SET      24.063       98.672
SET      24.319       98.750
SET      24.575       98.828
SET      25.087       98.906
SET      25.471       98.984
SET      26.111       99.062
SET      26.879       99.141
SET      27.519       99.219
SET      27.903       99.258
SET      28.415       99.297
SET      28.927       99.336
SET      29.439       99.375
SET      30.079       99.414
SET      30.719       99.453
SET      31.487       99.492
SET      32.127       99.531
SET      33.023       99.570
SET      34.047       99.609
SET      34.559       99.629
SET      35.071       99.648
SET      35.583       99.668
SET      36.095       99.688
SET      36.607       99.707
SET      37.119       99.727
SET      37.631       99.746
SET      38.399       99.766
SET      39.167       99.785
SET      39.679       99.805
SET      40.191       99.814
SET      40.703       99.824
SET      41.215       99.834
SET      41.471       99.844
SET      41.983       99.854
SET      42.495       99.863
SET      43.007       99.873
SET      43.519       99.883
SET      44.287       99.893
SET      44.799       99.902
SET      45.311       99.907
SET      45.823       99.912
SET      46.079       99.917
SET      46.591       99.922
SET      46.847       99.927
SET      47.359       99.932
SET      47.871       99.937
SET      48.383       99.941
SET      48.895       99.946
SET      49.663       99.951
SET      49.919       99.954
SET      50.431       99.956
SET      50.943       99.958
SET      51.199       99.961
SET      51.455       99.963
SET      51.967       99.966
SET      52.479       99.968
SET      52.735       99.971
SET      53.247       99.973
SET      54.015       99.976
SET      54.271       99.977
SET      54.783       99.978
SET      55.039       99.979
SET      55.295       99.980
SET      55.551       99.982
SET      56.063       99.983
SET      56.575       99.984
SET      57.343       99.985
SET      58.111       99.987
SET      58.623       99.988
SET      58.623       99.988
SET      59.135       99.989
SET      59.135       99.990
SET      59.647       99.990
SET      59.903       99.991
SET      60.415       99.991
SET      60.671       99.992
SET      60.927       99.993
SET      61.183       99.993
SET      61.695       99.994
SET      62.207       99.994
SET      62.463       99.995
SET      62.719       99.995
SET      63.487       99.995
SET      63.999       99.995
SET      64.767       99.996
SET      65.279       99.996
SET      66.047       99.996
SET      66.559       99.997
SET      68.095       99.997
SET      69.119       99.997
SET      69.119       99.997
SET      70.143       99.997
SET      71.167       99.998
SET      71.679       99.998
SET      72.191       99.998
SET      72.191       99.998
SET      72.703       99.998
SET      73.215       99.998
SET      74.751       99.998
SET      75.775       99.999
SET      75.775       99.999
SET      76.799       99.999
SET      77.311       99.999
SET      77.311       99.999
SET      77.823       99.999
SET      78.335       99.999
SET      78.335       99.999
SET      78.847       99.999
SET      78.847       99.999
SET      78.847       99.999
SET      78.847       99.999
SET      81.407       99.999
SET      81.407       99.999
SET      81.407       99.999
SET      84.991       99.999
SET      84.991      100.000
SET      84.991      100.000
SET      89.599      100.000
SET      89.599      100.000
SET      89.599      100.000
SET      89.599      100.000
SET      94.719      100.000
SET      94.719      100.000
SET      94.719      100.000
SET      94.719      100.000
SET      94.719      100.000
SET      94.719      100.000
SET      95.231      100.000
SET      95.231      100.000
SET      95.231      100.000
SET      95.231      100.000
SET      95.231      100.000
SET      95.231      100.000
SET      95.231      100.000
SET      95.231      100.000
SET      95.231      100.000
SET      95.231      100.000
SET     100.351      100.000
SET     100.351      100.000
---
GET       1.391        0.000
GET      10.175        5.000
GET      10.687       10.000
GET      10.879       15.000
GET      11.007       20.000
GET      11.071       25.000
GET      11.199       30.000
GET      11.263       35.000
GET      11.263       40.000
GET      11.327       45.000
GET      11.391       50.000
GET      11.455       52.500
GET      11.455       55.000
GET      11.455       57.500
GET      11.519       60.000
GET      11.519       62.500
GET      11.583       65.000
GET      11.647       67.500
GET      11.647       70.000
GET      11.711       72.500
GET      11.839       75.000
GET      11.839       76.250
GET      11.903       77.500
GET      12.031       78.750
GET      12.095       80.000
GET      12.287       81.250
GET      12.479       82.500
GET      12.735       83.750
GET      13.119       85.000
GET      13.503       86.250
GET      13.887       87.500
GET      14.143       88.125
GET      14.399       88.750
GET      14.719       89.375
GET      15.167       90.000
GET      15.935       90.625
GET      17.151       91.250
GET      18.687       91.875
GET      19.839       92.500
GET      20.607       93.125
GET      21.247       93.750
GET      21.503       94.062
GET      21.631       94.375
GET      21.759       94.688
GET      22.015       95.000
GET      22.143       95.312
GET      22.271       95.625
GET      22.399       95.938
GET      22.527       96.250
GET      22.527       96.562
GET      22.655       96.875
GET      22.783       97.031
GET      22.783       97.188
GET      22.911       97.344
GET      22.911       97.500
GET      23.039       97.656
GET      23.167       97.812
GET      23.167       97.969
GET      23.295       98.125
GET      23.423       98.281
GET      23.679       98.438
GET      23.679       98.516
GET      23.935       98.594
GET      24.063       98.672
GET      24.319       98.750
GET      24.703       98.828
GET      25.087       98.906
GET      25.599       98.984
GET      26.111       99.062
GET      26.879       99.141
GET      27.647       99.219
GET      28.031       99.258
GET      28.415       99.297
GET      29.055       99.336
GET      29.567       99.375
GET      30.207       99.414
GET      30.847       99.453
GET      31.615       99.492
GET      32.383       99.531
GET      33.279       99.570
GET      34.303       99.609
GET      34.559       99.629
GET      35.071       99.648
GET      35.583       99.668
GET      36.095       99.688
GET      36.863       99.707
GET      37.375       99.727
GET      38.143       99.746
GET      38.655       99.766
GET      39.423       99.785
GET      40.191       99.805
GET      40.447       99.814
GET      40.959       99.824
GET      41.215       99.834
GET      41.727       99.844
GET      42.239       99.854
GET      42.751       99.863
GET      43.263       99.873
GET      43.775       99.883
GET      44.287       99.893
GET      45.055       99.902
GET      45.311       99.907
GET      45.823       99.912
GET      46.079       99.917
GET      46.591       99.922
GET      47.103       99.927
GET      47.615       99.932
GET      48.127       99.937
GET      48.639       99.941
GET      49.151       99.946
GET      49.663       99.951
GET      50.175       99.954
GET      50.431       99.956
GET      50.943       99.958
GET      51.199       99.961
GET      51.711       99.963
GET      52.223       99.966
GET      52.735       99.968
GET      53.247       99.971
GET      53.759       99.973
GET      54.271       99.976
GET      54.527       99.977
