type,k8s,tests,test-numbers,number-of-pods,metics,value
pod,k0s,cp_heavy_12client,1,24,throughput,159.821
pod,k0s,cp_heavy_12client,1,24,latency,2.0430903
deployment,k0s,cp_heavy_12client,1,120,throughput,274.29828
deployment,k0s,cp_heavy_12client,1,120,latency,6.49997
pod,k0s,cp_heavy_12client,2,24,throughput,161.01266
pod,k0s,cp_heavy_12client,2,24,latency,2.2883093
deployment,k0s,cp_heavy_12client,2,120,throughput,267.63226
deployment,k0s,cp_heavy_12client,2,120,latency,6.723742
deployment,k0s,cp_heavy_12client,3,120,throughput,280.9455
deployment,k0s,cp_heavy_12client,3,120,latency,6.2500806
pod,k0s,cp_heavy_12client,3,24,throughput,158.32628
pod,k0s,cp_heavy_12client,3,24,latency,2.2016115
pod,k0s,cp_heavy_12client,4,24,throughput,147.71939
pod,k0s,cp_heavy_12client,4,24,latency,2.2988956
deployment,k0s,cp_heavy_12client,4,120,throughput,273.76685
deployment,k0s,cp_heavy_12client,4,120,latency,6.502847
pod,k0s,cp_heavy_12client,5,24,throughput,175.4012
pod,k0s,cp_heavy_12client,5,24,latency,2.2004912
deployment,k0s,cp_heavy_12client,5,120,throughput,276.40317
deployment,k0s,cp_heavy_12client,5,120,latency,6.628714
pod,k3s,cp_heavy_12client,1,24,throughput,175.2692
pod,k3s,cp_heavy_12client,1,24,latency,2.1886253
deployment,k3s,cp_heavy_12client,1,120,throughput,282.3947
deployment,k3s,cp_heavy_12client,1,120,latency,6.378694
pod,k3s,cp_heavy_12client,2,24,throughput,144.40868
pod,k3s,cp_heavy_12client,2,24,latency,2.4535882
deployment,k3s,cp_heavy_12client,2,120,throughput,258.75525
deployment,k3s,cp_heavy_12client,2,120,latency,6.7786536
pod,k3s,cp_heavy_12client,3,24,throughput,157.66328
pod,k3s,cp_heavy_12client,3,24,latency,2.2669084
deployment,k3s,cp_heavy_12client,3,120,throughput,287.8217
deployment,k3s,cp_heavy_12client,3,120,latency,7.3755155
pod,k3s,cp_heavy_12client,4,24,throughput,124.28844
pod,k3s,cp_heavy_12client,4,24,latency,2.8914769
deployment,k3s,cp_heavy_12client,4,120,throughput,267.2814
deployment,k3s,cp_heavy_12client,4,120,latency,6.547158
pod,k3s,cp_heavy_12client,5,24,throughput,122.38526
pod,k3s,cp_heavy_12client,5,24,latency,3.077295
deployment,k3s,cp_heavy_12client,5,120,throughput,266.5993
deployment,k3s,cp_heavy_12client,5,120,latency,6.7472653
pod,k8s,cp_heavy_12client,1,24,throughput,145.85373
pod,k8s,cp_heavy_12client,1,24,latency,2.5377476
deployment,k8s,cp_heavy_12client,1,120,throughput,283.14423
deployment,k8s,cp_heavy_12client,1,120,latency,6.5834875
pod,k8s,cp_heavy_12client,2,24,throughput,137.51338
pod,k8s,cp_heavy_12client,2,24,latency,2.5095348
deployment,k8s,cp_heavy_12client,2,120,throughput,278.6085
deployment,k8s,cp_heavy_12client,2,120,latency,6.472571
pod,k8s,cp_heavy_12client,3,24,throughput,141.90665
pod,k8s,cp_heavy_12client,3,24,latency,2.2635713
deployment,k8s,cp_heavy_12client,3,120,throughput,292.85974
deployment,k8s,cp_heavy_12client,3,120,latency,6.0789084
pod,k8s,cp_heavy_12client,4,24,throughput,139.95325
pod,k8s,cp_heavy_12client,4,24,latency,2.6007495
deployment,k8s,cp_heavy_12client,4,120,throughput,282.38
deployment,k8s,cp_heavy_12client,4,120,latency,6.463082
pod,k8s,cp_heavy_12client,5,24,throughput,128.58801
pod,k8s,cp_heavy_12client,5,24,latency,2.6209633
deployment,k8s,cp_heavy_12client,5,120,throughput,282.56494
deployment,k8s,cp_heavy_12client,5,120,latency,6.3174224
pod,kubeEdge,cp_heavy_12client,1,24,throughput,15.111177
pod,kubeEdge,cp_heavy_12client,1,24,latency,33.69091
deployment,kubeEdge,cp_heavy_12client,1,120,throughput,42.662064
deployment,kubeEdge,cp_heavy_12client,1,120,latency,49.409653
pod,kubeEdge,cp_heavy_12client,2,24,throughput,68.05631
pod,kubeEdge,cp_heavy_12client,2,24,latency,21.831625
deployment,kubeEdge,cp_heavy_12client,2,120,throughput,38.92089
deployment,kubeEdge,cp_heavy_12client,2,120,latency,46.541664
pod,kubeEdge,cp_heavy_12client,3,24,throughput,66.06969
pod,kubeEdge,cp_heavy_12client,3,24,latency,17.030434
deployment,kubeEdge,cp_heavy_12client,3,120,throughput,25.34475
deployment,kubeEdge,cp_heavy_12client,3,120,latency,48.224537
deployment,kubeEdge,cp_heavy_12client,4,120,throughput,65.45392
deployment,kubeEdge,cp_heavy_12client,4,120,latency,45.81009
pod,kubeEdge,cp_heavy_12client,4,24,throughput,57.746338
pod,kubeEdge,cp_heavy_12client,4,24,latency,11.503819
pod,kubeEdge,cp_heavy_12client,5,24,throughput,66.68719
pod,kubeEdge,cp_heavy_12client,5,24,latency,16.959715
deployment,kubeEdge,cp_heavy_12client,5,120,throughput,81.03892
deployment,kubeEdge,cp_heavy_12client,5,120,latency,44.67935
pod,openYurt,cp_heavy_12client,1,24,throughput,128.44142
pod,openYurt,cp_heavy_12client,1,24,latency,2.7514355
deployment,openYurt,cp_heavy_12client,1,120,throughput,217.62769
deployment,openYurt,cp_heavy_12client,1,120,latency,8.329053
pod,openYurt,cp_heavy_12client,2,24,throughput,133.43143
pod,openYurt,cp_heavy_12client,2,24,latency,2.8544157
deployment,openYurt,cp_heavy_12client,2,120,throughput,212.73601
deployment,openYurt,cp_heavy_12client,2,120,latency,8.876641
pod,openYurt,cp_heavy_12client,3,24,throughput,118.444016"
pod,openYurt,cp_heavy_12client,3,24,latency,2.8462932
deployment,openYurt,cp_heavy_12client,3,120,throughput,215.13206
deployment,openYurt,cp_heavy_12client,3,120,latency,7.8718553
pod,openYurt,cp_heavy_12client,4,24,throughput,117.084564"
pod,openYurt,cp_heavy_12client,4,24,latency,3.2317188
deployment,openYurt,cp_heavy_12client,4,120,throughput,174.79604
deployment,openYurt,cp_heavy_12client,4,120,latency,9.752893
pod,openYurt,cp_heavy_12client,5,24,throughput,126.97599
pod,openYurt,cp_heavy_12client,5,24,latency,2.9685647
deployment,openYurt,cp_heavy_12client,5,120,throughput,238.68504
deployment,openYurt,cp_heavy_12client,5,120,latency,7.860341
