type,k8s,tests,test-numbers,number-of-pods,metics,value
pod,k0s,cp_light_1client,1,2,throughput,41.765743
pod,k0s,cp_light_1client,1,2,latency,1.436584
deployment,k0s,cp_light_1client,1,10,throughput,110.24846
deployment,k0s,cp_light_1client,1,10,latency,1.5463994
pod,k0s,cp_light_1client,2,2,throughput,37.641064
pod,k0s,cp_light_1client,2,2,latency,1.5940039
deployment,k0s,cp_light_1client,2,10,throughput,106.22084
deployment,k0s,cp_light_1client,2,10,latency,1.7005005
deployment,k0s,cp_light_1client,3,10,throughput,108.9451
deployment,k0s,cp_light_1client,3,10,latency,1.5818284
pod,k0s,cp_light_1client,3,2,throughput,39.231293
pod,k0s,cp_light_1client,3,2,latency,1.5293913
pod,k0s,cp_light_1client,4,2,throughput,36.146866
pod,k0s,cp_light_1client,4,2,latency,1.659895
deployment,k0s,cp_light_1client,4,10,throughput,123.170815
deployment,k0s,cp_light_1client,4,10,latency,1.5792023
deployment,k0s,cp_light_1client,5,10,throughput,104.08936
deployment,k0s,cp_light_1client,5,10,latency,1.6856644
pod,k0s,cp_light_1client,5,2,throughput,39.849407
pod,k0s,cp_light_1client,5,2,latency,1.5056686
pod,k3s,cp_light_1client,1,2,throughput,17.485874
pod,k3s,cp_light_1client,1,2,latency,3.4313412
deployment,k3s,cp_light_1client,1,10,throughput,60.835613
deployment,k3s,cp_light_1client,1,10,latency,2.5367837
pod,k3s,cp_light_1client,2,2,throughput,38.90669
pod,k3s,cp_light_1client,2,2,latency,1.5421512
deployment,k3s,cp_light_1client,2,10,throughput,111.3419
deployment,k3s,cp_light_1client,2,10,latency,1.5681602
pod,k3s,cp_light_1client,3,2,throughput,44.164127
pod,k3s,cp_light_1client,3,2,latency,1.3585687
deployment,k3s,cp_light_1client,3,10,throughput,93.37875
deployment,k3s,cp_light_1client,3,10,latency,1.9809301
deployment,k3s,cp_light_1client,4,10,throughput,83.18875
deployment,k3s,cp_light_1client,4,10,latency,2.2790444
pod,k3s,cp_light_1client,4,2,throughput,38.590263
pod,k3s,cp_light_1client,4,2,latency,1.5547963
pod,k3s,cp_light_1client,5,2,throughput,42.305313
pod,k3s,cp_light_1client,5,2,latency,1.4182615
deployment,k3s,cp_light_1client,5,10,throughput,95.08699
deployment,k3s,cp_light_1client,5,10,latency,1.9885925
pod,k8s,cp_light_1client,1,2,throughput,22.360022
pod,k8s,cp_light_1client,1,2,latency,2.6833606
deployment,k8s,cp_light_1client,1,10,throughput,57.0974
deployment,k8s,cp_light_1client,1,10,latency,2.910711
pod,k8s,cp_light_1client,2,2,throughput,41.453667
pod,k8s,cp_light_1client,2,2,latency,1.4473991
deployment,k8s,cp_light_1client,2,10,throughput,108.03829
deployment,k8s,cp_light_1client,2,10,latency,1.7490499
pod,k8s,cp_light_1client,3,2,throughput,33.932293
pod,k8s,cp_light_1client,3,2,latency,1.7682271
deployment,k8s,cp_light_1client,3,10,throughput,100.41114
deployment,k8s,cp_light_1client,3,10,latency,1.844004
pod,k8s,cp_light_1client,4,2,throughput,32.01545
pod,k8s,cp_light_1client,4,2,latency,1.8740952
deployment,k8s,cp_light_1client,4,10,throughput,87.06403
deployment,k8s,cp_light_1client,4,10,latency,2.0976424
pod,k8s,cp_light_1client,5,2,throughput,36.584503
pod,k8s,cp_light_1client,5,2,latency,1.6400387
deployment,k8s,cp_light_1client,5,10,throughput,86.38512
deployment,k8s,cp_light_1client,5,10,latency,2.0308821
pod,kubeEdge,cp_light_1client,1,2,throughput,26.434305
pod,kubeEdge,cp_light_1client,1,2,latency,2.2697778
deployment,kubeEdge,cp_light_1client,1,10,throughput,56.900604
deployment,kubeEdge,cp_light_1client,1,10,latency,8.985293
pod,kubeEdge,cp_light_1client,2,2,throughput,25.11633
pod,kubeEdge,cp_light_1client,2,2,latency,2.388884
deployment,kubeEdge,cp_light_1client,2,10,throughput,72.29328
deployment,kubeEdge,cp_light_1client,2,10,latency,4.5440183
deployment,kubeEdge,cp_light_1client,3,10,throughput,62.05218
deployment,kubeEdge,cp_light_1client,3,10,latency,2.8497949
pod,kubeEdge,cp_light_1client,3,2,throughput,27.575525
pod,kubeEdge,cp_light_1client,3,2,latency,2.1758425
pod,kubeEdge,cp_light_1client,4,2,throughput,32.45155
pod,kubeEdge,cp_light_1client,4,2,latency,1.8489101
deployment,kubeEdge,cp_light_1client,4,10,throughput,53.859818
deployment,kubeEdge,cp_light_1client,4,10,latency,3.073223
pod,kubeEdge,cp_light_1client,5,2,throughput,22.164648
pod,kubeEdge,cp_light_1client,5,2,latency,2.7070134
deployment,kubeEdge,cp_light_1client,5,10,throughput,64.85139
deployment,kubeEdge,cp_light_1client,5,10,latency,3.0924685
pod,openYurt,cp_light_1client,1,2,throughput,27.718782
pod,openYurt,cp_light_1client,1,2,latency,2.1645973
deployment,openYurt,cp_light_1client,1,10,throughput,67.88788
deployment,openYurt,cp_light_1client,1,10,latency,2.498869
pod,openYurt,cp_light_1client,2,2,throughput,36.492565
