4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1312.16          ---          ---        13.82762         9.40700        79.35900       191.48700       101.09 
Gets        13120.03         4.67     13115.37        13.83796         9.40700        79.87100       189.43900       511.21 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      14432.20         4.67     13115.37        13.83702         9.40700        79.87100       189.43900       612.30 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.159        0.000
SET       3.567        5.000
SET       5.375       10.000
SET       7.039       15.000
SET       7.743       20.000
SET       8.319       25.000
SET       8.575       30.000
SET       8.895       35.000
SET       9.023       40.000
SET       9.151       45.000
SET       9.407       50.000
SET       9.727       52.500
SET       9.919       55.000
SET      10.431       57.500
SET      11.071       60.000
SET      12.095       62.500
SET      12.991       65.000
SET      13.951       67.500
SET      15.039       70.000
SET      16.063       72.500
SET      16.639       75.000
SET      16.895       76.250
SET      17.151       77.500
SET      17.407       78.750
SET      17.919       80.000
SET      18.559       81.250
SET      19.327       82.500
SET      20.095       83.750
SET      20.607       85.000
SET      20.991       86.250
SET      21.375       87.500
SET      21.631       88.125
SET      21.887       88.750
SET      22.399       89.375
SET      22.911       90.000
SET      23.679       90.625
SET      24.447       91.250
SET      25.087       91.875
SET      25.727       92.500
SET      26.751       93.125
SET      28.031       93.750
SET      28.543       94.062
SET      28.927       94.375
SET      29.311       94.688
SET      29.695       95.000
SET      30.335       95.312
SET      30.975       95.625
SET      31.743       95.938
SET      32.511       96.250
SET      33.279       96.562
SET      34.303       96.875
SET      35.327       97.031
SET      36.095       97.188
SET      37.119       97.344
SET      38.143       97.500
SET      39.423       97.656
SET      41.471       97.812
SET      43.519       97.969
SET      46.591       98.125
SET      49.919       98.281
SET      54.527       98.438
SET      57.343       98.516
SET      60.159       98.594
SET      62.975       98.672
SET      66.559       98.750
SET      69.631       98.828
SET      73.727       98.906
SET      78.335       98.984
SET      83.455       99.062
SET      89.087       99.141
SET      95.743       99.219
SET      98.815       99.258
SET     101.887       99.297
SET     104.959       99.336
SET     108.031       99.375
SET     111.615       99.414
