4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1207.77          ---          ---        15.00042         9.72700        95.23100       214.01500        93.04 
Gets        12075.96         4.00     12071.96        15.03523         9.72700        96.76700       219.13500       470.53 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      13283.72         4.00     12071.96        15.03207         9.72700        96.25500       219.13500       563.57 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.191        0.000
SET       3.503        5.000
SET       5.535       10.000
SET       7.103       15.000
SET       7.775       20.000
SET       8.319       25.000
SET       8.511       30.000
SET       8.831       35.000
SET       9.023       40.000
SET       9.279       45.000
SET       9.727       50.000
SET      10.111       52.500
SET      10.623       55.000
SET      11.647       57.500
SET      12.543       60.000
SET      13.439       62.500
SET      14.463       65.000
SET      15.487       67.500
SET      16.383       70.000
SET      16.895       72.500
SET      17.663       75.000
SET      18.047       76.250
SET      18.687       77.500
SET      19.327       78.750
SET      19.967       80.000
SET      20.479       81.250
SET      20.863       82.500
SET      21.247       83.750
SET      21.887       85.000
SET      22.527       86.250
SET      23.679       87.500
SET      24.191       88.125
SET      24.831       88.750
SET      25.343       89.375
SET      25.983       90.000
SET      26.751       90.625
SET      27.647       91.250
SET      28.415       91.875
SET      29.055       92.500
SET      29.823       93.125
SET      30.719       93.750
SET      31.231       94.062
SET      31.871       94.375
SET      32.511       94.688
SET      33.023       95.000
SET      33.791       95.312
SET      34.559       95.625
SET      35.839       95.938
SET      37.375       96.250
SET      38.655       96.562
SET      40.447       96.875
SET      41.471       97.031
SET      42.495       97.188
SET      44.031       97.344
SET      45.823       97.500
SET      47.871       97.656
SET      49.919       97.812
SET      52.479       97.969
SET      55.807       98.125
SET      59.647       98.281
SET      64.511       98.438
SET      67.583       98.516
SET      71.167       98.594
SET      75.263       98.672
SET      79.871       98.750
SET      83.967       98.828
SET      88.575       98.906
SET      94.207       98.984
SET      99.839       99.062
SET     104.959       99.141
SET     111.103       99.219
SET     114.175       99.258
SET     117.247       99.297
SET     119.807       99.336
SET     122.879       99.375
SET     126.463       99.414
SET     130.047       99.453
SET     134.143       99.492
SET     138.239       99.531
SET     142.335       99.570
SET     148.479       99.609
SET     150.527       99.629
SET     153.599       99.648
SET     156.671       99.668
SET     159.743       99.688
SET     162.815       99.707
SET     166.911       99.727
SET     169.983       99.746
SET     174.079       99.766
SET     179.199       99.785
SET     184.319       99.805
SET     186.367       99.814
SET     189.439       99.824
SET     192.511       99.834
SET     195.583       99.844
SET     197.631       99.854
SET     199.679       99.863
SET     203.775       99.873
SET     206.847       99.883
SET     210.943       99.893
SET     215.039       99.902
SET     218.111       99.907
SET     220.159       99.912
SET     222.207       99.917
SET     224.255       99.922
SET     226.303       99.927
SET     229.375       99.932
SET     231.423       99.937
SET     234.495       99.941
SET     236.543       99.946
SET     239.615       99.951
SET     241.663       99.954
SET     243.711       99.956
SET     246.783       99.958
SET     248.831       99.961
SET     250.879       99.963
SET     253.951       99.966
SET     257.023       99.968
SET     260.095       99.971
SET     266.239       99.973
SET     270.335       99.976
SET     272.383       99.977
SET     274.431       99.978
SET     276.479       99.979
SET     280.575       99.980
SET     284.671       99.982
SET     284.671       99.983
SET     286.719       99.984
SET     292.863       99.985
SET     294.911       99.987
SET     301.055       99.988
SET     303.103       99.988
SET     307.199       99.989
SET     309.247       99.990
SET     313.343       99.990
SET     315.391       99.991
SET     317.439       99.991
SET     319.487       99.992
SET     321.535       99.993
SET     327.679       99.993
