hostname,value,timestamp
master,1353.28984,1701036146
node_1,352.8047,1701036146
node_2,370.77108,1701036146
node_3,367.5727,1701036146
master,1354.27348,1701036151
node_1,353.30236,1701036151
node_2,370.77888,1701036151
node_3,367.68048,1701036151
master,1355.18516,1701036156
node_1,353.73828,1701036156
node_2,370.73672,1701036156
node_3,367.87732,1701036156
master,1356.53048,1701036161
node_1,354.33206,1701036161
node_2,370.32732,1701036161
node_3,367.41638,1701036161
master,1358.01798,1701036166
node_1,355.33674,1701036166
node_2,370.20936,1701036166
node_3,367.49452,1701036166
master,1359.42032,1701036171
node_1,356.29454,1701036171
node_2,369.55076,1701036171
node_3,367.457,1701036171
master,1360.63206,1701036176
node_1,356.907,1701036176
node_2,369.74296,1701036176
node_3,367.64998,1701036176
master,1361.80156,1701036181
node_1,357.1945,1701036181
node_2,369.58906,1701036181
node_3,367.8281,1701036181
master,1362.58596,1701036186
node_1,357.7742,1701036186
node_2,368.59998,1701036186
node_3,367.71794,1701036186
master,1363.54454,1701036191
node_1,358.50702,1701036191
node_2,368.5164,1701036191
node_3,367.61482,1701036191
master,1364.282,1701036196
node_1,359.32188,1701036196
node_2,369.03986,1701036196
node_3,367.79532,1701036196
master,1365.35702,1701036201
node_1,358.54372,1701036201
node_2,369.32266,1701036201
node_3,366.95858,1701036201
master,1365.65938,1701036206
node_1,357.60548,1701036206
node_2,369.0711,1701036206
node_3,366.80468,1701036206
master,1366.30236,1701036211
node_1,357.27812,1701036211
node_2,367.11408,1701036211
node_3,364.2086,1701036211
master,1366.65622,1701036216
node_1,356.73046,1701036216
node_2,365.87188,1701036216
node_3,359.5422,1701036216
master,1366.96328,1701036221
node_1,356.55076,1701036221
node_2,365.76874,1701036221
node_3,359.40156,1701036221
master,1367.01254,1701036226
node_1,356.6625,1701036226
node_2,365.16484,1701036226
node_3,359.5,1701036226
master,1366.84452,1701036231
node_1,356.63986,1701036231
node_2,364.43984,1701036231
node_3,359.5,1701036231
master,1366.66018,1701036236
node_1,356.55312,1701036236
node_2,363.67034,1701036236
node_3,359.5,1701036236
master,1367.20704,1701036241
node_1,356.25154,1701036241
node_2,363.71642,1701036241
node_3,359.7188,1701036241
master,1367.38436,1701036246
node_1,355.54298,1701036246
node_2,363.1086,1701036246
node_3,359.7188,1701036246
master,1367.5023,1701036251
node_1,354.93126,1701036251
node_2,362.54762,1701036251
node_3,359.9531,1701036251
master,1367.84064,1701036256
node_1,354.81252,1701036256
node_2,362.4086,1701036256
node_3,359.9531,1701036256
master,1368.18204,1701036261
node_1,354.1289,1701036261
node_2,361.92188,1701036261
node_3,359.76482,1701036261
master,1367.00232,1701036266
node_1,353.58674,1701036266
node_2,361.47422,1701036266
node_3,359.23906,1701036266
master,1366.34374,1701036271
node_1,353.85234,1701036271
node_2,361.16564,1701036271
node_3,359.34844,1701036271
