hostname,value,timestamp
master,96.759688,1702216081
node_2,94.250786,1702216081
node_3,93.542956,1702216081
node_1,94.551942,1702216081
master,98.840328,1702216086
node_2,90.62569,1702216086
node_3,91.917588,1702216086
node_1,91.345106,1702216086
master,98.661868,1702216091
node_2,95.614044,1702216091
node_3,95.535944,1702216091
node_1,96.225696,1702216091
master,99.664428,1702216096
node_2,90.577692,1702216096
node_3,91.475146,1702216096
node_1,91.732894,1702216096
master,98.722006,1702216101
node_2,96.680978,1702216101
node_3,96.380004,1702216101
node_1,96.580632,1702216101
master,99.496952,1702216106
node_2,90.413158,1702216106
node_3,91.92844,1702216106
node_1,91.894846,1702216106
master,98.654688,1702216111
node_2,96.869834,1702216111
node_3,95.986554,1702216111
node_1,96.423234,1702216111
master,99.54705,1702216116
node_2,90.430936,1702216116
node_3,91.524432,1702216116
node_1,91.918962,1702216116
master,98.579062,1702216121
node_2,94.655092,1702216121
node_3,94.479446,1702216121
node_1,94.723858,1702216121
master,97.583994,1702216126
node_2,82.861086,1702216126
node_3,84.528676,1702216126
node_1,85.355688,1702216126
master,24.1536706,1702216131
node_2,9.2691968,1702216131
node_1,9.5957524,1702216131
node_3,6.1233578,1702216131
master,0.0166806,1702216136
node_2,7.3259852,1702216136
node_3,7.2329216,1702216136
node_1,6.010064,1702216136
master,0.0333472,1702216141
node_2,8.0291932,1702216141
node_3,7.4581824,1702216141
node_1,8.0852496,1702216141
master,0.0166945,1702216146
node_2,4.8641354,1702216146
node_3,8.1555646,1702216146
node_1,7.030402,1702216146
master,0,1702216151
node_2,8.9863334,1702216151
node_1,7.2055584,1702216151
node_3,8.077061,1702216151
master,0.0166806,1702216156
node_2,5.7678226,1702216156
node_3,6.4834442,1702216156
node_1,6.266698,1702216156
master,0.0333194,1702216161
node_3,6.4127204,1702216161
node_2,7.4469744,1702216161
node_1,7.2553238,1702216161
master,0,1702216166
node_2,6.6736238,1702216166
node_3,7.170269,1702216166
node_1,7.6035032,1702216166
master,0,1702216171
node_2,7.2063992,1702216171
node_1,7.9780858,1702216171
node_3,8.7830892,1702216171
master,0,1702216176
node_2,5.320664,1702216176
node_3,4.8018059,1702216176
node_1,5.58986,1702216176
master,0.0166667,1702216181
node_2,6.8621978,1702216181
node_3,9.4177078,1702216181
node_1,7.6832064,1702216181
master,0,1702216186
node_2,6.5944774,1702216186
node_3,6.4713682,1702216186
node_1,5.4896552,1702216186
master,0.0166945,1702216191
node_2,6.843834,1702216191
node_3,7.9614452,1702216191
node_1,7.3472452,1702216191
master,0,1702216196
node_2,6.8528324,1702216196
node_3,6.6397266,1702216196
node_1,7.75405,1702216196
master,0,1702216201
node_2,9.3367622,1702216201
node_3,7.3201588,1702216201
node_1,8.513298,1702216201
master,0,1702216206
node_2,5.9786013,1702216206
node_3,7.1588346,1702216206
node_1,7.5393494,1702216206
master,0,1702216211
node_2,7.9349698,1702216211
node_1,8.2222416,1702216211
node_3,8.600693,1702216211
master,0,1702216216
node_2,7.4571238,1702216216
node_3,6.6575266,1702216216
node_1,5.8166377,1702216216
master,0.0166945,1702216221
node_2,9.3348754,1702216221
node_3,7.402837,1702216221
node_1,8.8588856,1702216221
master,0.0166528,1702216226
node_2,5.09689,1702216226
node_3,9.093236,1702216226
node_1,7.7826564,1702216226
master,0,1702216231
node_2,6.4150535,1702216231
node_3,7.2950454,1702216231
node_1,10.0588998,1702216231
master,0,1702216236
node_2,6.43283,1702216236
node_3,4.0289288,1702216236
node_1,5.7969426,1702216236
master,0.0166528,1702216241
node_3,7.417991,1702216241
node_1,8.6096652,1702216241
node_2,7.5843892,1702216241
master,0.0499449,1702216246
node_2,5.3179024,1702216246
node_3,7.465327,1702216246
node_1,6.946445,1702216246
master,0,1702216251
node_2,7.155095,1702216251
node_3,10.9897242,1702216251
node_1,10.0853714,1702216251
master,0,1702216256
node_2,5.9431412,1702216256
node_3,8.400625,1702216256
node_1,6.8721894,1702216256
master,0,1702216261
node_3,7.139673,1702216261
node_1,9.0801648,1702216261
node_2,7.6534006,1702216261
master,0,1702216266
node_2,6.056355,1702216266
node_3,7.7269732,1702216266
node_1,7.6627198,1702216266
master,0,1702216271
node_2,7.9306302,1702216271
node_1,8.3575198,1702216271
node_3,9.1635498,1702216271
master,0,1702216276
node_2,5.849472,1702216276
node_3,7.275731,1702216276
node_1,7.4869968,1702216276
master,0,1702216281
node_1,9.67338,1702216281
node_2,6.3562268,1702216281
node_3,8.4229336,1702216281
master,0,1702216286
node_2,3.5153892,1702216286
node_3,7.1604896,1702216286
node_1,7.857947,1702216286
master,0.0333333,1702216291
node_3,7.7574696,1702216291
node_2,7.4794268,1702216291
node_1,9.4895662,1702216291
master,0,1702216296
node_2,4.8802834,1702216296
node_3,8.1091948,1702216296
node_1,7.3209166,1702216296
master,0.0333333,1702216301
node_1,10.402972,1702216301
node_3,8.5527738,1702216301
node_2,5.8951388,1702216301
master,0,1702216306
node_2,5.1550584,1702216306
node_3,7.9117688,1702216306
node_1,8.8472418,1702216306
master,0,1702216311
node_1,9.9017738,1702216311
node_3,9.770438,1702216311
node_2,5.898023,1702216311
master,0,1702216316
node_3,6.66661,1702216316
node_1,8.4330908,1702216316
node_2,4.9484703,1702216316
master,0,1702216321
node_1,7.9935688,1702216321
node_3,9.9344574,1702216321
node_2,6.6130548,1702216321
master,0,1702216326
node_2,5.5902722,1702216326
node_3,8.9395432,1702216326
node_1,8.1859464,1702216326
node_3,6.7008516,1702216331
node_1,8.9142624,1702216331
node_2,6.4866546,1702216331
node_2,6.0158506,1702216336
node_3,7.0904568,1702216336
node_1,8.5923142,1702216336
node_2,8.202043,1702216341
node_3,10.0543198,1702216341
node_1,8.9278596,1702216341
node_3,7.917152,1702216346
node_1,9.2898848,1702216346
node_2,3.675955,1702216346
node_3,8.7782494,1702216351
node_2,6.4999302,1702216351
node_1,9.7567928,1702216351
node_2,4.6416842,1702216356
node_3,7.8533288,1702216356
node_1,6.9948366,1702216356
node_1,9.459975,1702216361
node_2,5.2332548,1702216361
node_3,9.5671742,1702216361
node_2,4.7329848,1702216366
node_3,6.5882228,1702216366
node_1,7.0204196,1702216366
node_2,5.7983924,1702216371
node_3,9.8025824,1702216371
node_1,9.7673648,1702216371
node_2,4.5173588,1702216376
node_3,7.057741,1702216376
node_1,7.2947356,1702216376
node_3,9.8476432,1702216381
node_1,8.5407248,1702216381
node_2,4.8382196,1702216381
node_2,5.6313949,1702216386
node_3,7.3622466,1702216386
node_1,7.0889714,1702216386
node_3,9.4879808,1702216391
node_1,9.1246588,1702216391
node_2,6.8163874,1702216391
node_2,3.6152286,1702216396
node_3,7.4928718,1702216396
node_1,7.9464478,1702216396
node_1,9.4972704,1702216401
node_3,8.558067,1702216401
node_2,7.199492,1702216401
node_2,4.3907018,1702216406
node_3,6.6452194,1702216406
node_1,8.108366,1702216406
node_3,8.2050738,1702216411
node_1,6.2513042,1702216411
node_2,5.916226,1702216411
node_1,6.9421654,1702216416
node_2,4.9358687,1702216416
node_3,7.6843604,1702216416
node_1,8.475808,1702216421
node_2,4.8244472,1702216421
node_3,7.7697202,1702216421
node_2,3.7800935,1702216426
node_3,6.0985281,1702216426
node_1,7.612172,1702216426
node_1,8.8866088,1702216431
node_3,7.7554482,1702216431
node_2,6.2880608,1702216431
node_1,6.5249998,1702216436
node_3,6.2510916,1702216436
node_2,3.1699354,1702216436
node_1,9.0392158,1702216441
node_3,8.8609624,1702216441
node_2,6.1791002,1702216441
node_2,5.0648154,1702216446
node_3,8.0245196,1702216446
node_1,6.8175056,1702216446
node_1,8.82948,1702216451
node_3,7.6745044,1702216451
node_2,7.391267,1702216451
node_2,3.4661992,1702216456
node_3,7.7445864,1702216456
node_1,7.5675662,1702216456
node_2,7.174058,1702216461
node_1,7.4799686,1702216461
node_3,9.5902474,1702216461
node_1,8.3451586,1702216466
node_3,6.6051576,1702216466
node_2,3.1079869,1702216466
node_1,10.2192134,1702216471
node_3,8.692289,1702216471
node_2,4.8924648,1702216471
node_2,3.5309653,1702216476
node_3,6.3427742,1702216476
node_1,5.6780558,1702216476
node_1,9.571572,1702216481
node_3,8.3737732,1702216481
node_2,6.0540272,1702216481
node_2,4.822258,1702216486
node_3,6.5073996,1702216486
node_1,7.2519094,1702216486
node_3,10.6245242,1702216491
node_1,9.8534494,1702216491
node_2,6.6084822,1702216491
node_2,3.7727254,1702216496
node_3,6.207525,1702216496
node_1,8.3607756,1702216496
node_1,9.9156696,1702216501
node_3,8.9353782,1702216501
node_2,4.8379782,1702216501
node_2,4.680861,1702216506
node_1,7.3663086,1702216506
node_3,6.0692212,1702216506
node_3,8.568754,1702216511
node_1,8.3132822,1702216511
node_2,5.2939568,1702216511
node_3,8.0766748,1702216516
node_2,4.291744,1702216516
node_1,6.441345,1702216516
node_1,9.0147258,1702216521
node_3,8.7899876,1702216521
node_2,6.0259122,1702216521
node_1,6.2404412,1702216526
node_3,7.7652872,1702216526
node_2,3.1247387,1702216526
node_2,5.0272214,1702216531
node_3,9.8278632,1702216531
node_1,9.2808968,1702216531
node_2,3.4290393,1702216536
node_1,6.780406,1702216536
node_3,7.9888276,1702216536
node_1,8.3652102,1702216541
node_3,8.840532,1702216541
node_2,5.8050734,1702216541
node_1,8.4307342,1702216546
node_3,7.1638295,1702216546
node_2,4.1915392,1702216546
node_2,6.361399,1702216551
node_1,7.4912608,1702216551
node_3,9.8714628,1702216551
node_3,7.3415264,1702216556
node_1,6.9413374,1702216556
node_2,3.6246725,1702216556
node_1,9.412988,1702216561
node_2,6.4064316,1702216561
node_3,9.688594,1702216561
node_2,3.9091344,1702216566
node_1,7.1209702,1702216566
node_3,5.8522276,1702216566
node_1,8.9066816,1702216571
node_3,9.056207,1702216571
node_2,5.9325634,1702216571
node_2,3.1686868,1702216576
node_3,5.4081548,1702216576
node_1,8.029864,1702216576
node_1,9.664826,1702216581
node_3,9.3099608,1702216581
node_2,6.7683712,1702216581
node_3,6.1794694,1702216586
node_2,4.1827588,1702216586
node_1,6.7948996,1702216586
node_2,5.9495666,1702216591
node_1,7.8960282,1702216591
node_3,8.9538292,1702216591
node_2,4.268742,1702216596
node_3,5.628568,1702216596
node_1,8.393919,1702216596
node_1,9.701182,1702216601
node_3,8.4351304,1702216601
node_2,5.0348036,1702216601
node_2,5.5666494,1702216606
node_3,8.2116672,1702216606
node_1,7.4122842,1702216606
node_1,8.576452,1702216611
node_3,8.103992,1702216611
node_2,6.654538,1702216611
node_1,6.0173686,1702216616
node_3,5.7725574,1702216616
node_2,2.4698492,1702216616
node_1,9.140031,1702216621
node_3,8.9735528,1702216621
node_2,5.2891606,1702216621
node_3,6.9000504,1702216626
node_1,7.7623166,1702216626
node_2,3.2619363,1702216626
node_3,8.7886922,1702216631
node_1,7.6480262,1702216631
node_2,6.259971,1702216631
node_3,8.0049162,1702216636
node_1,7.2338418,1702216636
node_2,3.1711913,1702216636
node_1,8.5544424,1702216641
node_3,9.13257,1702216641
node_2,5.6410938,1702216641
node_3,5.096761,1702216646
node_2,3.1199004,1702216646
node_1,6.6510478,1702216646
node_2,6.988301,1702216651
node_1,7.8530698,1702216651
node_3,9.4744216,1702216651
node_3,5.8818206,1702216656
node_1,6.252282,1702216656
node_2,2.8091736,1702216656
node_1,8.7679284,1702216661
node_3,7.5119036,1702216661
node_2,6.6509628,1702216661
node_3,6.7107506,1702216666
node_2,3.33907,1702216666
node_1,7.7665278,1702216666
node_1,8.6351582,1702216671
node_3,8.2841386,1702216671
node_2,7.5786986,1702216671
node_2,3.7777512,1702216676
node_3,5.6828783,1702216676
node_1,7.556324,1702216676
node_1,9.657644,1702216681
node_3,8.8321566,1702216681
node_2,5.8598023,1702216681
node_2,4.7897934,1702216686
node_3,6.012062,1702216686
node_1,8.1274674,1702216686
node_2,5.2355756,1702216691
node_1,8.8302678,1702216691
node_3,8.9837852,1702216691
node_2,2.988885,1702216696
node_3,6.3442934,1702216696
node_1,7.7483722,1702216696
node_3,7.8731848,1702216701
node_1,8.3348938,1702216701
node_2,5.2773502,1702216701
node_1,7.2439704,1702216706
node_3,5.4227848,1702216706
node_2,3.9193255,1702216706
node_1,9.332623,1702216711
node_3,7.9920834,1702216711
node_2,5.0769072,1702216711
node_3,7.1237852,1702216716
node_1,5.8959602,1702216716
node_2,4.246682,1702216716
node_1,9.21018,1702216721
node_3,7.0903872,1702216721
node_2,5.2362858,1702216721
node_3,5.8901454,1702216726
node_2,4.5476842,1702216726
node_1,7.5147186,1702216726
node_1,6.1807785,1702216731
node_2,2.752005,1702216731
node_3,3.7565214,1702216731
node_2,3.376756,1702216736
node_1,5.2600282,1702216736
node_3,4.688109,1702216736
node_3,6.6541182,1702216741
node_1,7.6617334,1702216741
node_2,5.4979454,1702216741
node_3,5.3322512,1702216746
node_1,5.9301692,1702216746
node_2,3.3132358,1702216746
node_2,5.3303148,1702216751
node_1,6.3233858,1702216751
node_3,7.2916466,1702216751
node_2,4.9938329,1702216756
node_3,5.3251658,1702216756
node_1,5.3901506,1702216756
node_2,4.8151488,1702216761
node_3,6.2922296,1702216761
node_1,8.8348738,1702216761
node_2,3.6218922,1702216766
node_3,5.4419224,1702216766
node_1,7.5387464,1702216766
node_3,5.9306006,1702216771
node_1,7.9980254,1702216771
node_2,6.1898986,1702216771
node_3,5.1313694,1702216776
node_1,5.9259492,1702216776
node_2,2.7645887,1702216776
node_3,6.1637114,1702216781
node_1,7.6415852,1702216781
node_2,6.6165998,1702216781
node_2,5.43653,1702216786
node_3,3.8089165,1702216786
node_1,4.9174726,1702216786
node_1,7.7112326,1702216791
node_2,5.234052,1702216791
node_3,7.6404144,1702216791
node_3,4.2089282,1702216796
node_1,7.2511458,1702216796
node_2,4.0795356,1702216796
node_1,8.997586,1702216801
node_3,7.2328882,1702216801
node_2,3.5241579,1702216801
node_2,3.5156384,1702216806
node_3,4.3129268,1702216806
node_1,5.9784128,1702216806
node_1,6.7548886,1702216811
node_3,6.4786718,1702216811
node_2,3.7643424,1702216811
node_2,4.8938838,1702216816
node_3,5.6527838,1702216816
node_1,6.0458224,1702216816
node_2,6.8362122,1702216821
node_1,6.609586,1702216821
node_3,6.0679838,1702216821
node_2,2.201005,1702216826
node_3,5.6727354,1702216826
node_1,5.3921036,1702216826
master,0.0333333,1702216831
node_1,7.436721,1702216831
node_3,3.5133312,1702216831
node_2,6.4449606,1702216831
master,0.0668909,1702216836
node_2,4.7099266,1702216836
node_1,5.5212823,1702216836
node_3,5.3565136,1702216836
master,0.1333899,1702216841
node_2,7.729911,1702216841
node_3,10.2817606,1702216841
node_1,13.1514426,1702216841
master,57.5139058,1702216846
node_2,82.95015,1702216846
node_3,82.894188,1702216846
node_1,84.113752,1702216846
master,98.854514,1702216851
node_2,95.462818,1702216851
node_3,96.781502,1702216851
node_1,96.832264,1702216851
master,99.580578,1702216856
node_2,91.277664,1702216856
node_3,91.519104,1702216856
node_1,91.60057,1702216856
master,98.472122,1702216861
node_2,95.112796,1702216861
node_3,96.07226,1702216861
node_1,96.370634,1702216861
master,99.396196,1702216866
node_2,87.465668,1702216866
node_3,59.1537,1702216866
node_1,88.105504,1702216866
master,98.47321,1702216871
node_2,93.100964,1702216871
node_3,63.568414,1702216871
node_1,92.999464,1702216871
master,99.413062,1702216876
node_2,90.703588,1702216876
node_3,71.62884,1702216876
node_1,91.269356,1702216876
master,98.625636,1702216881
node_2,96.019206,1702216881
node_3,83.927516,1702216881
node_1,96.93211,1702216881
master,99.496404,1702216886
node_2,91.488402,1702216886
node_3,96.790532,1702216886
node_1,91.701522,1702216886
master,98.707034,1702216891
node_2,95.912888,1702216891
node_3,96.329548,1702216891
node_1,96.8249,1702216891
master,99.244388,1702216896
node_2,90.768128,1702216896
node_3,96.380986,1702216896
node_1,91.249342,1702216896
master,98.838194,1702216901
node_2,95.97289,1702216901
node_3,90.880702,1702216901
node_1,97.035408,1702216901
master,99.580268,1702216906
node_2,91.364042,1702216906
node_3,85.302122,1702216906
node_1,91.52033,1702216906
master,98.774066,1702216911
node_2,96.419122,1702216911
node_3,72.724818,1702216911
node_1,96.877074,1702216911
master,99.513464,1702216916
node_2,91.295472,1702216916
node_3,74.431946,1702216916
node_1,91.621818,1702216916
master,98.73843,1702216921
node_2,95.565406,1702216921
node_3,97.385106,1702216921
node_1,96.83572,1702216921
master,99.530494,1702216926
node_2,91.504174,1702216926
node_3,96.88378,1702216926
node_1,91.650664,1702216926
master,98.78922,1702216931
node_2,96.057516,1702216931
node_3,93.707496,1702216931
node_1,96.422948,1702216931
master,99.51376,1702216936
node_2,91.006454,1702216936
node_3,96.677078,1702216936
node_1,91.375698,1702216936
master,98.758516,1702216941
node_2,96.176834,1702216941
node_3,97.335008,1702216941
node_1,96.582478,1702216941
master,99.430246,1702216946
node_2,90.950668,1702216946
node_3,95.781954,1702216946
node_1,91.644318,1702216946
master,98.724042,1702216951
node_2,95.717956,1702216951
node_3,97.086148,1702216951
node_1,96.82884,1702216951
master,99.613994,1702216956
node_2,90.50313,1702216956
