hostname,value,timestamp,chart_family
master,0.8,1702234356,nvme0n1
master,0.8,1702234356,ubuntu--vg-ubuntu--lv
node_3,28,1702234356,mmcblk0
node_1,0.2,1702234356,mmcblk0
node_2,0.4,1702234356,mmcblk0
master,0.6,1702234361,nvme0n1
master,0.6,1702234361,ubuntu--vg-ubuntu--lv
node_3,4.6,1702234361,mmcblk0
node_1,0.2,1702234361,mmcblk0
node_2,0.6,1702234361,mmcblk0
master,0.4,1702234366,nvme0n1
master,0.4,1702234366,ubuntu--vg-ubuntu--lv
node_3,77.6,1702234366,mmcblk0
node_1,0,1702234366,mmcblk0
node_2,0.2,1702234366,mmcblk0
master,0.6,1702234371,nvme0n1
master,0.6,1702234371,ubuntu--vg-ubuntu--lv
node_3,13.4,1702234371,mmcblk0
node_1,0,1702234371,mmcblk0
node_2,0,1702234371,mmcblk0
master,0.6,1702234376,nvme0n1
master,0.6,1702234376,ubuntu--vg-ubuntu--lv
node_3,50.8,1702234376,mmcblk0
node_1,0,1702234376,mmcblk0
node_2,1.2,1702234376,mmcblk0
master,0.4,1702234381,nvme0n1
master,0.4,1702234381,ubuntu--vg-ubuntu--lv
node_1,0.6,1702234381,mmcblk0
node_3,77.8,1702234381,mmcblk0
node_2,1.2,1702234381,mmcblk0
master,0.6,1702234386,nvme0n1
master,0.6,1702234386,ubuntu--vg-ubuntu--lv
node_3,68,1702234386,mmcblk0
node_1,0,1702234386,mmcblk0
node_2,0.4,1702234386,mmcblk0
master,0.6,1702234391,nvme0n1
master,0.6,1702234391,ubuntu--vg-ubuntu--lv
node_3,96.4,1702234391,mmcblk0
node_1,0,1702234391,mmcblk0
node_2,0.2,1702234391,mmcblk0
master,0.8,1702234396,nvme0n1
master,0.8,1702234396,ubuntu--vg-ubuntu--lv
node_3,63,1702234396,mmcblk0
node_1,0,1702234396,mmcblk0
node_2,0,1702234396,mmcblk0
master,0.6,1702234401,nvme0n1
master,0.6,1702234401,ubuntu--vg-ubuntu--lv
node_3,95.8,1702234401,mmcblk0
node_1,0,1702234401,mmcblk0
node_2,0.2,1702234401,mmcblk0
master,0.6,1702234406,nvme0n1
master,0.6,1702234406,ubuntu--vg-ubuntu--lv
node_3,99.2,1702234406,mmcblk0
node_1,0,1702234406,mmcblk0
node_2,0,1702234406,mmcblk0
master,0.4,1702234411,nvme0n1
master,0.4,1702234411,ubuntu--vg-ubuntu--lv
node_3,99.2,1702234411,mmcblk0
node_1,0,1702234411,mmcblk0
node_2,0,1702234411,mmcblk0
master,0.4,1702234416,nvme0n1
master,0.4,1702234416,ubuntu--vg-ubuntu--lv
node_3,100,1702234416,mmcblk0
node_1,0.2,1702234416,mmcblk0
node_2,2,1702234416,mmcblk0
master,0,1702234421,nvme0n1
master,0,1702234421,ubuntu--vg-ubuntu--lv
node_3,70.2,1702234421,mmcblk0
node_1,0,1702234421,mmcblk0
node_2,0.2,1702234421,mmcblk0
master,0.8,1702234426,nvme0n1
master,0.8,1702234426,ubuntu--vg-ubuntu--lv
node_3,72.6,1702234426,mmcblk0
node_1,0,1702234426,mmcblk0
node_2,1.8,1702234426,mmcblk0
master,0.4,1702234431,nvme0n1
master,0.4,1702234431,ubuntu--vg-ubuntu--lv
node_3,68.4,1702234431,mmcblk0
node_1,0,1702234431,mmcblk0
node_2,0.6,1702234431,mmcblk0
master,0.6,1702234436,nvme0n1
master,0.6,1702234436,ubuntu--vg-ubuntu--lv
node_3,60.8,1702234436,mmcblk0
node_1,0,1702234436,mmcblk0
node_2,0.4,1702234436,mmcblk0
master,0,1702234441,nvme0n1
master,0,1702234441,ubuntu--vg-ubuntu--lv
node_3,55.4,1702234441,mmcblk0
node_1,2.6,1702234441,mmcblk0
node_2,0.4,1702234441,mmcblk0
master,0.6,1702234446,nvme0n1
master,0.6,1702234446,ubuntu--vg-ubuntu--lv
node_3,89.2,1702234446,mmcblk0
node_1,0,1702234446,mmcblk0
node_2,0,1702234446,mmcblk0
master,0.4,1702234451,nvme0n1
master,0.4,1702234451,ubuntu--vg-ubuntu--lv
node_3,88.2,1702234451,mmcblk0
node_1,0,1702234451,mmcblk0
node_2,0.6,1702234451,mmcblk0
master,0.6,1702234456,nvme0n1
master,0.6,1702234456,ubuntu--vg-ubuntu--lv
node_3,99.2,1702234456,mmcblk0
node_1,0,1702234456,mmcblk0
node_2,1.2,1702234456,mmcblk0
master,0.8,1702234461,nvme0n1
master,0.8,1702234461,ubuntu--vg-ubuntu--lv
node_3,98.2,1702234461,mmcblk0
node_1,0,1702234461,mmcblk0
node_2,0,1702234461,mmcblk0
master,0.6,1702234466,nvme0n1
master,0.6,1702234466,ubuntu--vg-ubuntu--lv
node_3,99,1702234466,mmcblk0
node_1,0,1702234466,mmcblk0
node_2,0,1702234466,mmcblk0
master,0.8,1702234471,nvme0n1
master,0.8,1702234471,ubuntu--vg-ubuntu--lv
node_3,97,1702234471,mmcblk0
node_1,0,1702234471,mmcblk0
node_2,0,1702234471,mmcblk0
master,0.6,1702234476,nvme0n1
master,0.6,1702234476,ubuntu--vg-ubuntu--lv
node_1,0,1702234476,mmcblk0
node_3,86.6,1702234476,mmcblk0
node_2,0.8,1702234476,mmcblk0
master,1,1702234481,nvme0n1
master,1,1702234481,ubuntu--vg-ubuntu--lv
node_1,0.6,1702234481,mmcblk0
node_2,1.6,1702234481,mmcblk0
node_3,65.8,1702234481,mmcblk0
master,0.6,1702234486,nvme0n1
master,0.6,1702234486,ubuntu--vg-ubuntu--lv
node_3,39,1702234486,mmcblk0
node_1,0.2,1702234486,mmcblk0
node_2,0.8,1702234486,mmcblk0
master,0.8,1702234491,nvme0n1
master,0.8,1702234491,ubuntu--vg-ubuntu--lv
node_3,93,1702234491,mmcblk0
node_1,0.2,1702234491,mmcblk0
node_2,0.8,1702234491,mmcblk0
master,0.6,1702234496,nvme0n1
master,0.6,1702234496,ubuntu--vg-ubuntu--lv
node_3,99.2,1702234496,mmcblk0
node_1,1,1702234496,mmcblk0
node_2,1.2,1702234496,mmcblk0
master,0.6,1702234501,nvme0n1
master,0.6,1702234501,ubuntu--vg-ubuntu--lv
node_3,98.4,1702234501,mmcblk0
node_1,0,1702234501,mmcblk0
node_2,0,1702234501,mmcblk0
master,1,1702234506,nvme0n1
master,1,1702234506,ubuntu--vg-ubuntu--lv
node_3,98.4,1702234506,mmcblk0
node_1,0,1702234506,mmcblk0
node_2,2.6,1702234506,mmcblk0
master,1.6,1702234511,nvme0n1
master,1.6,1702234511,ubuntu--vg-ubuntu--lv
node_3,78.6,1702234511,mmcblk0
node_1,0,1702234511,mmcblk0
node_2,0.2,1702234511,mmcblk0
master,5,1702234516,nvme0n1
master,5,1702234516,ubuntu--vg-ubuntu--lv
node_3,56.8,1702234516,mmcblk0
node_1,2.8,1702234516,mmcblk0
node_2,4.2,1702234516,mmcblk0
master,1.6,1702234521,nvme0n1
master,1.6,1702234521,ubuntu--vg-ubuntu--lv
node_3,77.6,1702234521,mmcblk0
node_1,0.6,1702234521,mmcblk0
node_2,2.4,1702234521,mmcblk0
master,1.2,1702234526,nvme0n1
master,1.2,1702234526,ubuntu--vg-ubuntu--lv
node_3,90.8,1702234526,mmcblk0
node_1,0,1702234526,mmcblk0
node_2,1,1702234526,mmcblk0
master,1,1702234531,nvme0n1
master,1,1702234531,ubuntu--vg-ubuntu--lv
node_3,64,1702234531,mmcblk0
node_1,0.2,1702234531,mmcblk0
node_2,0.8,1702234531,mmcblk0
master,0.6,1702234536,nvme0n1
master,0.6,1702234536,ubuntu--vg-ubuntu--lv
node_3,98.8,1702234536,mmcblk0
node_1,0,1702234536,mmcblk0
node_2,0.2,1702234536,mmcblk0
master,1.2,1702234541,nvme0n1
master,1.2,1702234541,ubuntu--vg-ubuntu--lv
node_3,96,1702234541,mmcblk0
node_1,0,1702234541,mmcblk0
node_2,0.8,1702234541,mmcblk0
master,1.2,1702234546,nvme0n1
master,1.2,1702234546,ubuntu--vg-ubuntu--lv
node_3,68.2,1702234546,mmcblk0
node_1,0,1702234546,mmcblk0
node_2,1.8,1702234546,mmcblk0
master,1.4,1702234551,nvme0n1
master,1.4,1702234551,ubuntu--vg-ubuntu--lv
node_3,99,1702234551,mmcblk0
node_1,0.4,1702234551,mmcblk0
node_2,1.4,1702234551,mmcblk0
master,0.8,1702234556,nvme0n1
master,0.8,1702234556,ubuntu--vg-ubuntu--lv
node_3,71,1702234556,mmcblk0
node_1,0.2,1702234556,mmcblk0
node_2,0.4,1702234556,mmcblk0
master,1,1702234561,nvme0n1
master,1,1702234561,ubuntu--vg-ubuntu--lv
node_3,48.4,1702234561,mmcblk0
node_1,0,1702234561,mmcblk0
node_2,0.4,1702234561,mmcblk0
master,1.2,1702234566,nvme0n1
master,1.2,1702234566,ubuntu--vg-ubuntu--lv
node_3,21.8,1702234566,mmcblk0
