hostname,value,timestamp
master,1441.8414,1702234356
node_3,359.65468,1702234356
node_1,358.31172,1702234356
node_2,361.33672,1702234356
master,1442.76798,1702234361
node_3,400.1125,1702234361
node_1,357.93126,1702234361
node_2,361.48046,1702234361
master,1444.02032,1702234366
node_3,447.40704,1702234366
node_1,358.37346,1702234366
node_2,361.5047,1702234366
master,1445.6125,1702234371
node_3,404.50546,1702234371
node_1,358.70468,1702234371
node_2,361.54296,1702234371
master,1447.075,1702234376
node_3,442.20624,1702234376
node_1,359.27346,1702234376
node_2,361.82184,1702234376
master,1447.91952,1702234381
node_1,359.37112,1702234381
node_3,451.6711,1702234381
node_2,362.35624,1702234381
master,1446.9406,1702234386
node_3,455.85232,1702234386
node_1,359.3922,1702234386
node_2,362.5039,1702234386
master,1447.1703,1702234391
node_3,455.36954,1702234391
node_1,359.3633,1702234391
node_2,362.60078,1702234391
master,1447.9625,1702234396
node_3,457.9164,1702234396
node_1,359.2617,1702234396
node_2,362.7461,1702234396
master,1448.2453,1702234401
node_3,466.23438,1702234401
node_1,359.46172,1702234401
node_2,362.7461,1702234401
master,1448.31404,1702234406
node_3,475.77578,1702234406
node_1,359.11408,1702234406
node_2,362.7461,1702234406
master,1448.99218,1702234411
node_3,474.84452,1702234411
node_1,358.34374,1702234411
node_2,362.84142,1702234411
master,1448.71562,1702234416
node_3,472.28514,1702234416
node_1,357.00544,1702234416
node_2,362.61874,1702234416
master,1456.23434,1702234421
node_3,450.87186,1702234421
node_1,356.34142,1702234421
node_2,359.98204,1702234421
master,1459.1273,1702234426
node_3,465.69452,1702234426
node_1,356.05004,1702234426
node_2,358.21484,1702234426
master,1460.09918,1702234431
node_3,452.4492,1702234431
node_1,355.9172,1702234431
node_2,358.99138,1702234431
master,1460.43748,1702234436
node_3,450.72812,1702234436
node_1,355.3875,1702234436
node_2,358.80704,1702234436
master,1460.5922,1702234441
node_3,462.65704,1702234441
node_1,354.90936,1702234441
node_2,358.82348,1702234441
master,1459.70308,1702234446
node_3,450.73044,1702234446
node_1,354.79454,1702234446
node_2,358.5828,1702234446
master,1460.04298,1702234451
node_3,456.18048,1702234451
node_1,354.16876,1702234451
node_2,358.81406,1702234451
master,1460.1305,1702234456
node_3,457.78048,1702234456
node_1,354.16486,1702234456
node_2,359.39922,1702234456
master,1460.75628,1702234461
node_3,458.01094,1702234461
node_1,353.60234,1702234461
node_2,359.90312,1702234461
master,1460.56252,1702234466
node_3,458.09218,1702234466
node_1,353.67812,1702234466
node_2,360.67344,1702234466
master,1461.15704,1702234471
node_3,452.56016,1702234471
node_1,353.55236,1702234471
node_2,360.30938,1702234471
master,1459.48594,1702234476
node_1,353.63514,1702234476
node_3,448.6828,1702234476
node_2,360.13828,1702234476
master,1459.96876,1702234481
node_1,353.87496,1702234481
node_2,359.25702,1702234481
node_3,503.67658,1702234481
master,1460.51246,1702234486
node_3,479.48984,1702234486
node_1,354.4875,1702234486
node_2,359.09064,1702234486
master,1460.632,1702234491
node_3,455.58514,1702234491
node_1,354.88518,1702234491
node_2,359.10472,1702234491
master,1461.79452,1702234496
node_3,454.36638,1702234496
node_1,354.74766,1702234496
node_2,359.00312,1702234496
master,1461.85938,1702234501
node_3,455.50782,1702234501
node_1,354.68126,1702234501
node_2,359.44296,1702234501
master,1460.89296,1702234506
node_3,456.6656,1702234506
node_1,354.57968,1702234506
node_2,359.48436,1702234506
master,1467.37032,1702234511
node_3,457.59922,1702234511
node_1,355.6453,1702234511
node_2,362.00548,1702234511
master,1616.41644,1702234516
node_3,482.4883,1702234516
node_1,375.59454,1702234516
node_2,387.34844,1702234516
master,1849.6258,1702234521
node_3,463.21406,1702234521
node_1,381.86486,1702234521
node_2,396.36954,1702234521
master,1876.4172,1702234526
node_3,462.7336,1702234526
node_1,383.8539,1702234526
node_2,397.36718,1702234526
master,1881.2758,1702234531
node_3,472.57968,1702234531
node_1,385.37734,1702234531
node_2,396.96486,1702234531
master,1885.5578,1702234536
node_3,455.14766,1702234536
node_1,386.47112,1702234536
node_2,397.77812,1702234536
master,1890.261,1702234541
node_3,456.64138,1702234541
node_1,387.89688,1702234541
node_2,399.76798,1702234541
master,1898.5392,1702234546
node_3,460.94688,1702234546
node_1,389.38124,1702234546
node_2,400.3336,1702234546
master,1906.4126,1702234551
node_3,460.61486,1702234551
node_1,391.27502,1702234551
node_2,401.56796,1702234551
master,1913.0546,1702234556
node_3,363.68826,1702234556
node_1,393.0789,1702234556
node_2,403.02032,1702234556
master,1920.3782,1702234561
node_3,370.76876,1702234561
node_1,394.00704,1702234561
node_2,404.03514,1702234561
master,1925.154,1702234566
node_3,361.61716,1702234566
node_1,394.38672,1702234566
node_2,405.1367,1702234566
master,1933.605,1702234571
node_3,360.77578,1702234571
node_1,395.45626,1702234571
node_2,406.19842,1702234571
master,1948.6054,1702234576
node_3,380.22268,1702234576
node_1,396.50078,1702234576
node_2,407.01872,1702234576
master,1969.7258,1702234581
node_3,571.94374,1702234581
node_1,397.81328,1702234581
node_2,408.22426,1702234581
master,1975.3874,1702234586
node_3,574.34768,1702234586
node_1,398.95314,1702234586
node_2,409.34764,1702234586
master,1978.418,1702234591
node_3,546.86798,1702234591
node_1,400.22734,1702234591
node_2,410.68594,1702234591
master,1982.3742,1702234596
node_3,499.15468,1702234596
node_1,401.45078,1702234596
node_2,411.8492,1702234596
node_3,477.58592,1702234601
node_1,402.32106,1702234601
node_2,411.4,1702234601
node_3,441.27968,1702234606
node_1,403.35234,1702234606
node_2,412.08594,1702234606
node_3,501.01796,1702234611
node_1,404.57972,1702234611
node_2,413.33748,1702234611
node_3,636.01096,1702234616
node_1,404.61796,1702234616
node_2,414.84376,1702234616
node_3,699.21092,1702234621
node_1,404.38438,1702234621
node_2,415.5992,1702234621
node_3,641.59298,1702234626
node_1,404.42264,1702234626
node_2,416.58516,1702234626
node_3,446.61486,1702234631
node_1,404.34922,1702234631
node_2,416.47578,1702234631
node_3,455.55702,1702234636
node_1,405.02576,1702234636
node_2,416.32814,1702234636
node_3,447.24766,1702234641
node_1,406.10936,1702234641
node_2,416.3695,1702234641
node_3,385.67266,1702234646
node_1,407.33282,1702234646
node_2,417.81172,1702234646
node_3,354.24688,1702234651
node_1,407.59374,1702234651
node_2,418.37732,1702234651
node_3,354.20546,1702234656
node_1,408.08672,1702234656
node_2,418.99532,1702234656
node_3,354.47968,1702234661
node_1,408.60936,1702234661
node_2,420.0406,1702234661
node_3,355.3,1702234666
node_1,409.1914,1702234666
node_2,420.4297,1702234666
node_3,355.9906,1702234671
node_1,409.66324,1702234671
node_2,421.53436,1702234671
node_3,356.17032,1702234676
node_1,410.44216,1702234676
node_2,422.58594,1702234676
node_3,355.32812,1702234681
node_1,411.36016,1702234681
node_2,422.87424,1702234681
node_3,355.0531,1702234686
node_1,412.33518,1702234686
node_2,423.72268,1702234686
node_3,354.70158,1702234691
