4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         5500.57          ---          ---         3.31534         2.43100        13.82300        32.51100       423.75 
Gets        55004.03        42.59     54961.45         3.30113         2.43100        13.75900        31.10300      2144.00 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      60504.61        42.59     54961.45         3.30242         2.43100        13.75900        31.23100      2567.75 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.119        0.000
SET       0.687        5.000
SET       0.807       10.000
SET       1.007       15.000
SET       1.263       20.000
SET       1.447       25.000
SET       1.599       30.000
SET       1.775       35.000
SET       1.975       40.000
SET       2.207       45.000
SET       2.431       50.000
SET       2.559       52.500
SET       2.687       55.000
SET       2.847       57.500
SET       3.023       60.000
SET       3.183       62.500
SET       3.375       65.000
SET       3.583       67.500
SET       3.791       70.000
SET       3.999       72.500
SET       4.223       75.000
SET       4.383       76.250
SET       4.511       77.500
SET       4.671       78.750
SET       4.863       80.000
SET       5.055       81.250
SET       5.247       82.500
SET       5.439       83.750
SET       5.663       85.000
SET       5.919       86.250
SET       6.175       87.500
SET       6.303       88.125
SET       6.431       88.750
SET       6.591       89.375
SET       6.751       90.000
SET       6.943       90.625
SET       7.103       91.250
SET       7.295       91.875
SET       7.519       92.500
SET       7.775       93.125
SET       7.999       93.750
SET       8.095       94.062
SET       8.255       94.375
SET       8.383       94.688
SET       8.511       95.000
SET       8.703       95.312
SET       8.831       95.625
SET       9.023       95.938
SET       9.279       96.250
SET       9.471       96.562
SET       9.791       96.875
SET       9.919       97.031
SET      10.111       97.188
SET      10.239       97.344
SET      10.431       97.500
SET      10.687       97.656
SET      10.879       97.812
SET      11.135       97.969
SET      11.455       98.125
SET      11.775       98.281
SET      12.095       98.438
SET      12.223       98.516
SET      12.479       98.594
SET      12.671       98.672
SET      12.927       98.750
SET      13.183       98.828
SET      13.503       98.906
SET      13.759       98.984
SET      14.143       99.062
SET      14.527       99.141
SET      15.039       99.219
SET      15.295       99.258
SET      15.615       99.297
SET      15.935       99.336
SET      16.255       99.375
SET      16.639       99.414
SET      17.023       99.453
SET      17.535       99.492
SET      18.047       99.531
SET      18.559       99.570
SET      19.199       99.609
SET      19.583       99.629
SET      19.967       99.648
SET      20.351       99.668
SET      20.735       99.688
SET      21.375       99.707
SET      21.887       99.727
SET      22.527       99.746
SET      23.295       99.766
SET      24.191       99.785
SET      25.215       99.805
SET      25.727       99.814
SET      26.367       99.824
SET      27.007       99.834
SET      27.647       99.844
SET      28.415       99.854
SET      29.055       99.863
SET      29.823       99.873
SET      30.847       99.883
SET      31.743       99.893
SET      32.767       99.902
SET      33.535       99.907
SET      34.047       99.912
SET      34.815       99.917
SET      35.583       99.922
SET      36.351       99.927
SET      37.119       99.932
SET      37.887       99.937
SET      38.911       99.941
SET      40.191       99.946
SET      41.471       99.951
SET      42.239       99.954
SET      42.751       99.956
SET      43.519       99.958
SET      44.543       99.961
SET      45.567       99.963
SET      46.591       99.966
SET      47.615       99.968
SET      49.407       99.971
SET      50.943       99.973
SET      52.735       99.976
SET      53.503       99.977
SET      54.783       99.978
SET      56.063       99.979
SET      57.343       99.980
SET      59.391       99.982
SET      61.951       99.983
SET      65.535       99.984
SET      70.143       99.985
SET      80.383       99.987
SET      87.551       99.988
SET      88.063       99.988
SET      90.111       99.989
SET      99.839       99.990
SET      99.839       99.990
SET     100.351       99.991
SET     101.887       99.991
SET     102.911       99.992
SET     102.911       99.993
SET     103.935       99.993
SET     104.447       99.994
SET     104.959       99.994
SET     107.519       99.995
SET     111.615       99.995
SET     116.735       99.995
SET     119.807       99.995
SET     121.855       99.996
SET     125.951       99.996
SET     128.511       99.996
SET     130.559       99.997
SET     133.119       99.997
SET     135.167       99.997
SET     136.191       99.997
SET     137.215       99.997
SET     139.263       99.998
SET     142.335       99.998
SET     143.359       99.998
SET     156.671       99.998
SET     165.887       99.998
SET     166.911       99.998
SET     169.983       99.998
SET     169.983       99.999
SET     169.983       99.999
SET     171.007       99.999
SET     181.247       99.999
SET     182.271       99.999
SET     192.511       99.999
SET     193.535       99.999
SET     197.631       99.999
SET     216.063       99.999
SET     216.063       99.999
SET     217.087       99.999
SET     217.087       99.999
SET     217.087       99.999
SET     218.111       99.999
SET     218.111       99.999
SET     218.111       99.999
SET     218.111      100.000
SET     218.111      100.000
SET     219.135      100.000
SET     219.135      100.000
SET     219.135      100.000
SET     219.135      100.000
SET     219.135      100.000
SET     219.135      100.000
SET     219.135      100.000
