4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1306.08          ---          ---        13.95401         9.21500        85.50300       220.15900       100.62 
Gets        13059.24         2.33     13056.91        13.89429         9.21500        81.91900       217.08700       508.77 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      14365.32         2.33     13056.91        13.89972         9.21500        81.91900       217.08700       609.39 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.191        0.000
SET       3.551        5.000
SET       5.503       10.000
SET       7.327       15.000
SET       8.511       20.000
SET       8.831       25.000
SET       8.895       30.000
SET       8.959       35.000
SET       9.023       40.000
SET       9.087       45.000
SET       9.215       50.000
SET       9.279       52.500
SET       9.343       55.000
SET       9.599       57.500
SET       9.855       60.000
SET      10.367       62.500
SET      11.199       65.000
SET      12.223       67.500
SET      13.439       70.000
SET      14.783       72.500
SET      16.063       75.000
SET      16.639       76.250
SET      17.023       77.500
SET      17.151       78.750
SET      17.535       80.000
SET      18.175       81.250
SET      18.943       82.500
SET      19.711       83.750
SET      20.479       85.000
SET      21.119       86.250
SET      21.375       87.500
SET      21.759       88.125
SET      22.143       88.750
SET      22.783       89.375
SET      23.551       90.000
SET      24.319       90.625
SET      25.215       91.250
SET      25.983       91.875
SET      27.135       92.500
SET      28.287       93.125
SET      29.311       93.750
SET      29.695       94.062
SET      30.335       94.375
SET      30.975       94.688
SET      31.743       95.000
SET      32.383       95.312
SET      33.279       95.625
SET      34.047       95.938
SET      35.327       96.250
SET      36.607       96.562
SET      38.143       96.875
SET      38.911       97.031
SET      39.935       97.188
SET      40.959       97.344
SET      42.239       97.500
SET      43.519       97.656
SET      45.823       97.812
SET      48.639       97.969
SET      51.199       98.125
SET      54.783       98.281
SET      59.391       98.438
SET      61.951       98.516
SET      64.255       98.594
SET      67.583       98.672
SET      70.655       98.750
SET      74.751       98.828
SET      79.871       98.906
SET      84.479       98.984
SET      89.087       99.062
SET      94.719       99.141
SET     101.375       99.219
SET     104.959       99.258
SET     109.055       99.297
SET     112.639       99.336
SET     116.735       99.375
SET     120.831       99.414
SET     123.903       99.453
SET     127.999       99.492
SET     132.095       99.531
SET     137.215       99.570
SET     142.335       99.609
SET     145.407       99.629
SET     147.455       99.648
SET     150.527       99.668
SET     154.623       99.688
SET     157.695       99.707
SET     160.767       99.727
SET     164.863       99.746
SET     169.983       99.766
SET     175.103       99.785
SET     181.247       99.805
SET     184.319       99.814
SET     187.391       99.824
SET     190.463       99.834
SET     194.559       99.844
SET     198.655       99.854
SET     203.775       99.863
SET     207.871       99.873
SET     212.991       99.883
SET     217.087       99.893
SET     221.183       99.902
SET     223.231       99.907
SET     225.279       99.912
SET     228.351       99.917
SET     230.399       99.922
SET     232.447       99.927
SET     234.495       99.932
SET     237.567       99.937
SET     240.639       99.941
SET     243.711       99.946
SET     247.807       99.951
SET     248.831       99.954
SET     249.855       99.956
SET     251.903       99.958
SET     253.951       99.961
SET     255.999       99.963
SET     259.071       99.966
SET     261.119       99.968
SET     264.191       99.971
SET     266.239       99.973
SET     270.335       99.976
SET     272.383       99.977
SET     272.383       99.978
SET     276.479       99.979
SET     278.527       99.980
SET     280.575       99.982
SET     284.671       99.983
SET     286.719       99.984
SET     288.767       99.985
SET     292.863       99.987
SET     294.911       99.988
SET     296.959       99.988
SET     299.007       99.989
SET     301.055       99.990
SET     303.103       99.990
SET     307.199       99.991
SET     311.295       99.991
SET     313.343       99.992
SET     315.391       99.993
SET     319.487       99.993
