4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1142.59          ---          ---        15.91744        10.94300       110.07900       232.44700        88.02 
Gets        11424.26        34.73     11389.52        15.90033        10.94300       109.05500       231.42300       446.16 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      12566.85        34.73     11389.52        15.90188        10.94300       109.05500       231.42300       534.18 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.191        0.000
SET       2.799        5.000
SET       4.703       10.000
SET       6.335       15.000
SET       7.327       20.000
SET       8.319       25.000
SET       8.703       30.000
SET       9.023       35.000
SET       9.343       40.000
SET       9.919       45.000
SET      10.943       50.000
SET      11.903       52.500
SET      12.735       55.000
SET      13.503       57.500
SET      14.399       60.000
SET      15.359       62.500
SET      16.191       65.000
SET      16.767       67.500
SET      17.279       70.000
SET      17.919       72.500
SET      18.815       75.000
SET      19.455       76.250
SET      20.095       77.500
SET      20.479       78.750
SET      20.863       80.000
SET      21.247       81.250
SET      21.631       82.500
SET      22.143       83.750
SET      22.783       85.000
SET      23.807       86.250
SET      24.831       87.500
SET      25.343       88.125
SET      25.983       88.750
SET      26.495       89.375
SET      27.263       90.000
SET      28.031       90.625
SET      28.799       91.250
SET      29.439       91.875
SET      30.207       92.500
SET      30.975       93.125
SET      31.999       93.750
SET      32.383       94.062
SET      33.023       94.375
SET      33.535       94.688
SET      34.303       95.000
SET      35.071       95.312
SET      36.351       95.625
SET      37.375       95.938
SET      38.655       96.250
SET      40.447       96.562
SET      42.495       96.875
SET      43.775       97.031
SET      45.311       97.188
SET      47.103       97.344
SET      49.407       97.500
SET      51.967       97.656
SET      55.295       97.812
SET      59.135       97.969
SET      63.999       98.125
SET      69.631       98.281
SET      76.287       98.438
SET      79.871       98.516
SET      84.479       98.594
SET      89.087       98.672
SET      94.207       98.750
SET      99.327       98.828
SET     103.935       98.906
SET     109.055       98.984
SET     114.175       99.062
SET     119.807       99.141
SET     125.439       99.219
SET     129.023       99.258
SET     132.095       99.297
SET     135.167       99.336
SET     139.263       99.375
SET     142.335       99.414
SET     146.431       99.453
SET     150.527       99.492
SET     154.623       99.531
SET     159.743       99.570
SET     164.863       99.609
SET     167.935       99.629
SET     171.007       99.648
SET     174.079       99.668
SET     177.151       99.688
SET     181.247       99.707
SET     184.319       99.727
SET     189.439       99.746
SET     193.535       99.766
SET     198.655       99.785
SET     203.775       99.805
SET     205.823       99.814
SET     207.871       99.824
SET     210.943       99.834
SET     214.015       99.844
SET     216.063       99.854
SET     220.159       99.863
SET     223.231       99.873
SET     227.327       99.883
SET     230.399       99.893
SET     233.471       99.902
SET     235.519       99.907
SET     237.567       99.912
SET     240.639       99.917
SET     243.711       99.922
SET     245.759       99.927
SET     248.831       99.932
SET     251.903       99.937
SET     255.999       99.941
SET     259.071       99.946
SET     264.191       99.951
SET     266.239       99.954
SET     268.287       99.956
SET     270.335       99.958
SET     272.383       99.961
SET     276.479       99.963
SET     278.527       99.966
SET     282.623       99.968
SET     284.671       99.971
SET     288.767       99.973
SET     292.863       99.976
SET     294.911       99.977
SET     294.911       99.978
SET     296.959       99.979
SET     299.007       99.980
SET     301.055       99.982
SET     305.151       99.983
SET     307.199       99.984
SET     309.247       99.985
SET     315.391       99.987
SET     319.487       99.988
SET     321.535       99.988
SET     325.631       99.989
SET     327.679       99.990
SET     327.679       99.990
SET     329.727       99.991
SET     331.775       99.991
SET     333.823       99.992
SET     337.919       99.993
SET     337.919       99.993
