hostname,value,timestamp
master,97.29953,1701610786
node_1,95.159618,1701610786
node_3,94.629216,1701610786
node_2,93.891888,1701610786
master,99.546752,1701610791
node_1,93.579188,1701610791
node_3,96.180932,1701610791
node_2,92.203642,1701610791
master,98.711128,1701610796
node_1,95.007512,1701610796
node_3,94.377574,1701610796
node_2,95.82731,1701610796
master,99.530242,1701610801
node_1,94.154758,1701610801
node_3,96.742826,1701610801
node_2,91.841502,1701610801
master,98.504504,1701610806
node_1,95.41729,1701610806
node_3,93.97487,1701610806
node_2,95.661902,1701610806
master,99.530242,1701610811
node_1,92.661768,1701610811
node_3,96.730374,1701610811
node_2,91.394756,1701610811
master,98.645436,1701610816
node_1,95.179766,1701610816
node_3,94.18796,1701610816
node_2,95.662618,1701610816
master,99.546936,1701610821
node_1,93.607926,1701610821
node_3,96.596532,1701610821
node_2,91.1826,1701610821
master,98.710188,1701610826
node_1,95.527722,1701610826
node_3,94.690712,1701610826
node_2,95.710348,1701610826
master,99.345254,1701610831
node_1,93.932832,1701610831
node_3,96.687434,1701610831
node_2,92.155448,1701610831
master,98.77487,1701610836
node_1,95.301656,1701610836
node_3,94.317124,1701610836
node_2,95.905484,1701610836
master,99.530286,1701610841
node_1,92.810586,1701610841
node_3,95.837152,1701610841
node_2,91.479176,1701610841
master,98.610738,1701610846
node_1,95.099628,1701610846
node_3,94.732434,1701610846
node_2,95.412692,1701610846
master,99.547048,1701610851
node_1,92.61225,1701610851
node_3,95.78605,1701610851
node_2,90.247486,1701610851
master,98.938494,1701610856
node_1,95.25531,1701610856
node_3,94.564528,1701610856
node_2,94.962314,1701610856
master,99.580282,1701610861
node_1,94.002574,1701610861
node_3,96.794932,1701610861
node_2,91.80741,1701610861
master,98.646374,1701610866
node_1,95.36134,1701610866
node_3,93.34196,1701610866
node_2,96.11606,1701610866
master,99.429852,1701610871
node_1,92.046646,1701610871
node_3,95.74304,1701610871
node_2,91.734344,1701610871
master,98.793068,1701610876
node_1,95.397434,1701610876
node_3,94.480284,1701610876
node_2,96.012882,1701610876
master,99.480118,1701610881
node_1,93.574864,1701610881
node_3,96.492058,1701610881
node_2,90.94624,1701610881
master,98.692116,1701610886
node_1,95.511402,1701610886
node_3,93.726916,1701610886
node_2,95.525572,1701610886
master,99.513816,1701610891
node_1,94.033594,1701610891
node_3,96.437262,1701610891
node_2,91.460932,1701610891
master,98.805868,1701610896
node_1,95.100356,1701610896
node_3,94.057408,1701610896
node_2,96.568962,1701610896
