4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1153.31          ---          ---        15.70735         9.91900       105.98300       238.59100        88.85 
Gets        11531.42        35.48     11495.94        15.73879         9.91900       107.00700       240.63900       450.36 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      12684.73        35.48     11495.94        15.73593         9.91900       107.00700       239.61500       539.21 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.183        0.000
SET       3.663        5.000
SET       5.631       10.000
SET       7.167       15.000
SET       7.967       20.000
SET       8.511       25.000
SET       8.831       30.000
SET       8.959       35.000
SET       9.087       40.000
SET       9.343       45.000
SET       9.919       50.000
SET      10.559       52.500
SET      11.583       55.000
SET      12.543       57.500
SET      13.439       60.000
SET      14.463       62.500
SET      15.487       65.000
SET      16.255       67.500
SET      16.895       70.000
SET      17.279       72.500
SET      18.303       75.000
SET      18.815       76.250
SET      19.455       77.500
SET      20.095       78.750
SET      20.479       80.000
SET      20.991       81.250
SET      21.247       82.500
SET      21.759       83.750
SET      22.399       85.000
SET      23.423       86.250
SET      24.575       87.500
SET      25.087       88.125
SET      25.471       88.750
SET      26.111       89.375
SET      26.879       90.000
SET      27.775       90.625
SET      28.543       91.250
SET      29.183       91.875
SET      29.951       92.500
SET      30.847       93.125
SET      31.871       93.750
SET      32.511       94.062
SET      33.023       94.375
SET      33.535       94.688
SET      34.303       95.000
SET      35.583       95.312
SET      36.607       95.625
SET      37.631       95.938
SET      38.911       96.250
SET      40.447       96.562
SET      42.239       96.875
SET      43.263       97.031
SET      44.543       97.188
SET      46.079       97.344
SET      48.127       97.500
SET      50.431       97.656
SET      52.991       97.812
SET      56.063       97.969
SET      60.671       98.125
SET      66.559       98.281
SET      73.215       98.438
SET      76.799       98.516
SET      80.895       98.594
SET      85.503       98.672
SET      90.111       98.750
SET      95.231       98.828
SET     100.351       98.906
SET     105.471       98.984
SET     111.103       99.062
SET     116.223       99.141
SET     122.367       99.219
SET     125.951       99.258
SET     129.535       99.297
SET     133.119       99.336
SET     136.191       99.375
