4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1249.01          ---          ---        14.56662         9.27900        93.69500       224.25500        96.22 
Gets        12488.38        38.83     12449.56        14.52868         9.21500        93.18300       222.20700       487.75 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      13737.39        38.83     12449.56        14.53213         9.21500        93.18300       222.20700       583.97 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.151        0.000
SET       3.407        5.000
SET       4.991       10.000
SET       6.527       15.000
SET       7.231       20.000
SET       7.903       25.000
SET       8.383       30.000
SET       8.575       35.000
SET       8.831       40.000
SET       9.023       45.000
SET       9.279       50.000
SET       9.599       52.500
SET       9.983       55.000
SET      10.687       57.500
SET      11.711       60.000
SET      12.671       62.500
SET      13.695       65.000
SET      14.847       67.500
SET      15.871       70.000
SET      16.639       72.500
SET      17.279       75.000
SET      17.535       76.250
SET      18.047       77.500
SET      18.687       78.750
SET      19.327       80.000
SET      19.967       81.250
SET      20.607       82.500
SET      20.991       83.750
SET      21.375       85.000
SET      22.015       86.250
SET      22.911       87.500
SET      23.551       88.125
SET      24.191       88.750
SET      24.831       89.375
SET      25.343       90.000
SET      25.983       90.625
SET      26.751       91.250
SET      27.903       91.875
SET      28.671       92.500
SET      29.439       93.125
SET      30.335       93.750
SET      30.847       94.062
SET      31.487       94.375
SET      32.127       94.688
SET      33.023       95.000
SET      33.535       95.312
SET      34.303       95.625
SET      35.327       95.938
SET      36.607       96.250
SET      37.887       96.562
SET      39.423       96.875
SET      40.447       97.031
SET      41.471       97.188
SET      42.751       97.344
SET      44.799       97.500
SET      46.591       97.656
SET      48.895       97.812
SET      51.455       97.969
SET      55.039       98.125
SET      59.135       98.281
SET      63.743       98.438
SET      66.559       98.516
SET      69.631       98.594
SET      73.727       98.672
SET      77.311       98.750
SET      81.919       98.828
SET      87.039       98.906
SET      92.671       98.984
SET      98.303       99.062
SET     103.935       99.141
SET     110.591       99.219
SET     113.663       99.258
SET     117.247       99.297
SET     120.831       99.336
SET     124.415       99.375
SET     127.999       99.414
SET     132.095       99.453
SET     137.215       99.492
SET     141.311       99.531
SET     145.407       99.570
SET     151.551       99.609
SET     154.623       99.629
SET     157.695       99.648
SET     161.791       99.668
SET     164.863       99.688
SET     168.959       99.707
SET     173.055       99.727
SET     177.151       99.746
SET     181.247       99.766
SET     186.367       99.785
SET     191.487       99.805
SET     194.559       99.814
SET     196.607       99.824
SET     200.703       99.834
SET     203.775       99.844
SET     206.847       99.854
SET     211.967       99.863
SET     214.015       99.873
SET     217.087       99.883
SET     221.183       99.893
SET     225.279       99.902
SET     228.351       99.907
SET     230.399       99.912
SET     232.447       99.917
SET     234.495       99.922
SET     235.519       99.927
SET     238.591       99.932
SET     241.663       99.937
SET     244.735       99.941
SET     247.807       99.946
SET     252.927       99.951
SET     254.975       99.954
SET     255.999       99.956
SET     258.047       99.958
SET     261.119       99.961
SET     264.191       99.963
SET     268.287       99.966
SET     270.335       99.968
SET     274.431       99.971
SET     278.527       99.973
SET     284.671       99.976
SET     286.719       99.977
SET     288.767       99.978
SET     290.815       99.979
SET     292.863       99.980
SET     292.863       99.982
SET     296.959       99.983
SET     299.007       99.984
SET     301.055       99.985
SET     303.103       99.987
SET     307.199       99.988
SET     309.247       99.988
SET     309.247       99.989
SET     311.295       99.990
SET     313.343       99.990
SET     317.439       99.991
SET     317.439       99.991
SET     321.535       99.992
SET     327.679       99.993
SET     329.727       99.993
SET     333.823       99.994
SET     335.871       99.994
SET     337.919       99.995
SET     339.967       99.995
SET     342.015       99.995
SET     344.063       99.995
SET     344.063       99.996
SET     352.255       99.996
SET     352.255       99.996
SET     352.255       99.997
SET     354.303       99.997
SET     354.303       99.997
SET     354.303       99.997
SET     356.351       99.997
SET     356.351       99.998
SET     358.399       99.998
SET     360.447       99.998
SET     366.591       99.998
SET     368.639       99.998
SET     368.639       99.998
SET     368.639       99.998
SET     370.687       99.999
SET     370.687       99.999
SET     372.735       99.999
SET     372.735       99.999
SET     372.735       99.999
SET     372.735       99.999
SET     372.735       99.999
SET     376.831       99.999
SET     376.831       99.999
SET     378.879       99.999
SET     378.879       99.999
SET     378.879       99.999
SET     385.023       99.999
SET     385.023       99.999
SET     385.023       99.999
SET     385.023       99.999
SET     391.167      100.000
SET     391.167      100.000
SET     391.167      100.000
