4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1179.22          ---          ---        15.41947        10.23900        98.30300       220.15900        90.85 
Gets        11790.50        36.63     11753.87        15.39180        10.23900        96.76700       218.11100       460.49 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      12969.72        36.63     11753.87        15.39431        10.23900        97.27900       218.11100       551.33 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.191        0.000
SET       4.159        5.000
SET       6.751       10.000
SET       7.679       15.000
SET       8.447       20.000
SET       8.895       25.000
SET       9.023       30.000
SET       9.087       35.000
SET       9.215       40.000
SET       9.535       45.000
SET      10.239       50.000
SET      10.815       52.500
SET      11.647       55.000
SET      12.479       57.500
SET      13.247       60.000
SET      14.143       62.500
SET      15.103       65.000
SET      15.935       67.500
SET      16.511       70.000
SET      17.151       72.500
SET      17.535       75.000
SET      17.919       76.250
SET      18.559       77.500
SET      19.199       78.750
SET      19.711       80.000
SET      20.223       81.250
SET      20.735       82.500
SET      21.119       83.750
SET      21.375       85.000
SET      21.887       86.250
SET      22.911       87.500
SET      23.423       88.125
SET      24.063       88.750
SET      24.703       89.375
SET      25.343       90.000
SET      25.855       90.625
SET      26.623       91.250
SET      27.775       91.875
SET      28.671       92.500
SET      29.439       93.125
SET      30.335       93.750
SET      30.975       94.062
SET      31.615       94.375
SET      32.255       94.688
SET      33.023       95.000
SET      33.535       95.312
SET      34.559       95.625
SET      36.095       95.938
SET      37.375       96.250
SET      38.911       96.562
SET      40.959       96.875
SET      41.983       97.031
SET      43.263       97.188
SET      45.311       97.344
SET      47.359       97.500
SET      49.663       97.656
SET      52.479       97.812
SET      55.807       97.969
SET      59.391       98.125
SET      63.999       98.281
SET      68.607       98.438
SET      71.679       98.516
SET      75.263       98.594
SET      78.335       98.672
SET      82.943       98.750
SET      87.039       98.828
SET      92.159       98.906
SET      97.279       98.984
SET     102.911       99.062
SET     109.055       99.141
SET     114.687       99.219
SET     117.247       99.258
SET     120.319       99.297
SET     123.391       99.336
SET     125.951       99.375
SET     129.535       99.414
SET     133.119       99.453
SET     137.215       99.492
SET     141.311       99.531
SET     145.407       99.570
SET     149.503       99.609
SET     152.575       99.629
SET     154.623       99.648
SET     157.695       99.668
SET     160.767       99.688
SET     163.839       99.707
SET     166.911       99.727
SET     172.031       99.746
SET     176.127       99.766
SET     181.247       99.785
SET     185.343       99.805
SET     188.415       99.814
SET     191.487       99.824
SET     195.583       99.834
SET     197.631       99.844
SET     200.703       99.854
SET     204.799       99.863
SET     208.895       99.873
SET     212.991       99.883
SET     217.087       99.893
SET     221.183       99.902
SET     224.255       99.907
SET     226.303       99.912
SET     230.399       99.917
SET     232.447       99.922
SET     236.543       99.927
SET     239.615       99.932
SET     242.687       99.937
SET     245.759       99.941
SET     248.831       99.946
SET     253.951       99.951
SET     255.999       99.954
SET     258.047       99.956
SET     260.095       99.958
SET     262.143       99.961
SET     266.239       99.963
SET     270.335       99.966
SET     276.479       99.968
SET     280.575       99.971
SET     286.719       99.973
SET     292.863       99.976
SET     294.911       99.977
SET     296.959       99.978
SET     301.055       99.979
SET     301.055       99.980
SET     307.199       99.982
SET     311.295       99.983
SET     313.343       99.984
SET     315.391       99.985
SET     319.487       99.987
SET     325.631       99.988
SET     325.631       99.988
SET     327.679       99.989
SET     327.679       99.990
SET     327.679       99.990
SET     331.775       99.991
SET     331.775       99.991
SET     335.871       99.992
SET     337.919       99.993
SET     342.015       99.993
