hostname,value,timestamp
master,1442.20154,1701633106
node_1,355.22814,1701633106
node_3,352.58828,1701633106
node_2,391.25312,1701633106
master,1440.87888,1701633111
node_1,355.4234,1701633111
node_3,351.95548,1701633111
node_2,390.96954,1701633111
master,1442.60002,1701633116
node_1,356.40544,1701633116
node_3,352.13204,1701633116
node_2,391.1961,1701633116
master,1443.56332,1701633121
node_1,356.78984,1701633121
node_3,351.24218,1701633121
node_2,391.59536,1701633121
master,1444.76796,1701633126
node_1,357.83748,1701633126
node_3,350.51642,1701633126
node_2,392.6258,1701633126
master,1445.76564,1701633131
node_1,358.83202,1701633131
node_3,350.22502,1701633131
node_2,392.02654,1701633131
master,1446.75782,1701633136
node_1,359.325,1701633136
node_3,350.05858,1701633136
node_2,391.90546,1701633136
master,1446.70234,1701633141
node_1,359.42108,1701633141
node_3,349.93126,1701633141
node_2,390.74846,1701633141
master,1447.45076,1701633146
node_1,360.19372,1701633146
node_3,350.27892,1701633146
node_2,389.92344,1701633146
master,1448.06252,1701633151
node_1,361.50628,1701633151
node_3,350.0711,1701633151
node_2,389.7344,1701633151
master,1448.6336,1701633156
node_1,362.83592,1701633156
node_3,350.5297,1701633156
node_2,389.91874,1701633156
master,1448.9688,1701633161
node_1,362.70548,1701633161
node_3,348.45472,1701633161
node_2,388.32112,1701633161
master,1448.85076,1701633166
node_1,359.75626,1701633166
node_3,345.86952,1701633166
node_2,386.6703,1701633166
master,1447.86408,1701633171
node_1,358.57734,1701633171
node_3,345.53122,1701633171
node_2,385.08044,1701633171
master,1448.09452,1701633176
node_1,356.9586,1701633176
node_3,345.65468,1701633176
node_2,383.21172,1701633176
master,1448.3336,1701633181
node_1,356.6156,1701633181
node_3,345.6789,1701633181
node_2,382.63202,1701633181
master,1448.36798,1701633186
node_1,356.41174,1701633186
node_3,345.77344,1701633186
node_2,382.87112,1701633186
master,1448.8586,1701633191
node_1,356.85626,1701633191
node_3,345.41328,1701633191
node_2,382.78046,1701633191
master,1449.28904,1701633196
node_1,356.57186,1701633196
node_3,345.39998,1701633196
node_2,383.28984,1701633196
master,1449.1617,1701633201
node_1,356.72342,1701633201
node_3,343.38282,1701633201
node_2,382.86718,1701633201
master,1448.6836,1701633206
node_1,356.28124,1701633206
node_3,343.66486,1701633206
node_2,382.58436,1701633206
master,1449.05078,1701633211
node_1,356.88674,1701633211
node_3,343.2414,1701633211
node_2,382.90624,1701633211
master,1450.09998,1701633216
node_1,357.58204,1701633216
node_3,343.25706,1701633216
node_2,383.21876,1701633216
master,1450.5703,1701633221
node_1,358.64532,1701633221
node_3,343.72192,1701633221
node_2,383.95624,1701633221
master,1451.05,1701633226
node_1,358.6461,1701633226
node_3,344.3797,1701633226
node_2,384.07036,1701633226
master,1450.9414,1701633231
node_1,358.65938,1701633231
node_3,344.4883,1701633231
node_2,383.7164,1701633231
master,1451.24298,1701633236
node_1,359.14218,1701633236
node_3,344.87888,1701633236
node_2,383.69062,1701633236
master,1451.23752,1701633241
node_1,359.50392,1701633241
node_3,345.40628,1701633241
node_2,384.51952,1701633241
master,1451.2344,1701633246
node_1,359.66798,1701633246
node_3,345.52502,1701633246
node_2,385.07734,1701633246
master,1451.27972,1701633251
node_1,359.72812,1701633251
node_3,345.9078,1701633251
node_2,385.1422,1701633251
master,1451.45704,1701633256
node_1,359.49142,1701633256
node_3,346.0914,1701633256
node_2,385.15938,1701633256
master,1461.48126,1701633261
node_1,359.88204,1701633261
node_3,345.96406,1701633261
node_2,383.96408,1701633261
master,1624.5859,1701633266
node_1,376.99298,1701633266
node_3,349.37108,1701633266
node_2,400.99844,1701633266
master,1867.2228,1701633271
node_1,389.57892,1701633271
node_3,356.59142,1701633271
node_2,413.97652,1701633271
master,1885.865,1701633276
node_1,391.08668,1701633276
node_3,359.83594,1701633276
node_2,414.92734,1701633276
master,1901.5508,1701633281
node_1,391.53984,1701633281
node_3,360.83674,1701633281
node_2,416.27498,1701633281
master,1908.0094,1701633286
node_1,392.19998,1701633286
node_3,360.19844,1701633286
node_2,418.46328,1701633286
master,1919.6306,1701633291
node_1,392.64608,1701633291
node_3,357.98986,1701633291
node_2,419.3766,1701633291
master,1929.0212,1701633296
node_1,393.58828,1701633296
node_3,358.08436,1701633296
node_2,419.7883,1701633296
master,1937.031,1701633301
node_1,394.81952,1701633301
node_3,356.12498,1701633301
node_2,421.04766,1701633301
master,1947.0358,1701633306
node_1,396.225,1701633306
node_3,353.51876,1701633306
node_2,423.21404,1701633306
master,1960.6548,1701633311
node_1,397.59378,1701633311
node_3,354.175,1701633311
node_2,424.39296,1701633311
master,1972.647,1701633316
node_1,399.30154,1701633316
node_3,356.99608,1701633316
node_2,425.20392,1701633316
master,1979.7408,1701633321
node_1,400.5781,1701633321
node_3,355.77814,1701633321
node_2,424.8797,1701633321
master,1992.0008,1701633326
node_1,401.63514,1701633326
node_3,357.93046,1701633326
node_2,425.77114,1701633326
master,2017.0118,1701633331
node_1,401.94996,1701633331
node_3,356.29998,1701633331
node_2,426.89374,1701633331
master,2021.3616,1701633336
node_1,402.43982,1701633336
node_3,357.98752,1701633336
node_2,427.82504,1701633336
master,2026.072,1701633341
node_1,402.7625,1701633341
node_3,356.3336,1701633341
node_2,428.06954,1701633341
master,2028.8578,1701633346
node_1,402.46952,1701633346
node_3,356.22264,1701633346
node_2,428.60154,1701633346
master,2027.1576,1701633351
node_1,403.12498,1701633351
node_3,359.46096,1701633351
node_2,429.83204,1701633351
master,2031.7136,1701633356
node_1,404.01094,1701633356
node_2,430.30082,1701633356
master,2039.6976,1701633361
node_1,404.4375,1701633361
node_2,431.19614,1701633361
master,2050.45,1701633366
node_1,404.78204,1701633366
node_2,433.17188,1701633366
master,2060.8888,1701633371
node_1,405.71018,1701633371
node_2,435.07186,1701633371
master,2069.8938,1701633376
node_1,406.46642,1701633376
node_2,436.35702,1701633376
master,2074.0514,1701633381
node_1,407.11954,1701633381
node_2,436.29456,1701633381
master,2082.1874,1701633386
node_1,408.59376,1701633386
node_2,437.00392,1701633386
master,2111.7236,1701633391
node_1,410.54766,1701633391
node_2,437.82812,1701633391
master,2114.3834,1701633396
node_1,412.6664,1701633396
node_2,438.79218,1701633396
master,2114.978,1701633401
node_1,413.91252,1701633401
node_2,439.3258,1701633401
master,2119.0912,1701633406
node_1,414.9094,1701633406
node_2,440.52266,1701633406
master,2124.4532,1701633411
node_1,414.3828,1701633411
node_2,440.60702,1701633411
master,2132.7304,1701633416
node_1,415.71406,1701633416
node_2,441.89766,1701633416
master,2136.721,1701633421
node_1,416.24452,1701633421
node_2,442.7945,1701633421
master,2147.5368,1701633426
node_1,416.96326,1701633426
node_2,444.74688,1701633426
master,2157.465,1701633431
node_1,418.22422,1701633431
node_2,447.42032,1701633431
master,2162.0602,1701633436
node_1,418.97578,1701633436
node_2,449.01016,1701633436
master,2164.6726,1701633441
node_1,419.53982,1701633441
node_2,448.56564,1701633441
master,2170.6102,1701633446
node_1,420.53906,1701633446
node_2,449.64766,1701633446
master,2194.4546,1701633451
node_1,421.84532,1701633451
node_2,451.40078,1701633451
master,2204.3734,1701633456
node_1,422.9156,1701633456
node_2,452.71252,1701633456
master,2211.0828,1701633461
node_1,424.32814,1701633461
node_3,389.68516,1701633461
node_2,454.34842,1701633461
master,2218.6282,1701633466
node_1,425.74842,1701633466
node_3,388.73826,1701633466
node_2,454.67344,1701633466
master,2224.5422,1701633471
node_1,426.7,1701633471
node_3,386.07186,1701633471
node_2,454.69688,1701633471
master,2228.203,1701633476
node_1,427.87812,1701633476
node_3,384.2344,1701633476
node_2,455.58672,1701633476
master,2236.6494,1701633481
node_1,428.51484,1701633481
node_3,385.4875,1701633481
node_2,457.16642,1701633481
master,2245.7842,1701633486
node_1,429.03362,1701633486
node_3,387.4586,1701633486
node_2,458.87186,1701633486
master,2253.3546,1701633491
node_1,430.32892,1701633491
node_3,387.51564,1701633491
node_2,459.55858,1701633491
master,2262.7228,1701633496
node_1,431.85626,1701633496
node_3,384.0625,1701633496
node_2,460.97266,1701633496
master,2270.3274,1701633501
node_1,433.05938,1701633501
node_3,384.85544,1701633501
node_2,462.79142,1701633501
master,2276.014,1701633506
node_1,434.41328,1701633506
node_3,386.9242,1701633506
node_2,463.50388,1701633506
master,2286.0804,1701633511
node_1,436.25236,1701633511
node_3,389.11096,1701633511
node_2,464.85784,1701633511
master,2296.204,1701633516
node_1,436.62968,1701633516
node_3,391.50702,1701633516
node_2,465.02268,1701633516
master,2307.1726,1701633521
node_1,436.61408,1701633521
node_3,390.1617,1701633521
node_2,466.12498,1701633521
master,2317.1734,1701633526
node_1,436.85544,1701633526
node_3,389.45468,1701633526
