4         Threads
50        Connections per thread
600       Seconds


ALL STATS
============================================================================================================================
Type         Ops/sec     Hits/sec   Misses/sec    Avg. Latency     p50 Latency     p99 Latency   p99.9 Latency       KB/sec 
----------------------------------------------------------------------------------------------------------------------------
Sets         1329.68          ---          ---        13.64629         9.15100        79.35900       198.65500       102.44 
Gets        13295.05        40.98     13254.07        13.67076         9.15100        81.40700       197.63100       519.24 
Waits           0.00          ---          ---             ---             ---             ---             ---          --- 
Totals      14624.73        40.98     13254.07        13.66854         9.15100        80.89500       197.63100       621.67 


Request Latency Distribution
Type     <= msec         Percent
------------------------------------------------------------------------
SET       0.175        0.000
SET       3.119        5.000
SET       4.831       10.000
SET       6.399       15.000
SET       7.231       20.000
SET       7.999       25.000
SET       8.319       30.000
SET       8.511       35.000
SET       8.767       40.000
SET       8.959       45.000
SET       9.151       50.000
SET       9.343       52.500
SET       9.727       55.000
SET      10.239       57.500
SET      11.071       60.000
SET      12.031       62.500
SET      12.863       65.000
SET      13.759       67.500
SET      14.719       70.000
SET      15.615       72.500
SET      16.383       75.000
SET      16.639       76.250
SET      16.895       77.500
SET      17.279       78.750
SET      17.663       80.000
SET      18.175       81.250
SET      18.943       82.500
SET      19.711       83.750
SET      20.223       85.000
SET      20.735       86.250
SET      21.247       87.500
SET      21.375       88.125
SET      21.887       88.750
SET      22.271       89.375
SET      22.783       90.000
SET      23.423       90.625
SET      24.191       91.250
SET      24.959       91.875
SET      25.727       92.500
SET      26.751       93.125
SET      28.031       93.750
SET      28.543       94.062
SET      29.183       94.375
SET      29.695       94.688
SET      30.335       95.000
SET      31.103       95.312
SET      31.999       95.625
SET      32.767       95.938
SET      33.791       96.250
SET      35.071       96.562
SET      36.607       96.875
SET      37.631       97.031
SET      38.655       97.188
SET      39.679       97.344
SET      40.959       97.500
SET      42.495       97.656
SET      44.543       97.812
SET      46.335       97.969
SET      48.895       98.125
SET      51.967       98.281
SET      56.063       98.438
SET      58.111       98.516
SET      60.671       98.594
SET      63.231       98.672
SET      66.559       98.750
SET      69.631       98.828
SET      73.727       98.906
SET      78.335       98.984
SET      83.455       99.062
SET      89.599       99.141
SET      95.743       99.219
SET      98.815       99.258
SET     101.887       99.297
SET     105.471       99.336
SET     109.055       99.375
SET     112.639       99.414
SET     116.223       99.453
SET     119.807       99.492
SET     123.903       99.531
SET     127.999       99.570
SET     132.095       99.609
SET     134.143       99.629
SET     136.191       99.648
SET     139.263       99.668
SET     142.335       99.688
SET     145.407       99.707
SET     148.479       99.727
SET     152.575       99.746
SET     155.647       99.766
SET     160.767       99.785
SET     164.863       99.805
SET     166.911       99.814
SET     169.983       99.824
SET     172.031       99.834
SET     176.127       99.844
SET     180.223       99.854
SET     183.295       99.863
SET     186.367       99.873
SET     191.487       99.883
SET     195.583       99.893
SET     200.703       99.902
SET     203.775       99.907
SET     205.823       99.912
SET     208.895       99.917
SET     210.943       99.922
SET     214.015       99.927
SET     217.087       99.932
SET     220.159       99.937
SET     223.231       99.941
SET     227.327       99.946
SET     230.399       99.951
SET     233.471       99.954
SET     236.543       99.956
SET     239.615       99.958
SET     242.687       99.961
SET     244.735       99.963
SET     248.831       99.966
SET     251.903       99.968
SET     255.999       99.971
SET     260.095       99.973
SET     266.239       99.976
SET     270.335       99.977
SET     272.383       99.978
SET     274.431       99.979
SET     276.479       99.980
SET     280.575       99.982
SET     284.671       99.983
SET     288.767       99.984
SET     292.863       99.985
SET     294.911       99.987
SET     296.959       99.988
SET     299.007       99.988
SET     301.055       99.989
SET     303.103       99.990
SET     307.199       99.990
SET     307.199       99.991
SET     309.247       99.991
SET     311.295       99.992
SET     313.343       99.993
SET     319.487       99.993
SET     327.679       99.994
SET     327.679       99.994
SET     329.727       99.995
SET     331.775       99.995
SET     333.823       99.995
SET     337.919       99.995
SET     339.967       99.996
SET     339.967       99.996
SET     342.015       99.996
SET     350.207       99.997
SET     352.255       99.997
SET     354.303       99.997
SET     354.303       99.997
SET     356.351       99.997
SET     358.399       99.998
SET     362.495       99.998
SET     362.495       99.998
SET     364.543       99.998
SET     366.591       99.998
SET     366.591       99.998
SET     370.687       99.998
SET     370.687       99.999
SET     380.927       99.999
SET     380.927       99.999
SET     382.975       99.999
SET     382.975       99.999
SET     389.119       99.999
SET     391.167       99.999
SET     391.167       99.999
SET     393.215       99.999
SET     393.215       99.999
SET     393.215       99.999
SET     393.215       99.999
SET     393.215       99.999
SET     393.215       99.999
SET     393.215       99.999
SET     393.215       99.999
SET     395.263      100.000
SET     395.263      100.000
SET     395.263      100.000
SET     395.263      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     397.311      100.000
SET     401.407      100.000
SET     401.407      100.000
SET     401.407      100.000
SET     401.407      100.000
SET     401.407      100.000
SET     401.407      100.000
SET     401.407      100.000
SET     401.407      100.000
SET     401.407      100.000
SET     401.407      100.000
SET     405.503      100.000
SET     405.503      100.000
---
GET       0.175        0.000
GET       3.103        5.000
GET       4.831       10.000
GET       6.399       15.000
GET       7.231       20.000
GET       7.999       25.000
GET       8.319       30.000
GET       8.511       35.000
GET       8.767       40.000
GET       8.959       45.000
