hostname,value,timestamp
master,97.988452,1701804586
node_1,97.480468,1701804586
node_3,92.340986,1701804586
node_2,96.979852,1701804586
master,99.329548,1701804591
node_1,96.99306,1701804591
node_3,97.683252,1701804591
node_2,96.629492,1701804591
master,97.942444,1701804596
node_1,97.192474,1701804596
node_3,92.353602,1701804596
node_2,96.828564,1701804596
master,99.664652,1701804601
node_1,97.390702,1701804601
node_3,97.737662,1701804601
node_2,96.72943,1701804601
master,97.889712,1701804606
node_1,97.436172,1701804606
node_3,92.170562,1701804606
node_2,96.669904,1701804606
master,99.647958,1701804611
node_1,96.440944,1701804611
node_3,97.333884,1701804611
node_2,95.420402,1701804611
master,97.8321,1701804616
node_1,97.28427,1701804616
node_3,92.538724,1701804616
node_2,96.731,1701804616
master,99.664626,1701804621
node_1,97.089334,1701804621
node_3,97.339538,1701804621
node_2,96.528938,1701804621
master,98.201896,1701804626
node_1,97.136788,1701804626
node_3,92.380018,1701804626
node_2,97.126612,1701804626
master,99.647792,1701804631
node_1,97.079224,1701804631
node_3,97.07804,1701804631
node_2,97.072312,1701804631
master,97.776512,1701804636
node_1,97.238914,1701804636
node_3,92.186152,1701804636
node_2,96.124938,1701804636
master,99.66423,1701804641
node_1,96.438674,1701804641
node_3,97.336668,1701804641
node_2,96.67426,1701804641
master,98.216618,1701804646
node_1,97.386918,1701804646
node_3,92.398694,1701804646
node_2,96.683892,1701804646
master,99.614274,1701804651
node_1,96.024094,1701804651
node_3,96.76621,1701804651
node_2,95.86517,1701804651
master,98.10284,1701804656
node_1,97.086398,1701804656
node_3,92.731586,1701804656
node_2,97.03262,1701804656
master,99.380078,1701804661
node_1,97.78273,1701804661
node_3,97.690076,1701804661
node_2,97.035504,1701804661
master,97.774236,1701804666
node_1,97.133134,1701804666
node_3,92.12744,1701804666
node_2,96.226558,1701804666
master,99.681318,1701804671
node_1,96.68475,1701804671
node_3,97.831818,1701804671
node_2,96.369236,1701804671
master,98.056194,1701804676
node_1,97.284026,1701804676
node_3,92.100474,1701804676
node_2,95.72243,1701804676
master,99.664274,1701804681
node_1,97.386526,1701804681
node_3,97.886028,1701804681
node_2,97.025502,1701804681
master,98.12006,1701804686
node_1,97.332092,1701804686
node_3,92.084926,1701804686
node_2,96.783656,1701804686
master,99.63073,1701804691
node_1,96.373154,1701804691
node_3,96.772854,1701804691
node_2,96.524784,1701804691
master,98.280594,1701804696
node_1,97.087568,1701804696
node_3,92.284462,1701804696
node_2,95.415586,1701804696
master,99.514318,1701804701
node_1,96.942472,1701804701
node_3,97.245474,1701804701
node_2,97.029538,1701804701
master,98.068452,1701804706
node_1,96.982094,1701804706
node_3,92.665406,1701804706
node_2,96.782886,1701804706
master,99.597454,1701804711
node_1,96.843816,1701804711
node_3,97.53718,1701804711
node_2,97.02833,1701804711
master,98.1861,1701804716
node_1,97.177558,1701804716
node_3,92.35356,1701804716
node_2,96.72464,1701804716
master,99.564656,1701804721
node_1,97.490334,1701804721
node_3,97.491918,1701804721
node_2,96.928842,1701804721
master,97.899506,1701804726
node_1,96.887494,1701804726
node_3,90.825972,1701804726
node_2,96.827958,1701804726
master,99.614374,1701804731
node_1,95.77684,1701804731
node_3,97.733756,1701804731
node_2,94.856102,1701804731
master,97.879738,1701804736
node_1,97.182376,1701804736
node_3,92.191288,1701804736
node_2,96.328972,1701804736
master,99.647974,1701804741
node_1,97.136534,1701804741
node_3,97.59296,1701804741
node_2,96.783718,1701804741
master,98.124158,1701804746
node_1,96.934396,1701804746
node_3,92.204086,1701804746
node_2,96.27315,1701804746
master,99.463438,1701804751
node_1,96.981876,1701804751
node_3,97.284008,1701804751
node_2,96.973642,1701804751
master,97.886066,1701804756
node_1,96.844414,1701804756
node_3,91.89937,1701804756
node_2,96.470544,1701804756
master,99.547134,1701804761
node_1,96.848734,1701804761
node_3,97.68892,1701804761
node_2,96.628862,1701804761
master,98.0402,1701804766
node_1,97.091208,1701804766
node_3,92.485514,1701804766
node_2,96.931884,1701804766
master,99.379558,1701804771
node_1,97.390422,1701804771
node_3,97.089046,1701804771
node_2,96.630444,1701804771
master,98.038728,1701804776
