hostname,value,timestamp
master,1276.4867,1701810286
node_1,322.98984,1701810286
node_3,335.1625,1701810286
node_2,322.23516,1701810286
master,1257.57734,1701810291
node_1,323.27656,1701810291
node_3,334.82342,1701810291
node_2,322.80702,1701810291
master,1259.59218,1701810296
node_1,324.41876,1701810296
node_3,334.96718,1701810296
node_2,323.4258,1701810296
master,1259.7086,1701810301
node_1,324.8836,1701810301
node_3,334.89998,1701810301
node_2,324.26642,1701810301
master,1260.25392,1701810306
node_1,325.33436,1701810306
node_3,334.98752,1701810306
node_2,324.65078,1701810306
master,1259.52814,1701810311
node_1,326.51096,1701810311
node_3,334.53044,1701810311
node_2,325.3031,1701810311
master,1260.15468,1701810316
node_1,327.10784,1701810316
node_3,334.19062,1701810316
node_2,325.89374,1701810316
master,1260.49996,1701810321
node_1,327.65548,1701810321
node_3,333.96876,1701810321
node_2,326.30312,1701810321
master,1260.73982,1701810326
node_1,327.62264,1701810326
node_3,334.03282,1701810326
node_2,326.48906,1701810326
master,1261.07968,1701810331
node_1,327.7297,1701810331
node_3,334.24764,1701810331
node_2,326.83362,1701810331
master,1261.25314,1701810336
node_1,327.93518,1701810336
node_3,333.7961,1701810336
node_2,326.643,1701810336
master,1261.1664,1701810341
node_1,327.42186,1701810341
node_3,333.08044,1701810341
node_2,326.1711,1701810341
master,1261.1531,1701810346
node_1,324.4539,1701810346
node_3,331.73986,1701810346
node_2,323.65938,1701810346
master,1261.61016,1701810351
node_1,324.29608,1701810351
node_3,331.4453,1701810351
node_2,323.25314,1701810351
master,1260.39924,1701810356
node_1,320.68128,1701810356
node_3,330.77112,1701810356
node_2,321.64532,1701810356
master,1258.6422,1701810361
node_1,320.91172,1701810361
node_3,330.64764,1701810361
node_2,321.72268,1701810361
master,1259.10312,1701810366
node_1,320.62266,1701810366
node_3,330.5695,1701810366
node_2,321.63752,1701810366
master,1259.17264,1701810371
node_1,320.7141,1701810371
node_3,330.72342,1701810371
node_2,321.25858,1701810371
master,1259.29608,1701810376
node_1,320.03046,1701810376
node_3,331.068,1701810376
node_2,320.9914,1701810376
master,1259.41722,1701810381
node_1,319.97656,1701810381
node_3,331.04452,1701810381
node_2,320.63126,1701810381
master,1259.4062,1701810386
node_1,320.0922,1701810386
node_3,331.02346,1701810386
node_2,319.9594,1701810386
master,1259.87108,1701810391
node_1,319.8625,1701810391
node_3,330.80936,1701810391
node_2,319.96406,1701810391
master,1260.3547,1701810396
node_1,319.31952,1701810396
node_3,330.45548,1701810396
node_2,319.7547,1701810396
master,1260.20546,1701810401
node_1,319.19766,1701810401
node_3,330.91016,1701810401
node_2,319.90704,1701810401
master,1259.65154,1701810406
node_1,319.14998,1701810406
node_3,330.90624,1701810406
node_2,320.1422,1701810406
master,1259.96406,1701810411
node_1,318.78514,1701810411
node_3,331.30234,1701810411
node_2,320.5461,1701810411
master,1261.56798,1701810416
node_1,318.6992,1701810416
node_3,331.5625,1701810416
node_2,320.64764,1701810416
master,1261.69062,1701810421
node_1,319.00624,1701810421
node_3,331.27656,1701810421
node_2,320.50704,1701810421
master,1261.68282,1701810426
node_1,318.8875,1701810426
node_3,331.32108,1701810426
node_2,320.27188,1701810426
master,1261.76094,1701810431
node_1,318.84926,1701810431
node_3,330.70546,1701810431
node_2,320.1242,1701810431
master,1261.88046,1701810436
node_1,318.15234,1701810436
node_3,330.51488,1701810436
node_2,319.6008,1701810436
master,1261.87422,1701810441
node_1,317.69764,1701810441
node_3,330.66798,1701810441
node_2,319.40388,1701810441
master,1261.8711,1701810446
node_1,317.68752,1701810446
node_3,331.11952,1701810446
node_2,319.48752,1701810446
master,1261.8586,1701810451
node_1,317.42892,1701810451
node_3,331.06096,1701810451
node_2,319.59842,1701810451
master,1261.91872,1701810456
node_1,317.04298,1701810456
node_3,331.46252,1701810456
node_2,319.7086,1701810456
master,1262.02106,1701810461
node_1,316.57968,1701810461
node_3,330.88048,1701810461
node_2,319.90546,1701810461
master,1261.73986,1701810466
node_1,315.50626,1701810466
node_3,330.50546,1701810466
node_2,320.02734,1701810466
master,1261.82738,1701810471
node_1,315.36952,1701810471
node_3,330.19064,1701810471
node_2,319.79688,1701810471
master,1261.96638,1701810476
node_1,315.11096,1701810476
node_3,330.18514,1701810476
node_2,319.80858,1701810476
master,1261.96168,1701810481
node_1,314.62424,1701810481
node_3,330.14454,1701810481
node_2,319.9023,1701810481
master,1261.85778,1701810486
node_1,314.30002,1701810486
node_3,329.725,1701810486
node_2,319.8945,1701810486
master,1261.69998,1701810491
node_1,314.55782,1701810491
node_3,329.3758,1701810491
node_2,319.88826,1701810491
master,1261.44686,1701810496
node_1,314.37344,1701810496
node_3,329.70546,1701810496
node_2,319.8867,1701810496
master,1261.43984,1701810501
node_1,313.88438,1701810501
node_3,329.4336,1701810501
node_2,320.08358,1701810501
master,1260.24452,1701810506
node_1,313.6055,1701810506
node_3,329.3414,1701810506
node_2,320.1672,1701810506
master,1260.4094,1701810511
node_1,313.88044,1701810511
node_3,329.15232,1701810511
node_2,320.03674,1701810511
master,1260.30152,1701810516
node_1,313.52034,1701810516
node_3,328.8742,1701810516
node_2,319.6297,1701810516
master,1260.31794,1701810521
node_1,313.6094,1701810521
node_3,329.56172,1701810521
node_2,319.66172,1701810521
master,1260.69532,1701810526
node_1,313.17268,1701810526
node_3,329.1039,1701810526
node_2,319.78748,1701810526
master,1261.76406,1701810531
node_1,312.9961,1701810531
node_3,328.66172,1701810531
node_2,319.72578,1701810531
master,1262.57576,1701810536
node_1,313.2094,1701810536
node_2,319.8133,1701810536
master,1262.5664,1701810541
node_1,313.50464,1701810541
node_2,320.30938,1701810541
master,1262.72498,1701810546
